Title: Nd1

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.260452 52.2034 0.947867 15.5613 2.02743 0.019638 7.45716 0.1679 6.64515 9.81468 2.63632 1.3725 0.118445 1.02817
500.00 1513.15 97.260963 52.2032 0.947862 15.5612 2.03265 0.0196379 7.45241 0.167899 6.64511 9.81463 2.63631 1.37249 0.118444 1.02816
500.00 1503.15 97.261504 52.2029 0.947857 15.5611 2.0382 0.0196378 7.44736 0.167898 6.64508 9.81457 2.63629 1.37249 0.118444 1.02816
500.00 1493.15 97.262079 52.2026 0.947851 15.561 2.04408 0.0196377 7.44202 0.167897 6.64504 9.81451 2.63628 1.37248 0.118443 1.02815
500.00 1483.15 97.262686 52.2022 0.947845 15.561 2.0503 0.0196375 7.43636 0.167896 6.64499 9.81445 2.63626 1.37247 0.118442 1.02814
500.00 1473.15 97.263328 52.2019 0.947839 15.5608 2.05687 0.0196374 7.43039 0.167895 6.64495 9.81439 2.63625 1.37246 0.118441 1.02814
500.00 1463.15 97.264005 52.2015 0.947833 15.5607 2.06381 0.0196373 7.42408 0.167894 6.6449 9.81432 2.63623 1.37245 0.118441 1.02813
500.00 1453.15 97.264719 52.2011 0.947826 15.5606 2.07112 0.0196371 7.41744 0.167892 6.64486 9.81425 2.63621 1.37244 0.11844 1.02812
500.00 1443.15 97.265470 52.2007 0.947818 15.5605 2.07881 0.019637 7.41044 0.167891 6.6448 9.81417 2.63619 1.37243 0.118439 1.02811
500.00 1433.15 96.857571 52.2541 0.95181 15.626 2.08383 0.0197197 7.37724 0.167242 6.48948 9.85369 2.64729 1.37821 0.118938 1.03244
500.00 1423.15 96.110841 52.3539 0.959205 15.7474 2.08574 0.0198729 7.31843 0.165977 6.20545 9.92685 2.66786 1.38892 0.119862 1.04047
500.00 1413.15 93.659882 52.4408 0.975004 16.0599 2.08712 0.0203929 7.32476 0.168993 5.84737 9.72568 2.73405 1.42526 0.122998 1.06769
