Title: Nd1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.260452 1.0000000000000000 1.000000 273.662045 -1182577.895144 38.385156 -385.530076 3626.802685 145.770682 -7.007 0.000 2.533804 0.000000 2.184 0.353504 0.000
500.00 1513.15 97.260963 1.0000000000000000 1.000000 272.702816 -1184042.993268 38.349354 -384.434631 3624.100271 145.769881 -7.116 0.000 2.536183 0.000000 2.227 0.352572 0.000
500.00 1503.15 97.261504 1.0000000000000000 1.000000 271.737265 -1185508.566208 38.313606 -383.341916 3621.338593 145.769235 -7.225 0.000 2.538563 0.000000 2.270 0.351631 0.000
500.00 1493.15 97.262079 1.0000000000000000 1.000000 270.765305 -1186974.632673 38.277913 -382.251989 3618.517867 145.768750 -7.336 0.000 2.540945 0.000000 2.313 0.35068 0.000
500.00 1483.15 97.262686 1.0000000000000000 1.000000 269.786848 -1188441.212158 38.242277 -381.164908 3615.638316 145.768431 -7.449 0.000 2.543329 0.000000 2.358 0.349719 0.000
500.00 1473.15 97.263328 1.0000000000000000 1.000000 268.819428 -1189882.300020 38.206699 -380.080735 3612.700173 141.965971 -7.563 0.000 2.545714 0.000000 2.403 0.34875 0.000
500.00 1463.15 97.264005 1.0000000000000000 1.000000 267.853636 -1191311.892392 38.171180 -378.999534 3609.703681 141.956326 -7.679 0.000 2.548101 0.000000 2.448 0.34777 0.000
500.00 1453.15 97.264719 1.0000000000000000 1.000000 266.881319 -1192741.957716 38.135722 -377.921371 3606.649094 141.946231 -7.796 0.000 2.550488 0.000000 2.494 0.346781 0.000
500.00 1443.15 97.265470 1.0000000000000000 1.000000 265.902388 -1194172.512282 38.100326 -376.846317 3603.536677 141.935682 -7.915 0.000 2.552878 0.000000 2.541 0.345782 0.000
500.00 1433.15 97.265108 0.9958100398065835 0.996741 264.795386 -1195758.013481 38.055701 -375.518298 3591.721927 141.710289 -8.035 0.000 2.553474 3.286236 2.605 0.345593 0.000
500.00 1423.15 96.857196 0.9922942773644712 0.994020 262.615051 -1192479.596193 37.879948 -373.894476 3566.890206 140.804799 -8.157 0.000 2.552513 3.294794 2.685 0.346065 0.000
500.00 1413.15 96.111798 0.9744889244507332 0.979860 259.153626 -1185774.182794 37.503873 -370.043379 3518.384074 138.908575 -8.281 0.000 2.548668 3.246215 2.770 0.355284 0.000
500.00 1403.15 93.664452 0.9576628703337009 0.966613 251.397366 -1157595.004249 36.515290 -363.844228 3429.620961 134.506483 -8.407 0.000 2.541324 3.252706 2.867 0.373316 0.000
500.00 1393.15 89.704054 0.9595411148097014 0.968204 240.352245 -1109910.237058 35.084429 -357.614890 3325.393573 128.481423 -8.535 0.000 2.533928 3.253422 2.965 0.391184 0.000
500.00 1383.15 86.078277 0.9354924760192733 0.944617 229.754270 -1067094.554654 33.768957 -347.476612 3199.086730 122.393589 -8.664 0.000 2.524412 2.969018 3.049 0.430699 0.000
500.00 1373.15 80.530801 0.9391585627364483 0.947995 214.768362 -997214.185747 31.726481 -337.104128 3067.000548 114.138001 -8.795 0.000 2.514623 2.969579 3.137 0.470807 0.000
500.00 1363.15 75.641436 0.9400456252040574 0.949528 201.480989 -936083.274124 29.923037 -327.576153 2944.299442 106.805742 -8.929 0.000 2.502622 3.002780 3.237 0.512373 0.000
500.00 1353.15 71.144604 0.9246327254334673 0.940116 188.936247 -881547.864957 28.263434 -317.693092 2797.975534 99.692333 -9.064 0.000 2.475739 3.168022 3.417 0.563743 0.000
500.00 1343.15 65.817303 0.9295400720751111 0.944491 174.938585 -821606.558480 26.445589 -308.561854 2655.628158 92.061150 -9.201 0.000 2.449386 3.159113 3.598 0.615966 0.000
500.00 1333.15 61.207136 0.9371154565463067 0.950417 162.862043 -769893.150178 24.872764 -300.523283 2536.706447 85.541941 -9.340 0.000 2.426370 3.120955 3.763 0.666994 0.000
500.00 1323.15 57.380745 0.9399486305237250 0.952414 152.731345 -726611.050735 23.539949 -292.894050 2436.567907 80.087957 -9.481 0.000 2.405686 3.076140 3.910 0.720382 0.000
500.00 1313.15 53.953270 0.9432687205518170 0.954781 143.639702 -687146.765437 22.331203 -285.698323 2348.685969 75.201271 -9.625 0.000 2.386917 3.031139 4.044 0.77517 0.000
500.00 1303.15 50.907961 0.9477852148532383 0.958378 135.541111 -651595.682906 21.243130 -279.118746 2272.056665 70.866292 -9.771 0.000 2.369957 3.006302 4.169 0.829088 0.000
500.00 1293.15 48.263221 0.9515510432903988 0.961367 128.468307 -620539.965015 20.288754 -273.091648 2205.131302 67.096539 -9.919 0.000 2.354528 2.983210 4.285 0.88224 0.000
