Title: Mr1

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.788809 50.0357 1.14717 15.6611 2.39914 0.0173844 9.12325 0.199512 7.12229 11.6212 2.17458 0.369061 0.129667 0
500.00 1513.15 97.789420 50.0354 1.14716 15.661 2.40536 0.0173843 9.11758 0.19951 7.12224 11.6211 2.17457 0.369058 0.129666 0
500.00 1503.15 97.790069 50.035 1.14715 15.6609 2.41197 0.0173842 9.11157 0.199509 7.1222 11.621 2.17456 0.369056 0.129666 0
500.00 1493.15 97.790756 50.0347 1.14714 15.6608 2.41897 0.0173841 9.10519 0.199508 7.12215 11.6209 2.17454 0.369053 0.129665 0
500.00 1483.15 97.790994 50.0346 1.14714 15.6607 2.42139 0.017384 9.10298 0.199507 7.12213 11.6209 2.17454 0.369052 0.129664 0
500.00 1473.15 97.790880 50.0346 1.14714 15.6608 2.42022 0.017384 9.10404 0.199507 7.12214 11.6209 2.17454 0.369053 0.129664 0
500.00 1463.15 97.790750 50.0347 1.14714 15.6608 2.4189 0.0173841 9.10525 0.199508 7.12215 11.6209 2.17454 0.369053 0.129665 0
500.00 1453.15 97.787306 50.0365 1.14718 15.6613 2.38384 0.0173847 9.1372 0.199515 7.1224 11.6213 2.17462 0.369066 0.129669 0
500.00 1443.15 97.781598 50.0394 1.14725 15.6623 2.32571 0.0173857 9.19016 0.199526 7.12281 11.622 2.17474 0.369088 0.129677 0
500.00 1433.15 97.776224 50.0421 1.14731 15.6631 2.27098 0.0173866 9.24003 0.199537 7.1232 11.6227 2.17486 0.369108 0.129684 0
500.00 1423.15 97.771373 50.0446 1.14737 15.6639 2.22157 0.0173875 9.28504 0.199547 7.12356 11.6232 2.17497 0.369126 0.12969 0
500.00 1413.15 97.766867 50.0469 1.14742 15.6646 2.17567 0.0173883 9.32687 0.199556 7.12389 11.6238 2.17507 0.369143 0.129696 0
500.00 1403.15 97.796074 50.032 1.14708 15.6599 2.47311 0.0173831 9.05586 0.199497 7.12176 11.6203 2.17442 0.369033 0.129658 0
500.00 1393.15 97.855826 50.0014 1.14638 15.6504 3.08106 0.0173725 8.50193 0.199375 7.11741 11.6132 2.17309 0.368808 0.129578 0
500.00 1383.15 97.876317 49.9909 1.14614 15.6471 3.28938 0.0173689 8.31212 0.199333 7.11592 11.6108 2.17264 0.368731 0.129551 0
500.00 1373.15 97.879341 49.9894 1.1461 15.6466 3.32011 0.0173683 8.28412 0.199327 7.1157 11.6104 2.17257 0.368719 0.129547 0
500.00 1363.15 97.875948 49.9911 1.14614 15.6472 3.28562 0.0173689 8.31554 0.199334 7.11595 11.6108 2.17265 0.368732 0.129552 0
500.00 1353.15 97.869883 49.9942 1.14622 15.6481 3.22397 0.01737 8.37171 0.199346 7.11639 11.6115 2.17278 0.368755 0.12956 0
500.00 1343.15 97.862698 49.9979 1.1463 15.6493 3.15093 0.0173713 8.43826 0.199361 7.11691 11.6124 2.17294 0.368782 0.129569 0
500.00 1333.15 97.855112 50.0018 1.14639 15.6505 3.07379 0.0173726 8.50855 0.199376 7.11746 11.6133 2.17311 0.368811 0.129579 0
500.00 1323.15 97.847288 50.0058 1.14648 15.6517 2.99423 0.017374 8.58104 0.199392 7.11803 11.6142 2.17328 0.36884 0.12959 0
500.00 1313.15 97.834087 50.0125 1.14664 15.6538 2.85996 0.0173764 8.70338 0.199419 7.11899 11.6158 2.17358 0.36889 0.129607 0
500.00 1303.15 97.822603 50.0184 1.14677 15.6557 2.74312 0.0173784 8.80984 0.199443 7.11983 11.6172 2.17383 0.368933 0.129622 0
500.00 1293.15 97.811754 50.0239 1.1469 15.6574 2.63272 0.0173803 8.91043 0.199465 7.12062 11.6184 2.17407 0.368974 0.129637 0
500.00 1283.15 97.801514 50.0292 1.14702 15.6591 2.52849 0.0173821 9.0054 0.199486 7.12136 11.6197 2.1743 0.369013 0.12965 0
500.00 1273.15 97.791840 50.0341 1.14713 15.6606 2.43 0.0173839 9.09513 0.199505 7.12207 11.6208 2.17452 0.369049 0.129663 0
500.00 1263.15 97.782685 50.0388 1.14724 15.6621 2.33678 0.0173855 9.18007 0.199524 7.12273 11.6219 2.17472 0.369084 0.129675 0
500.00 1253.15 97.766911 50.0469 1.14742 15.6646 2.17612 0.0173883 9.32645 0.199556 7.12388 11.6238 2.17507 0.369143 0.129696 0
