Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.788809 36.264987 36.264987 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.789420 36.242062 36.242062 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.790069 36.219167 36.219167 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.790756 36.196303 36.196303 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.790994 36.136778 35.303973 0.000000 0.000000 0.000000 0.832805 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.790880 36.053145 33.856808 0.000000 0.000000 0.000000 2.196337 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.790750 35.971932 32.487682 0.000000 0.000000 0.000000 3.484250 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.787306 35.512898 28.001093 0.000000 2.067667 0.000000 5.444138 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.781598 35.058973 23.380695 0.000000 3.263107 0.814059 7.601111 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.776224 34.684931 19.577690 0.000000 3.933110 1.758241 9.415890 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.771373 34.375591 16.478538 0.000000 4.442880 2.553303 10.900870 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.766867 34.111174 13.870974 0.000000 4.844480 3.246686 12.149033 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.796074 33.844363 11.143766 0.000000 5.552399 3.791868 13.133799 0.000000 0.222531 0.000000 0.000000 
500.00 1393.15 97.855826 33.593752 8.350605 0.000000 6.527521 4.097035 13.949360 0.000000 0.669230 0.000000 0.000000 
500.00 1383.15 97.876317 33.436201 6.630271 0.000000 6.966554 4.338055 14.627031 0.000000 0.874290 0.000000 0.000000 
500.00 1373.15 97.879341 33.328210 5.523996 0.000000 7.160670 4.547999 15.133846 0.000000 0.961699 0.000000 0.000000 
500.00 1363.15 97.875948 33.246703 4.742581 0.000000 7.252815 4.729810 15.519682 0.000000 1.001815 0.000000 0.000000 
500.00 1353.15 97.869883 33.181538 4.157881 0.000000 7.294257 4.888260 15.821816 0.000000 1.019324 0.000000 0.000000 
500.00 1343.15 97.862698 33.127323 3.702320 0.000000 7.307952 5.027521 16.064601 0.000000 1.024929 0.000000 0.000000 
500.00 1333.15 97.855112 33.080854 3.336326 0.000000 7.305584 5.150967 16.264088 0.000000 1.023890 0.000000 0.000000 
500.00 1323.15 97.847288 33.039161 3.026470 0.000000 7.294358 5.263051 16.432799 0.000000 1.018830 0.000000 0.003654 
500.00 1313.15 97.834087 32.997905 2.701382 0.065396 7.279474 5.325656 16.614103 0.000000 0.997934 0.000000 0.013961 
500.00 1303.15 97.822603 32.960892 2.436236 0.105252 7.255387 5.401401 16.762243 0.000000 0.978637 0.000000 0.021736 
500.00 1293.15 97.811754 32.926770 2.207906 0.136819 7.226519 5.477930 16.890266 0.000000 0.959022 0.000000 0.028308 
500.00 1283.15 97.801514 32.894930 2.008724 0.162061 7.194950 5.553849 17.001962 0.000000 0.939447 0.000000 0.033937 
500.00 1273.15 97.791840 32.864992 1.832964 0.182394 7.162015 5.628433 17.100298 0.000000 0.920073 0.000000 0.038815 
500.00 1263.15 97.782685 32.836632 1.676291 0.198862 7.128587 5.701348 17.187508 0.000000 0.900954 0.000000 0.043083 
500.00 1253.15 97.766911 32.781271 1.337807 0.217329 7.077104 5.898808 17.354695 0.000000 0.772717 0.070276 0.052534 
500.00 1243.15 97.751143 32.727643 1.020386 0.231138 7.024405 6.092755 17.512828 0.000000 0.649716 0.135351 0.061065 
500.00 1233.15 97.735906 32.677383 0.732232 0.241186 6.972830 6.273434 17.658764 0.000000 0.538692 0.191661 0.068582 
500.00 1223.15 97.721290 32.630358 0.469878 0.248362 6.923159 6.439819 17.794443 0.000000 0.439223 0.240182 0.075293 
500.00 1213.15 97.707425 32.586632 0.231806 0.253231 6.875952 6.590688 17.920751 0.000000 0.351316 0.281563 0.081326 
500.00 1203.15 97.694502 32.546494 0.018529 0.256127 6.831684 6.724329 18.037453 0.000000 0.275468 0.316169 0.086733 
500.00 1193.15 97.692623 32.534047 0.000000 0.259978 6.825055 6.720133 18.049789 0.000000 0.272152 0.319735 0.087205 
500.00 1183.15 97.692254 32.533415 0.101223 0.255148 6.821343 6.706928 18.051621 0.000000 0.277507 0.319646 0.000000 
500.00 1173.15 97.691494 32.523725 0.101042 0.259436 6.817680 6.689903 18.054323 0.000000 0.280717 0.320624 0.000000 
500.00 1163.15 97.690767 32.514112 0.100872 0.263667 6.813649 6.673122 18.057251 0.000000 0.283884 0.321667 0.000000 
500.00 1153.15 97.690073 32.504575 0.100712 0.267836 6.809263 6.656580 18.060403 0.000000 0.287010 0.322771 0.000000 
500.00 1143.15 97.689401 32.495491 0.100560 0.271927 6.804778 6.640539 18.025666 0.038117 0.289969 0.323935 0.000000 
500.00 1133.15 97.688760 32.486512 0.100417 0.275948 6.799986 6.624750 17.988389 0.078990 0.292885 0.325147 0.000000 
500.00 1123.15 97.688152 32.477595 0.100282 0.279894 6.794869 6.609181 17.953009 0.118178 0.295777 0.326404 0.000000 
500.00 1113.15 97.687577 32.468738 0.100155 0.283760 6.789440 6.593832 17.919455 0.155748 0.298648 0.327700 0.000000 
500.00 1103.15 97.687035 32.459941 0.100035 0.287542 6.783708 6.578703 17.887657 0.191764 0.301500 0.329031 0.000000 
