Title: Mr1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.788809 1.0000000000000000 1.000000 264.371592 -1173023.376850 36.264987 -200.498100 2346.694028 145.905286 -7.007 0.000 2.696507 0.000000 2.225 0 0.000
500.00 1513.15 97.789420 1.0000000000000000 1.000000 263.411663 -1174491.329199 36.242062 -200.703619 2346.830943 145.908421 -7.116 0.000 2.698230 0.000000 2.268 0 0.000
500.00 1503.15 97.790069 1.0000000000000000 1.000000 262.445388 -1175959.893036 36.219167 -200.910309 2346.976280 145.911749 -7.225 0.000 2.699954 0.000000 2.312 0 0.000
500.00 1493.15 97.790756 1.0000000000000000 1.000000 261.472679 -1177429.090921 36.196303 -201.118236 2347.130297 145.915276 -7.336 0.000 2.701678 0.000000 2.356 0 0.000
500.00 1483.15 97.790994 0.9772699607619553 0.976954 259.991623 -1179636.233520 36.136778 -197.155035 2321.585363 145.307756 -7.449 0.000 2.707010 2.669045 2.376 0 0.000
500.00 1473.15 97.790880 0.9401049057953128 0.939081 258.209385 -1182268.791784 36.053145 -190.436271 2280.027963 141.164551 -7.563 0.000 2.715368 2.666801 2.376 0 0.000
500.00 1463.15 97.790750 0.9050640871170584 0.903140 256.483638 -1184800.333676 35.971932 -183.981928 2241.248467 140.360958 -7.679 0.000 2.724322 2.664520 2.372 0 0.000
500.00 1453.15 97.787306 0.7834977267367842 0.788477 252.592093 -1190415.450447 35.512898 -165.771727 2098.031375 136.754185 -7.796 0.000 2.736184 2.818387 2.394 0 0.000
500.00 1443.15 97.781598 0.6580726999147331 0.666896 248.774413 -1195846.219355 35.058973 -146.049463 1949.635795 133.185002 -7.915 0.000 2.752159 2.862939 2.401 0 0.000
500.00 1433.15 97.776224 0.5547272409842371 0.564444 245.511174 -1200447.617098 34.684931 -129.403863 1827.076462 130.310537 -8.035 0.000 2.770456 2.881869 2.394 0 0.000
500.00 1423.15 97.771373 0.4703750417728844 0.479367 242.700438 -1204379.183661 34.375591 -115.583754 1726.532364 127.999890 -8.157 0.000 2.790855 2.893335 2.372 0 0.000
500.00 1413.15 97.766867 0.3992219719545528 0.406640 240.202659 -1207844.793779 34.111174 -103.746345 1641.036326 126.077757 -8.281 0.000 2.813838 2.901957 2.334 0 0.000
500.00 1403.15 97.796074 0.3192721201963378 0.329265 237.485910 -1212172.875316 33.844363 -92.192695 1516.775198 123.757822 -8.407 0.000 2.801886 2.932633 2.489 0 0.000
500.00 1393.15 97.855826 0.2324835910388202 0.248576 234.536877 -1217318.351111 33.593752 -81.124975 1356.183295 121.124668 -8.535 0.000 2.724338 2.975301 3.036 0 0.000
500.00 1383.15 97.876317 0.1809883150252437 0.198296 232.422444 -1220604.028067 33.436201 -73.792540 1267.037127 119.617484 -8.664 0.000 2.671757 2.990452 3.465 0 0.000
500.00 1373.15 97.879341 0.1489139665144971 0.165745 230.776659 -1222924.020792 33.328210 -68.816143 1214.839342 118.688362 -8.795 0.000 2.638598 2.996083 3.779 0 0.000
