Title: Nd2

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.213805 52.7542 1.05769 15.6556 2.17016 0.0115055 8.15507 0.16963 6.3261 9.78854 2.52449 1.25726 0.129717 0
500.00 1513.15 98.214359 52.7539 1.05769 15.6556 2.17578 0.0115054 8.14996 0.169629 6.32606 9.78849 2.52448 1.25725 0.129716 0
500.00 1503.15 98.214947 52.7536 1.05768 15.6555 2.18174 0.0115054 8.14453 0.169628 6.32602 9.78843 2.52446 1.25724 0.129715 0
500.00 1493.15 98.215570 52.7532 1.05767 15.6554 2.18806 0.0115053 8.13878 0.169627 6.32598 9.78837 2.52445 1.25723 0.129715 0
500.00 1483.15 98.216230 52.7529 1.05767 15.6553 2.19475 0.0115052 8.1327 0.169626 6.32594 9.7883 2.52443 1.25723 0.129714 0
500.00 1473.15 98.216926 52.7525 1.05766 15.6551 2.20181 0.0115051 8.12627 0.169625 6.3259 9.78823 2.52441 1.25722 0.129713 0
500.00 1463.15 98.217662 52.7521 1.05765 15.655 2.20927 0.0115051 8.11949 0.169623 6.32585 9.78816 2.52439 1.25721 0.129712 0
500.00 1453.15 98.218026 52.7519 1.05765 15.655 2.21296 0.011505 8.11613 0.169623 6.32582 9.78812 2.52438 1.2572 0.129711 0
500.00 1443.15 96.182695 52.8172 1.08003 15.3056 2.23294 0.0117485 8.31203 0.173212 6.45969 9.67896 2.51612 1.28002 0.132456 0
500.00 1433.15 86.965921 53.0168 1.18417 14.934 2.32053 0.0129936 8.78972 0.191569 6.17035 9.23273 2.59693 1.40368 0.146494 0
500.00 1423.15 75.791386 53.2716 1.34207 14.6313 2.4844 0.0149093 9.28152 0.219814 5.52953 8.73616 2.72795 1.59256 0.168093 0
500.00 1413.15 67.124129 53.5565 1.49413 14.3386 2.61393 0.00790275 9.70351 0.248197 4.94473 8.28163 2.8418 1.77928 0.189798 0
500.00 1403.15 60.257042 53.8383 1.64007 14.0495 2.78625 0.00284254 10.0153 0.276482 4.41599 7.86407 2.93762 1.96216 0.211428 0
500.00 1393.15 54.476311 54.1779 1.7675 13.767 3.83082 0.000130741 9.36458 0.305821 3.91716 7.46333 3.02312 2.1488 0.233863 0
500.00 1383.15 46.194907 56.524 1.67893 13.7207 3.39057 0 8.12598 0.360646 3.24071 6.95123 3.23115 2.50031 0.275788 0
500.00 1373.15 40.182345 58.7735 1.58059 13.571 2.84811 0 7.04884 0.41461 2.72202 6.50563 3.38079 2.83778 0.317055 0
500.00 1363.15 35.982191 60.5956 1.51115 13.3387 2.46887 0 6.19684 0.463007 2.33911 6.13476 3.46607 3.13188 0.354064 0
500.00 1353.15 32.817479 62.1416 1.45836 13.0703 2.1782 0 5.49499 0.507656 2.04042 5.81571 3.50906 3.39557 0.388208 0
500.00 1343.15 30.317873 63.4894 1.41642 12.787 1.94308 0 4.90225 0.549511 1.79934 5.53544 3.52187 3.63551 0.420214 0
500.00 1333.15 28.277999 64.6854 1.38214 12.4997 1.74635 0 4.3932 0.589151 1.60015 5.28566 3.51212 3.85563 0.450527 0
500.00 1323.15 26.571852 65.76 1.35362 12.2143 1.57802 0 3.95077 0.626979 1.43267 5.06073 3.485 4.05842 0.479455 0
500.00 1313.15 25.116212 66.7351 1.32961 11.9339 1.43174 0 3.56278 0.663317 1.28996 4.85667 3.44419 4.24552 0.507242 0
500.00 1303.15 23.852615 67.6271 1.30929 11.6597 1.30244 0 3.22091 0.698456 1.16702 4.67067 3.39231 4.41795 0.534113 0
500.00 1293.15 22.735244 68.4497 1.29252 11.3916 1.18491 0 2.91951 0.732783 1.05877 4.50223 3.33117 4.57642 0.560363 0
500.00 1283.15 21.727045 69.2106 1.2802 11.1249 1.08049 0 2.65187 0.766786 0.96142 4.35616 3.26094 4.72027 0.586366 0
500.00 1273.15 20.790364 69.9228 1.27276 10.8561 0.982347 0 2.41849 0.801333 0.872563 4.23316 3.18183 4.8459 0.612784 0
500.00 1263.15 19.664712 70.6353 1.28584 10.5226 0.904003 0 2.23328 0.847203 0.788575 4.19088 3.09648 4.84793 0.647861 0
500.00 1253.15 18.487732 71.3573 1.31215 10.1384 0.840934 0 2.07874 0.901138 0.710738 4.20196 3.01175 4.75781 0.689106 0
500.00 1243.15 17.488177 72.039 1.33605 9.77713 0.782891 0 1.93372 0.952644 0.639144 4.21462 2.93344 4.66286 0.728492 0
500.00 1233.15 16.628623 72.685 1.35785 9.43523 0.729047 0 1.79739 1.00189 0.573272 4.22772 2.85983 4.56661 0.766149 0
500.00 1223.15 15.881178 73.2986 1.37784 9.11007 0.678883 0 1.66921 1.04904 0.512666 4.24093 2.79001 4.4705 0.802207 0
500.00 1213.15 15.224291 73.885 1.39638 8.79983 0.599884 0 1.57776 1.0943 0.456951 4.25435 2.72347 4.37526 0.836821 0
500.00 1203.15 14.579573 74.5584 1.3125 8.48856 0.562402 0 1.46775 1.13348 0.399403 4.27094 2.65842 4.27428 0.873825 0
500.00 1193.15 14.011203 75.2008 1.23255 8.19082 0.526229 0 1.36241 1.17049 0.347861 4.28937 2.59712 4.17309 0.909272 0
500.00 1183.15 13.506501 75.8118 1.1581 7.90505 0.491751 0 1.26261 1.20563 0.3016 4.30884 2.53891 4.07241 0.943249 0
500.00 1173.15 13.055184 76.3939 1.08875 7.63007 0.458858 0 1.16806 1.23905 0.260193 4.32932 2.48333 3.97263 0.975858 0
500.00 1163.15 12.649095 76.9489 1.02413 7.36489 0.427448 0 1.07848 1.27089 0.223255 4.35081 2.43007 3.87395 1.00719 0
500.00 1153.15 12.281529 77.4796 0.963939 7.1088 0.38454 0 1.00523 1.3013 0.190436 4.37338 2.37891 3.77654 1.03733 0
