Title: Nd3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.822266 97.822266 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.822845 97.822845 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.823461 97.823461 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.824113 97.824113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.824436 95.795798 0.000000 0.000000 0.000000 2.028638 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.824455 92.244665 0.000000 0.000000 0.000000 5.579791 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.824468 88.902788 0.000000 0.000000 0.000000 8.921680 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.823215 80.222886 0.000000 4.412966 0.000000 13.187363 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.820148 69.853347 0.000000 10.205444 0.000000 17.761357 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.818015 59.510194 0.000000 12.878036 2.813998 22.545269 0.000000 0.070518 0.000000 0.000000 
500.00 1423.15 97.817670 50.882311 0.000000 14.741929 5.522163 26.505001 0.000000 0.166265 0.000000 0.000000 
500.00 1413.15 97.823472 43.227750 0.000000 16.451819 7.880997 29.838659 0.000000 0.424247 0.000000 0.000000 
500.00 1403.15 97.861723 34.482515 0.000000 19.028428 9.728473 32.947092 0.000000 1.675216 0.000000 0.000000 
500.00 1393.15 97.906955 26.415943 0.000000 21.469862 10.874203 35.865552 0.000000 3.281395 0.000000 0.000000 
500.00 1383.15 97.922660 21.427643 0.000000 22.629129 11.768967 38.050348 0.000000 4.046573 0.000000 0.000000 
500.00 1373.15 97.925625 18.090914 0.000000 23.209195 12.520653 39.683459 0.000000 4.421405 0.000000 0.000000 
500.00 1363.15 97.923014 15.695197 0.000000 23.506233 13.169223 40.941358 0.000000 4.611004 0.000000 0.000000 
500.00 1353.15 97.917794 13.888524 0.000000 23.648979 13.738313 41.938481 0.000000 4.703497 0.000000 0.000000 
500.00 1343.15 97.911343 12.475067 0.000000 23.701711 14.243834 42.749139 0.000000 4.741591 0.000000 0.000000 
500.00 1333.15 97.904351 11.336742 0.000000 23.699631 14.697347 43.422822 0.000000 4.747809 0.000000 0.000000 
500.00 1323.15 97.897035 10.376819 0.000000 23.665098 15.112634 43.998445 0.000000 4.733836 0.000000 0.010203 
500.00 1313.15 97.889561 9.545226 0.000000 23.609851 15.496812 44.499554 0.000000 4.706452 0.000000 0.031665 
500.00 1303.15 97.882244 8.837517 0.000000 23.539365 15.848288 44.936034 0.000000 4.671505 0.000000 0.049535 
500.00 1293.15 97.869393 8.059841 0.262685 23.460684 16.025610 45.427247 0.000000 4.554943 0.000000 0.078383 
500.00 1283.15 97.859713 7.448535 0.371070 23.365766 16.286358 45.816980 0.000000 4.473261 0.000000 0.097744 
500.00 1273.15 97.850469 6.906495 0.461271 23.263768 16.546321 46.166294 0.000000 4.391564 0.000000 0.114755 
500.00 1263.15 97.841632 6.421071 0.536794 23.157953 16.803773 46.481944 0.000000 4.310271 0.000000 0.129825 
500.00 1253.15 97.833171 5.982452 0.600340 23.050587 17.057867 46.769166 0.000000 4.229485 0.000000 0.143273 
500.00 1243.15 97.825053 5.582931 0.654018 22.943265 17.308328 47.032051 0.000000 4.149111 0.000000 0.155351 
500.00 1233.15 97.817247 5.216375 0.699493 22.837124 17.555256 47.273811 0.000000 4.068926 0.000000 0.166262 
500.00 1223.15 97.803725 4.461073 0.745516 22.683936 18.157359 47.723833 0.000000 3.577514 0.263019 0.191474 
500.00 1213.15 97.787529 3.594468 0.782930 22.501829 18.866863 48.090160 0.167295 3.022094 0.541634 0.220255 
500.00 1203.15 97.761109 2.247262 0.812071 22.216973 20.013875 48.153594 0.952204 2.171581 0.928051 0.265499 
500.00 1193.15 97.737003 1.152931 0.829312 21.966567 21.011722 48.207356 1.576921 1.452795 1.237243 0.302155 
500.00 1183.15 97.717762 0.363154 0.833431 21.762234 21.760157 48.247769 2.034360 0.934909 1.453004 0.328745 
500.00 1173.15 97.707850 0.000000 0.835444 21.649032 22.093891 48.237342 2.290230 0.713495 1.547300 0.341116 
500.00 1163.15 97.706929 0.000000 0.851928 21.638146 22.055379 48.153006 2.388782 0.731352 1.547219 0.341116 
500.00 1153.15 97.706039 0.000000 0.868260 21.625813 22.017396 48.073680 2.483097 0.749262 1.547414 0.341116 
500.00 1143.15 97.705179 0.000000 0.884423 21.612078 21.979949 47.999175 2.573349 0.767209 1.547879 0.341116 
500.00 1133.15 97.704350 0.000000 0.900401 21.596983 21.943047 47.929311 2.659703 0.785181 1.548608 0.341116 
500.00 1123.15 97.703553 0.000000 0.916178 21.580568 21.906700 47.863915 2.742315 0.803165 1.549597 0.341116 
