Title: Nd3

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.822266 1.0000000000000000 1.000000 264.624482 -1179926.699919 36.536190 -205.556627 2325.525062 145.646178 -7.007 0.000 2.677407 0.000000 2.340 0 0.000
500.00 1513.15 97.822845 1.0000000000000000 1.000000 263.666188 -1181391.584461 36.513448 -205.771231 2325.654899 145.649151 -7.116 0.000 2.679091 0.000000 2.384 0 0.000
500.00 1503.15 97.823461 1.0000000000000000 1.000000 262.701557 -1182857.047746 36.490736 -205.986944 2325.792721 145.652307 -7.225 0.000 2.680775 0.000000 2.428 0 0.000
500.00 1493.15 97.824113 1.0000000000000000 1.000000 261.730502 -1184323.111116 36.468052 -206.203832 2325.938771 145.655651 -7.336 0.000 2.682461 0.000000 2.473 0 0.000
500.00 1483.15 97.824436 0.9792624651024648 0.979134 260.296420 -1186461.778558 36.412129 -202.620358 2302.550940 145.100797 -7.449 0.000 2.686942 2.670032 2.498 0 0.000
500.00 1473.15 97.824455 0.9429611874182083 0.942434 258.537875 -1189061.590659 36.330550 -196.085875 2261.755573 140.845369 -7.563 0.000 2.694130 2.667949 2.505 0 0.000
500.00 1463.15 97.824468 0.9087990940648189 0.907682 256.836794 -1191559.324769 36.251518 -189.824649 2223.707099 140.057736 -7.679 0.000 2.701815 2.665828 2.508 0 0.000
500.00 1453.15 97.823215 0.8200802443371610 0.824147 253.736218 -1196056.799790 35.927025 -176.325524 2119.640134 137.467242 -7.796 0.000 2.709394 2.785803 2.539 0 0.000
500.00 1443.15 97.820148 0.7140997869723103 0.723404 250.282951 -1201005.229228 35.527694 -160.170732 1994.035269 134.364915 -7.915 0.000 2.717936 2.845968 2.580 0 0.000
500.00 1433.15 97.818015 0.6083766241419543 0.620917 246.955686 -1205754.279260 35.146918 -143.417005 1866.210167 131.378190 -8.035 0.000 2.726909 2.875185 2.623 0 0.000
500.00 1423.15 97.817670 0.5201750520086645 0.534113 244.053991 -1209892.941510 34.828154 -129.264108 1757.946756 128.921023 -8.157 0.000 2.735289 2.892605 2.665 0 0.000
500.00 1413.15 97.823472 0.4418954757740540 0.456819 241.387296 -1213774.525370 34.548295 -116.814188 1656.754083 126.745767 -8.281 0.000 2.738996 2.909295 2.733 0 0.000
