Title: Mr2

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.949423 48.5714 1.13572 15.8217 2.3104 0.019461 9.04326 0.195813 7.28424 11.318 1.99729 0.332882 0.127278 1.84258
500.00 1513.15 99.954285 48.569 1.13566 15.8209 2.31629 0.0194601 9.03741 0.195803 7.28389 11.3174 1.9972 0.332866 0.127272 1.84675
500.00 1503.15 99.959263 48.5666 1.1356 15.8201 2.32255 0.0194591 9.03123 0.195794 7.28353 11.3169 1.9971 0.332849 0.127266 1.851
500.00 1493.15 99.964362 48.5641 1.13555 15.8193 2.32919 0.0194581 9.02469 0.195784 7.28315 11.3163 1.99699 0.332832 0.127259 1.85533
500.00 1483.15 99.969585 48.5616 1.13549 15.8185 2.33621 0.0194571 9.01779 0.195773 7.28277 11.3157 1.99689 0.332815 0.127253 1.85974
500.00 1473.15 99.974934 48.559 1.13543 15.8177 2.34364 0.0194561 9.0105 0.195763 7.28238 11.3151 1.99678 0.332797 0.127246 1.86423
500.00 1463.15 99.980414 48.5564 1.13536 15.8168 2.35149 0.019455 9.00283 0.195752 7.28198 11.3145 1.99667 0.332779 0.127239 1.86881
500.00 1453.15 99.986027 48.5536 1.1353 15.8159 2.35977 0.0194539 8.99476 0.195741 7.28158 11.3138 1.99656 0.33276 0.127232 1.87348
500.00 1443.15 99.991779 48.5508 1.13523 15.815 2.36848 0.0194528 8.98628 0.19573 7.28116 11.3132 1.99645 0.332741 0.127225 1.87824
500.00 1433.15 99.997672 48.548 1.13517 15.8141 2.37766 0.0194516 8.97737 0.195718 7.28073 11.3125 1.99633 0.332721 0.127217 1.88309
500.00 1423.15 100.003710 48.545 1.1351 15.8131 2.3873 0.0194505 8.96802 0.195707 7.28029 11.3118 1.99621 0.332701 0.127209 1.88803
500.00 1413.15 100.009899 48.542 1.13503 15.8121 2.39744 0.0194493 8.95821 0.195695 7.27984 11.3111 1.99608 0.332681 0.127201 1.89307
500.00 1403.15 99.277145 48.6084 1.14341 15.9288 2.40534 0.0195928 8.91121 0.195048 7.01377 11.3915 2.01082 0.335136 0.12814 1.90879
500.00 1393.15 97.315210 48.6578 1.15717 16.1786 2.41434 0.0199878 8.92004 0.197141 6.67833 11.3239 2.04952 0.341893 0.130724 1.93053
500.00 1383.15 91.987117 48.7025 1.17568 16.7871 2.4178 0.0123491 9.07083 0.208513 6.212 10.7846 2.16014 0.361696 0.138296 1.96848
500.00 1373.15 85.156831 48.9244 1.21463 17.0769 2.45323 0.00505368 9.32553 0.223402 5.74345 10.1979 2.29313 0.39008 0.149388 2.00297
500.00 1363.15 75.925201 49.4888 1.29095 16.8156 2.53823 0.000497774 9.7311 0.244583 5.2552 9.53753 2.46295 0.435447 0.167552 2.03154
500.00 1353.15 65.953490 51.0072 1.23111 16.7371 2.43694 1.87269e-007 9.25328 0.275796 4.70829 8.85813 2.70348 0.498768 0.192884 2.09699
500.00 1343.15 57.393099 52.9224 1.11482 16.6821 2.25211 0 8.39165 0.311475 4.19595 8.20805 2.95897 0.570294 0.221654 2.17061
500.00 1333.15 50.531210 54.6537 1.01557 16.5462 2.08901 0 7.63005 0.353784 3.75639 7.62823 3.19797 0.644462 0.251753 2.23286
500.00 1323.15 44.560920 56.3185 0.951612 16.1863 1.96121 0 6.9777 0.401184 3.26886 7.21841 3.41897 0.726338 0.285483 2.28548
500.00 1313.15 40.012572 57.8511 0.895039 15.7923 1.84313 0 6.39615 0.446788 2.86826 6.85419 3.60172 0.804261 0.317935 2.32908
500.00 1303.15 36.411684 59.273 0.844673 15.3762 1.73335 0 5.87393 0.490972 2.53384 6.52819 3.7518 0.878933 0.349377 2.36572
500.00 1293.15 33.476714 60.6003 0.799543 14.9466 1.6307 0 5.40191 0.534017 2.25102 6.23454 3.8736 0.950869 0.380008 2.39689
500.00 1283.15 31.030519 61.8457 0.758871 14.5096 1.53428 0 4.97293 0.576114 2.00927 5.96852 3.97067 1.02042 0.409964 2.42365
500.00 1273.15 28.955949 63.0186 0.722036 14.0702 1.44342 0 4.58135 0.617391 1.80075 5.72629 4.04599 1.08784 0.439337 2.44683
500.00 1263.15 27.172417 64.1264 0.688529 13.6321 1.35759 0 4.22266 0.657915 1.61955 5.50467 4.10213 1.15325 0.468174 2.46704
500.00 1253.15 25.622263 65.175 0.657931 13.1983 1.27641 0 3.8932 0.697719 1.46106 5.30098 4.14135 1.21674 0.496498 2.48477
500.00 1243.15 24.262855 66.1693 0.629892 12.7712 1.19954 0 3.58994 0.736811 1.32165 5.11298 4.16566 1.27835 0.524316 2.50042
500.00 1233.15 23.061776 67.1131 0.604118 12.3524 1.12675 0 3.31033 0.775184 1.19842 4.93877 4.17688 1.33809 0.551623 2.51431
500.00 1223.15 21.993780 68.0101 0.580356 11.9433 1.05782 0 3.05222 0.812827 1.08902 4.77671 4.17661 1.39599 0.578409 2.52671
500.00 1213.15 21.038812 68.8631 0.558389 11.5448 0.992562 0 2.81372 0.849722 0.991512 4.62543 4.16629 1.45203 0.604664 2.53782
500.00 1203.15 20.180676 69.675 0.538031 11.1575 0.930818 0 2.59317 0.885854 0.904296 4.48375 4.14721 1.50623 0.630376 2.54784
500.00 1193.15 19.406116 70.4482 0.519118 10.7817 0.872434 0 2.38914 0.921211 0.826036 4.35066 4.1205 1.55859 0.655536 2.55693
500.00 1183.15 18.704160 71.1849 0.501505 10.4177 0.817267 0 2.20031 0.955784 0.755607 4.22529 4.08718 1.60914 0.680138 2.5652
500.00 1173.15 18.065638 71.8873 0.485064 10.0654 0.76518 0 2.02553 0.989565 0.692056 4.10692 4.04814 1.65788 0.704177 2.57278
500.00 1163.15 17.482827 72.5572 0.469684 9.72492 0.716039 0 1.86373 1.02255 0.634571 3.9949 4.00417 1.70484 0.727652 2.57975
500.00 1153.15 16.949176 73.1965 0.455261 9.39594 0.669715 0 1.71395 1.05475 0.582455 3.88869 3.95596 1.75004 0.750562 2.5862
500.00 1143.15 16.459094 73.8067 0.441705 9.0783 0.626081 0 1.57533 1.08616 0.535109 3.78781 3.90414 1.79352 0.77291 2.59219
500.00 1133.15 16.007784 74.3896 0.428934 8.77173 0.585014 0 1.44706 1.11678 0.492014 3.69185 3.84925 1.83529 0.794701 2.59779
500.00 1123.15 15.591107 74.9465 0.416873 8.47595 0.546393 0 1.3284 1.14662 0.452718 3.60045 3.79177 1.8754 0.81594 2.60304
500.00 1113.15 15.205478 75.4787 0.405456 8.19065 0.5101 0 1.21866 1.1757 0.416826 3.51329 3.73212 1.91388 0.836633 2.60798
500.00 1103.15 14.847777 75.9876 0.394619 7.91552 0.476021 0 1.11723 1.20403 0.383995 3.4301 3.6707 1.95074 0.856789 2.61266
500.00 1093.15 14.512151 76.476 0.374791 7.6482 0.447027 0 1.03046 1.23117 0.351791 3.35279 3.60734 1.98638 0.876604 2.6175
500.00 1083.15 14.174116 76.9956 0.34804 7.37629 0.417881 0 0.945034 1.22533 0.316846 3.29474 3.53953 2.02343 0.89751 2.61977
500.00 1073.15 13.851708 77.5161 0.326291 7.10778 0.383768 0 0.850504 1.21182 0.284238 3.2505 3.46973 2.05984 0.9184 2.62103
500.00 1063.15 13.554220 78.0105 0.306119 6.85044 0.351596 0 0.763272 1.19891 0.254648 3.20915 3.40025 2.09438 0.938557 2.62215
500.00 1053.15 13.278182 78.4862 0.287392 6.60431 0.321261 0 0.682919 1.18659 0.227796 3.16676 3.33151 2.12725 0.954825 2.62314
500.00 1043.15 13.023123 78.9348 0.269976 6.36815 0.292853 0 0.609243 1.17493 0.203375 3.12909 3.26328 2.15825 0.971977 2.62404
500.00 1033.15 11.819757 79.0942 0.259332 6.14379 0.255916 0 0.514738 1.22285 0.167951 3.11346 3.26919 2.34655 0.98624 2.62574
