Title: Mr2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.094276 99.949423 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.144853 
500.00 1513.15 100.094877 99.954285 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.140592 
500.00 1503.15 100.095515 99.959263 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.136252 
500.00 1493.15 100.096192 99.964362 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.131830 
500.00 1483.15 100.096908 99.969585 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.127323 
500.00 1473.15 100.097665 99.974934 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.122731 
500.00 1463.15 100.098463 99.980414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.118050 
500.00 1453.15 100.099306 99.986027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.113278 
500.00 1443.15 100.100192 99.991779 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.108414 
500.00 1433.15 100.101126 99.997672 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.103454 
500.00 1423.15 100.102106 100.003710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.098396 
500.00 1413.15 100.103137 100.009899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.093238 
500.00 1403.15 100.102163 99.277145 0.733516 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.091502 
500.00 1393.15 99.369293 97.315210 0.608770 0.000000 1.337513 0.000000 0.000000 0.000000 0.000000 0.000000 0.107800 
500.00 1383.15 97.430352 91.987117 0.014458 0.000000 5.162021 0.000000 0.000000 0.091008 0.000000 0.000000 0.175748 
500.00 1373.15 92.170953 85.156831 0.436498 0.000000 4.329790 1.828163 0.000000 0.138839 0.000000 0.000000 0.280832 
500.00 1363.15 85.448020 75.925201 1.083735 0.000000 3.121328 4.585418 0.000000 0.288295 0.000000 0.000000 0.444043 
500.00 1353.15 76.421799 65.953490 0.742652 0.000000 3.407959 4.183005 0.000000 1.531235 0.000000 0.000000 0.603457 
500.00 1343.15 66.613126 57.393099 0.496818 0.000000 2.745449 3.592743 0.000000 1.644301 0.000000 0.000000 0.740715 
500.00 1333.15 58.176177 50.531210 0.000000 0.615891 1.839186 3.113410 0.000000 1.218275 0.000000 0.000000 0.858206 
500.00 1323.15 51.419134 44.560920 0.000000 1.137404 0.679597 3.193537 0.000000 0.879610 0.000000 0.000000 0.968064 
500.00 1313.15 45.551309 40.012572 0.000000 0.847499 0.424787 2.567015 0.000000 0.644865 0.000000 0.000000 1.054573 
500.00 1303.15 41.084709 36.411684 0.000000 0.652559 0.275887 2.128399 0.000000 0.491082 0.000000 0.000000 1.125098 
500.00 1293.15 37.551121 33.476714 0.000000 0.514359 0.185840 1.805220 0.000000 0.384890 0.000000 0.000000 1.184098 
500.00 1283.15 34.672872 31.030519 0.000000 0.412269 0.130231 1.557019 0.000000 0.308410 0.000000 0.000000 1.234424 
500.00 1273.15 32.275340 28.955949 0.000000 0.334433 0.095521 1.359993 0.000000 0.251449 0.000000 0.000000 1.277993 
500.00 1263.15 30.243093 27.172417 0.000000 0.273571 0.073888 1.199212 0.000000 0.207862 0.000000 0.000000 1.316142 
500.00 1253.15 28.496755 25.622263 0.000000 0.225090 0.060516 1.065262 0.000000 0.173784 0.000000 0.000000 1.349841 
500.00 1243.15 26.979557 24.262855 0.000000 0.185933 0.052378 0.951898 0.000000 0.146672 0.000000 0.000000 1.379822 
500.00 1233.15 25.649544 23.061776 0.000000 0.153975 0.047539 0.854808 0.000000 0.124795 0.000000 0.000000 1.406651 
500.00 1223.15 24.474826 21.993780 0.000000 0.127682 0.044752 0.770900 0.000000 0.106933 0.000000 0.000000 1.430778 
500.00 1213.15 23.430578 21.038812 0.000000 0.105914 0.043210 0.697870 0.000000 0.092203 0.000000 0.000000 1.452569 
500.00 1203.15 22.497093 20.180676 0.000000 0.087799 0.042394 0.633946 0.000000 0.079953 0.000000 0.000000 1.472325 
500.00 1193.15 21.658459 19.406116 0.000000 0.072659 0.041972 0.577725 0.000000 0.069689 0.000000 0.000000 1.490296 
