Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.098657 46.194762 39.678413 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.516349 
500.00 1513.15 100.099260 46.045952 39.638567 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.407386 
500.00 1503.15 100.099901 45.896910 39.598835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.298075 
500.00 1493.15 100.100579 45.747634 39.559221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.188413 
500.00 1483.15 100.101298 45.598125 39.519728 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.078397 
500.00 1473.15 100.102057 45.448383 39.480359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.968024 
500.00 1463.15 100.102858 45.298408 39.441116 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.857291 
500.00 1453.15 100.103703 45.148199 39.402003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.746196 
500.00 1443.15 100.104592 44.997759 39.363024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.634735 
500.00 1433.15 100.105528 44.847087 39.324180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.522907 
500.00 1423.15 100.106512 44.696186 39.285476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.410710 
500.00 1413.15 100.107546 44.545057 39.246914 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.298143 
500.00 1403.15 100.108450 44.395773 39.187105 0.019450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.189218 
500.00 1393.15 100.109166 44.598261 37.802990 0.119108 0.000000 0.995906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.680257 
