Title: Nd3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.094002 45.489894 40.015000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.474894 
500.00 1513.15 100.094572 45.345522 39.975294 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.370228 
500.00 1503.15 100.095178 45.200915 39.935705 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.265210 
500.00 1493.15 100.095821 45.056074 39.896237 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.159837 
500.00 1483.15 100.096501 44.910998 39.856892 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.054106 
500.00 1473.15 100.097220 44.765687 39.817673 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.948014 
500.00 1463.15 100.097978 44.620142 39.778583 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.841559 
500.00 1453.15 100.098778 44.474362 39.739626 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.734736 
500.00 1443.15 100.099620 44.328350 39.700805 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.627545 
500.00 1433.15 100.100506 44.182106 39.662124 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.519982 
500.00 1423.15 100.101437 44.035632 39.623584 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.412047 
500.00 1413.15 100.102416 43.888930 39.585191 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.303738 
500.00 1403.15 100.103442 43.742003 39.546948 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.195054 
500.00 1393.15 100.104976 43.807204 38.758732 0.000000 0.000000 0.603887 0.000000 0.000000 0.000000 0.000000 0.000000 4.444585 
500.00 1383.15 98.152121 43.595819 36.812704 0.000000 0.000000 1.527882 0.000000 0.000000 0.011364 0.000000 0.000000 5.243869 
500.00 1373.15 93.142540 42.392586 35.055766 0.000000 0.000000 1.366075 0.000000 0.000000 0.025911 0.000000 0.000000 5.944834 
500.00 1363.15 88.581814 41.818164 32.575246 0.082503 0.000000 1.149757 0.773307 0.000000 0.040754 0.000000 0.000000 7.196596 
500.00 1353.15 82.315504 41.139430 29.110718 0.254924 0.000000 0.900016 1.597267 0.000000 0.202869 0.000000 0.000000 9.073637 
500.00 1343.15 73.345915 39.466303 25.822803 0.170154 0.000000 0.833542 1.468980 0.000000 0.354766 0.000000 0.000000 10.816059 
500.00 1333.15 64.508264 37.622809 23.307578 0.130987 0.000000 0.562034 1.210324 0.000000 0.258031 0.000000 0.000000 12.153854 
500.00 1323.15 57.820284 36.297189 21.155481 0.000000 0.178973 0.375470 1.083519 0.000000 0.198850 0.000000 0.000000 13.304896 
500.00 1313.15 52.203907 35.242586 19.184624 0.000000 0.300596 0.116450 1.118937 0.000000 0.148827 0.000000 0.000000 14.373152 
500.00 1303.15 47.167247 34.160367 17.602193 0.000000 0.232812 0.069375 0.936229 0.000000 0.112962 0.000000 0.000000 15.206796 
500.00 1293.15 43.161187 33.280211 16.294366 0.000000 0.184493 0.041683 0.801252 0.000000 0.088239 0.000000 0.000000 15.870177 
500.00 1283.15 39.880152 32.535430 15.189528 0.000000 0.148575 0.025299 0.697122 0.000000 0.070449 0.000000 0.000000 16.404456 
500.00 1273.15 37.132204 31.885464 14.240400 0.000000 0.120993 0.015747 0.613885 0.000000 0.057201 0.000000 0.000000 16.837236 
500.00 1263.15 34.790779 31.304355 13.414547 0.000000 0.099259 0.010434 0.545316 0.000000 0.047063 0.000000 0.000000 17.187736 
500.00 1253.15 32.769118 30.774948 12.688783 0.000000 0.081810 0.007751 0.487547 0.000000 0.039136 0.000000 0.000000 17.469921 
500.00 1243.15 31.005286 30.285437 12.045924 0.000000 0.067614 0.006680 0.438063 0.000000 0.032832 0.000000 0.000000 17.694324 
500.00 1233.15 29.453502 29.827420 11.472822 0.000000 0.055954 0.006567 0.395174 0.000000 0.027751 0.000000 0.000000 17.869152 
