Title: Nd3

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.386410 -9.62966e-012 2.15215e-012 9.9558e-012 -1.54853e-011 -1.59922e-015 3.6357e-010 5.57307e-014 0 -2.80271e-011 3.33893e-013 -4.2291e-014 3.74376e-013 100
500.00 1513.15 0.381822 8.46238e-013 0 3.47429e-013 0 0 0 0 0 -1.52871e-013 0 0 0 100
500.00 1503.15 0.377146 -4.14546e-013 0 1.17246e-013 0 0 0 0 0 5.15887e-014 0 0 0 100
500.00 1493.15 0.372381 1.76337e-012 0 -2.37491e-014 0 0 0 0 0 1.82871e-013 0 0 0 100
500.00 1483.15 0.367525 9.35877e-013 0 -2.64693e-013 0 0 0 0 0 -2.64696e-014 0 0 0 100
500.00 1473.15 0.362575 -1.00615e-012 0 2.19523e-013 0 0 0 0 0 -1.94524e-013 0 0 0 100
500.00 1463.15 0.357528 -9.62044e-013 0 -2.47358e-014 0 0 0 0 0 2.72097e-014 0 0 0 100
500.00 1453.15 0.352383 9.76092e-013 0 -2.76066e-013 0 0 0 0 0 -1.93249e-013 0 0 0 100
500.00 1443.15 0.347136 4.50384e-013 0 3.82144e-013 0 0 0 0 0 -5.60485e-014 0 0 0 100
500.00 1433.15 0.341785 -1.06735e-012 0 2.32876e-013 0 0 0 0 0 7.82733e-014 0 0 0 100
500.00 1423.15 0.336327 2.13835e-012 0 2.62951e-014 0 0 0 0 0 -1.95243e-013 0 0 0 100
500.00 1413.15 0.330759 1.22898e-012 0 -2.40639e-013 0 0 0 0 0 4.41178e-014 0 0 0 100
500.00 1403.15 0.325078 1.50696e-012 0 4.08074e-013 0 0 0 0 0 -2.39406e-013 0 0 0 100
500.00 1393.15 2.305306 42.522 0.509355 4.16939 2.17563 0 4.15642 0 13.0373 18.2515 0.113098 0 0 15.0653
500.00 1383.15 5.431274 45.3739 0.67707 4.95614 2.87271 0.0917573 4.9361 0 13.809 19.543 0.13189 0 0 7.60842
500.00 1373.15 5.042486 43.4086 0.826865 5.2838 3.5524 0.143496 5.37463 0 13.1354 18.7669 0.137577 0 0 9.37027
500.00 1363.15 6.876375 42.4197 0.666697 13.7951 2.88441 0.06683 4.74264 0.0152271 9.70551 16.7044 0.590907 0.0181726 0 8.39038
500.00 1353.15 9.760582 38.9361 1.03261 17.4238 5.39283 0.0108176 6.63401 0.0397294 8.41609 13.6898 0.875314 0.0305265 0 7.51837
500.00 1343.15 9.762103 35.3582 1.60802 16.311 8.71362 0 8.29771 0.0326254 7.39041 12.2955 0.919982 0.0324195 0 9.04056
500.00 1333.15 7.721804 34.3978 1.48095 16.1644 7.98132 0 7.85567 0.0382596 6.61313 11.3962 1.07464 0.0388099 0 12.9588
500.00 1323.15 6.746083 34.9245 1.30944 15.9474 7.08333 0 7.01931 0 5.79673 10.2589 1.22817 0.0459734 0 16.3863
500.00 1313.15 6.260899 35.3817 1.03403 16.5637 5.61125 0 6.54023 0 5.57421 8.49002 1.49468 0.0596225 0 19.2505
500.00 1303.15 5.308583 33.7492 0.941456 15.8324 5.01179 0 5.98869 0 4.80382 7.73248 1.62593 0.0680901 0 24.2462
500.00 1293.15 4.649947 32.1005 0.852927 15.0223 4.45877 0 5.44907 0 4.13131 7.00931 1.73625 0.0765202 0 29.163
500.00 1283.15 4.174182 30.4695 0.770302 14.1694 3.95663 0 4.93566 0 3.55036 6.33444 1.82413 0.0848251 0 33.9048
500.00 1273.15 3.817822 28.8744 0.694428 13.3007 3.50558 0 4.45617 0 3.05202 5.71454 1.88914 0.0929157 0 38.4201
500.00 1263.15 3.542401 27.3227 0.62554 12.4351 3.1035 0 4.01395 0 2.6264 5.15133 1.93156 0.100695 0 42.6892
500.00 1253.15 3.324068 25.8187 0.563455 11.5871 2.74685 0 3.60956 0 2.26369 4.64341 1.9527 0.108085 0 46.7064
500.00 1243.15 3.147410 24.366 0.507775 10.7674 2.43152 0 3.24196 0 1.95484 4.18761 1.95461 0.115035 0 50.4733
500.00 1233.15 3.002125 22.9681 0.458002 9.98374 2.15331 0 2.90925 0 1.69179 3.7799 1.93978 0.121522 0 53.9946
500.00 1223.15 2.881096 21.6288 0.41361 9.24145 1.90822 0 2.60909 0 1.46757 3.41592 1.91097 0.127554 0 57.2768
500.00 1213.15 2.779248 20.3514 0.374077 8.54379 1.6925 0 2.33896 0 1.27619 3.09136 1.87088 0.133163 0 60.3277
500.00 1203.15 2.692850 19.1386 0.33891 7.89239 1.50276 0 2.09633 0 1.11259 2.80206 1.82211 0.138407 0 63.1558
500.00 1193.15 2.619085 17.9924 0.307647 7.2875 1.33594 0 1.87869 0 0.972493 2.54418 1.76696 0.143359 0 65.7708
500.00 1183.15 2.555775 16.9137 0.279868 6.72835 1.18929 0 1.68369 0 0.852287 2.31418 1.70744 0.148112 0 68.1831
500.00 1173.15 2.501205 15.9024 0.255191 6.21339 1.06038 0 1.50908 0 0.748937 2.10886 1.64526 0.152771 0 70.4038
500.00 1163.15 2.454005 14.9575 0.233271 5.74057 0.947047 0 1.35278 0 0.659886 1.92534 1.5818 0.157459 0 72.4443
500.00 1153.15 2.413070 14.0777 0.213799 5.30752 0.847382 0 1.21288 0 0.582984 1.76106 1.51817 0.162317 0 74.3162
500.00 1143.15 2.377501 13.261 0.196502 4.91171 0.759706 0 1.08763 0 0.516419 1.61376 1.45527 0.167514 0 76.0305
500.00 1133.15 2.346571 12.5054 0.181137 4.55063 0.682544 0 0.975439 0 0.458665 1.48141 1.39379 0.173262 0 77.5977
500.00 1123.15 2.319694 11.8091 0.16749 4.22185 0.614606 0 0.874875 0 0.408434 1.36224 1.33428 0.17984 0 79.0273
500.00 1113.15 2.301444 11.1596 0.15469 3.91935 0.552474 0 0.787574 0 0.366052 1.35584 1.27606 0.187604 0.0837725 80.157
500.00 1103.15 2.282951 10.572 0.143816 3.64684 0.499115 0 0.70638 0 0.327505 1.29505 1.2211 0.19726 0.113029 81.2779
500.00 1093.15 2.275478 10.2717 0.330962 3.4532 0.251335 0 0.66905 0.0127426 0.329914 1.17932 1.18812 0.213798 0.110449 81.9894
500.00 1083.15 2.259398 9.77291 0.310955 3.22602 0.253483 0 0.619955 0.0125209 0.293375 1.06673 1.13587 0.231226 0.0847848 82.9922
500.00 1073.15 2.373196 12.0743 0.265134 3.68616 0.0782176 0 0.815955 0.182174 0.292439 0.905276 1.15436 0.896226 0.146422 79.5033
500.00 1063.15 2.439174 13.3562 0.238405 3.88992 0.0701368 0 0.71351 0.158181 0.259312 0.789223 1.09232 1.42136 0.16242 77.849
500.00 1053.15 2.394530 12.2425 0.214659 3.55707 0.0614963 0 0.654086 0.152523 0.228321 0.699545 1.00342 1.30277 0.13299 79.7506
500.00 1043.15 2.356775 11.2572 0.194061 3.26408 0.0540099 0 0.598659 0.14654 0.201093 0.616755 0.924218 1.19926 0.104787 81.4393
500.00 1033.15 2.324519 10.382 0.176112 3.00513 0.0475 0 0.547236 0.140416 0.177136 0.539466 0.853425 1.10846 0.0773515 82.9458
500.00 1023.15 2.296700 9.60152 0.160401 2.77535 0.0418201 0 0.499721 0.134289 0.156014 0.466455 0.789953 1.02843 0.0502335 84.2958
