Title: Mr1

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.809707 49.5247 1.13547 15.5012 2.36358 0.0171762 9.04 0.197424 7.04961 11.5024 2.15234 0.365301 0.12831 1.02239
500.00 1513.15 97.810309 49.5244 1.13546 15.5011 2.36971 0.0171761 9.03441 0.197423 7.04956 11.5024 2.15233 0.365299 0.12831 1.02239
500.00 1503.15 97.810949 49.5241 1.13546 15.501 2.37623 0.017176 9.02848 0.197422 7.04952 11.5023 2.15232 0.365297 0.128309 1.02238
500.00 1493.15 97.811628 49.5238 1.13545 15.5009 2.38313 0.0171759 9.02219 0.19742 7.04947 11.5022 2.1523 0.365294 0.128308 1.02237
500.00 1483.15 97.812345 49.5234 1.13544 15.5008 2.39044 0.0171757 9.01553 0.197419 7.04942 11.5021 2.15228 0.365291 0.128307 1.02237
500.00 1473.15 97.813104 49.523 1.13543 15.5007 2.39816 0.0171756 9.0085 0.197417 7.04936 11.502 2.15227 0.365288 0.128306 1.02236
500.00 1463.15 97.813904 49.5226 1.13542 15.5006 2.4063 0.0171755 9.00108 0.197416 7.0493 11.5019 2.15225 0.365286 0.128305 1.02235
500.00 1453.15 97.814747 49.5222 1.13541 15.5004 2.41489 0.0171753 8.99326 0.197414 7.04924 11.5018 2.15223 0.365282 0.128304 1.02234
500.00 1443.15 97.815635 49.5217 1.1354 15.5003 2.42393 0.0171752 8.98502 0.197412 7.04918 11.5017 2.15221 0.365279 0.128303 1.02233
500.00 1433.15 97.816570 49.5213 1.13539 15.5001 2.43344 0.017175 8.97636 0.19741 7.04911 11.5016 2.15219 0.365276 0.128301 1.02232
500.00 1423.15 97.432228 49.5177 1.13802 15.5418 2.44377 0.0172428 8.98248 0.198189 7.01502 11.4638 2.16008 0.366716 0.128807 1.02635
500.00 1413.15 91.574188 49.5191 1.18276 15.8635 2.48133 0.0183458 9.26503 0.210867 6.65898 10.9137 2.26759 0.389711 0.137047 1.09201
500.00 1403.15 84.947923 49.5617 1.24257 15.8804 2.55095 0.0197768 9.67613 0.227316 6.41331 10.306 2.37805 0.41885 0.147738 1.17719
500.00 1393.15 78.365592 49.8075 1.30544 15.8287 2.61214 0.00985369 9.97788 0.242058 5.98654 9.84738 2.49407 0.452279 0.160147 1.27607
500.00 1383.15 72.480176 50.112 1.35498 15.7972 2.65464 0.00461521 10.1867 0.256574 5.57347 9.41117 2.60876 0.487071 0.173151 1.37969
500.00 1373.15 66.799851 50.6242 1.36969 15.8281 2.64925 0.0012012 10.1606 0.272644 5.15917 8.98783 2.73604 0.526367 0.187875 1.49701
500.00 1363.15 60.691786 51.6469 1.30479 15.995 2.5331 0.000217622 9.60472 0.294562 4.72384 8.56306 2.90234 0.576978 0.206783 1.64767
500.00 1353.15 54.988211 52.9111 1.20074 16.2 2.35706 7.5844e-005 8.78198 0.319953 4.31488 8.15472 3.07854 0.634134 0.228231 1.81857
500.00 1343.15 50.238813 54.0925 1.10446 16.356 2.18762 4.24493e-005 8.01021 0.344809 3.96071 7.77907 3.23333 0.691026 0.249807 1.99049
500.00 1333.15 46.003511 55.0612 1.01531 16.4859 2.03883 2.90049e-005 7.33491 0.37917 3.65477 7.44596 3.38629 0.751053 0.272805 2.17375
500.00 1323.15 39.123673 56.0014 0.934043 16.4466 1.91086 1.95396e-005 6.70041 0.493563 3.30847 7.08173 3.62407 0.871433 0.320778 2.30664
500.00 1313.15 33.233126 57.3765 0.900507 16.1136 1.78206 1.61888e-005 6.10166 0.581047 2.9233 6.77762 3.71699 1.00598 0.377635 2.34308
500.00 1303.15 28.437607 58.6143 0.87707 15.7858 1.65702 1.44612e-005 5.55432 0.67903 2.60444 6.53609 3.73163 1.14909 0.441317 2.36987
500.00 1293.15 24.514818 59.7229 0.862134 15.4747 1.53622 1.36152e-005 5.05382 0.787687 2.33733 6.34728 3.67787 1.29921 0.511935 2.38888
500.00 1283.15 21.305369 60.7093 0.853886 15.1872 1.42058 1.33198e-005 4.5968 0.906344 2.11108 6.20095 3.56906 1.45388 0.589053 2.4019
500.00 1273.15 18.679280 61.5814 0.850525 14.9254 1.31109 1.34037e-005 4.1805 1.03377 1.91743 6.08738 3.41975 1.61035 0.671867 2.41054
500.00 1263.15 16.525791 62.3478 0.850421 14.6891 1.20848 1.37696e-005 3.80222 1.16848 1.74998 5.99812 3.24369 1.76612 0.759419 2.41617
500.00 1253.15 14.750922 63.0178 0.852229 14.476 1.11317 1.43593e-005 3.45915 1.30907 1.60381 5.92645 3.05237 1.91919 0.850794 2.41991
500.00 1243.15 13.277164 63.6008 0.854918 14.2832 1.02521 1.51379e-005 3.14832 1.45438 1.47508 5.86745 2.85461 2.06814 0.945232 2.42259
500.00 1233.15 12.042308 64.1055 0.857737 14.1078 0.944405 1.60859e-005 2.86682 1.60351 1.36082 5.81768 2.65671 2.21204 1.04216 2.42481
500.00 1223.15 10.975889 64.6073 0.860362 13.9612 0.869445 1.71888e-005 2.61338 1.75931 1.25654 5.72682 2.46474 2.35357 1.09987 2.42742
500.00 1213.15 10.041266 65.1342 0.862443 13.8456 0.799908 1.84417e-005 2.38573 1.92306 1.16039 5.57789 2.28181 2.49336 1.1047 2.43089
500.00 1203.15 9.237998 65.6014 0.863471 13.7403 0.736623 1.98565e-005 2.17935 2.09028 1.07396 5.43416 2.10714 2.6269 1.11151 2.43487
500.00 1193.15 8.457855 66.2568 0.864269 13.6197 0.672677 2.15971e-005 1.97232 2.10953 0.984466 5.26867 1.93926 2.77686 1.10624 2.42917
500.00 1183.15 7.747166 66.9331 0.863559 13.5022 0.612793 2.35729e-005 1.77944 2.08027 0.900639 5.09775 1.78092 2.93107 1.09792 2.4203
500.00 1173.15 7.112512 67.5716 0.861034 13.3929 0.558209 2.57703e-005 1.60436 2.04109 0.824559 4.92845 1.63275 3.08409 1.09016 2.41086
500.00 1163.15 6.541809 68.1728 0.856715 13.291 0.508516 2.82205e-005 1.44563 1.99399 0.755411 4.76159 1.49449 3.23567 1.08317 2.40098
500.00 1153.15 6.024942 68.7379 0.850641 13.1958 0.463315 3.09648e-005 1.30187 1.94066 0.69247 4.5979 1.36576 3.38568 1.07719 2.39078
500.00 1143.15 5.403497 69.2784 0.819012 13.1247 0.42347 3.48015e-005 1.17425 1.8595 0.629344 4.42251 1.24283 3.57949 1.06892 2.37754
500.00 1133.15 4.687752 69.7766 0.766161 13.0842 0.38775 4.02285e-005 1.05908 1.75429 0.567007 4.23687 1.12417 3.82408 1.05916 2.36064
500.00 1123.15 4.024570 70.2161 0.717053 13.058 0.354506 4.6907e-005 0.952696 1.65013 0.511043 4.05753 1.01273 4.07564 1.05171 2.34276
500.00 1113.15 3.406242 70.5983 0.671392 13.0453 0.323666 5.52373e-005 0.854851 1.5482 0.460821 3.88528 0.908598 4.33281 1.04668 2.3241
500.00 1103.15 2.826074 70.9252 0.628895 13.0445 0.295149 6.57897e-005 0.765255 1.44944 0.415781 3.72096 0.811841 4.59383 1.04419 2.30488
