Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 97.809707 37.745438 37.745438 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.810309 37.709306 37.709306 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.810949 37.673231 37.673231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.811628 37.637217 37.637217 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.812345 37.601265 37.601265 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.813104 37.565375 37.565375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.813904 37.529550 37.529550 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.814747 37.493790 37.493790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.815635 37.458099 37.458099 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.816570 37.422476 37.422476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.817596 37.367142 37.248050 0.000000 0.000000 0.119092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.819098 37.071925 35.075766 0.000000 0.000000 1.588381 0.000000 0.407778 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.819890 36.788195 32.596201 0.000000 0.000000 2.874690 0.000000 1.317304 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 97.821376 36.546054 30.172710 0.226568 0.000000 3.785781 0.000000 2.337006 0.000000 0.023989 0.000000 0.000000 0.000000 
500.00 1383.15 97.824706 36.330473 28.019931 0.430788 0.000000 4.585145 0.000000 3.237135 0.000000 0.057473 0.000000 0.000000 0.000000 
500.00 1373.15 97.836814 36.130118 25.984834 0.599551 0.000000 5.351314 0.000000 4.046298 0.000000 0.148120 0.000000 0.000000 0.000000 
500.00 1363.15 97.869920 35.935546 23.879486 0.694606 0.000000 6.171398 0.000000 4.810763 0.000000 0.379292 0.000000 0.000000 0.000000 
500.00 1353.15 97.907767 35.762976 21.935480 0.734982 0.000000 6.904495 0.000000 5.541406 0.000000 0.646612 0.000000 0.000000 0.000000 
500.00 1343.15 97.936986 35.618059 20.300632 0.759448 0.000000 7.475660 0.000000 6.221688 0.000000 0.860631 0.000000 0.000000 0.000000 
500.00 1333.15 97.961606 35.470990 18.809806 0.627384 0.274610 7.865388 0.000000 6.857976 0.000000 1.035825 0.000000 0.000000 0.000000 
500.00 1323.15 97.992155 36.231864 16.156243 0.000000 1.517602 8.052751 0.000000 8.096550 0.000000 1.234527 0.000000 0.000000 1.174190 
500.00 1313.15 98.000016 37.337326 13.827538 0.000000 1.922015 8.108743 0.000000 9.504546 0.000000 1.335115 0.000000 0.000000 2.639368 
500.00 1303.15 98.002129 38.245980 11.906529 0.000000 2.256368 8.130183 0.000000 10.701944 0.000000 1.398642 0.000000 0.000000 3.852314 
500.00 1293.15 98.000215 38.984872 10.317274 0.000000 2.538656 8.131667 0.000000 11.712244 0.000000 1.435619 0.000000 0.000000 4.849412 
500.00 1283.15 97.995493 39.576210 9.004635 0.000000 2.782120 8.119951 0.000000 12.556472 0.000000 1.453431 0.000000 0.000000 5.659600 
500.00 1273.15 97.988870 40.041529 7.922057 0.000000 2.996463 8.098442 0.000000 13.256779 0.000000 1.457549 0.000000 0.000000 6.310238 
500.00 1263.15 97.981022 40.401657 7.028407 0.000000 3.188619 8.069319 0.000000 13.835678 0.000000 1.452059 0.000000 0.000000 6.827574 
500.00 1253.15 97.972438 40.675763 6.287739 0.000000 3.363468 8.034346 0.000000 14.314516 0.000000 1.439961 0.000000 0.000000 7.235734 
500.00 1243.15 97.963462 40.880466 5.669759 0.000000 3.524434 7.995076 0.000000 14.712141 0.000000 1.423397 0.000000 0.000000 7.555659 
500.00 1233.15 97.954326 41.029510 5.149773 0.000000 3.673964 7.952866 0.000000 15.044337 0.000000 1.403860 0.000000 0.000000 7.804711 
500.00 1223.15 97.944990 41.135653 4.699693 0.000000 3.815898 7.908252 0.000000 15.326415 0.000000 1.381887 0.000000 0.003682 7.999826 
500.00 1213.15 97.935523 41.207062 4.304688 0.000000 3.951729 7.861999 0.000000 15.567945 0.000000 1.358045 0.000000 0.011227 8.151427 
500.00 1203.15 97.926248 41.248206 3.964110 0.000000 4.079760 7.815662 0.000000 15.773480 0.000000 1.333446 0.000000 0.017579 8.264168 
500.00 1193.15 97.914153 41.288891 3.635722 0.034074 4.184527 7.764790 0.000000 15.971407 0.000000 1.298830 0.000000 0.024602 8.374938 
500.00 1183.15 97.901630 41.312858 3.336439 0.070480 4.286987 7.713562 0.000000 16.147600 0.000000 1.261658 0.000000 0.031155 8.464976 
500.00 1173.15 97.889467 41.317180 3.068414 0.101065 4.391230 7.663675 0.000000 16.300557 0.000000 1.224438 0.000000 0.036949 8.530852 
500.00 1163.15 97.877657 41.304663 2.826716 0.126798 4.496560 7.615477 0.000000 16.433760 0.000000 1.187172 0.000000 0.042094 8.576086 
500.00 1153.15 97.866181 41.277627 2.607205 0.148488 4.602575 7.569248 0.000000 16.550022 0.000000 1.149778 0.000000 0.046685 8.603626 
500.00 1143.15 97.852749 41.261887 2.341890 0.169904 4.730040 7.523836 0.000000 16.688820 0.000000 1.078787 0.024208 0.052186 8.652216 
500.00 1133.15 97.837139 41.254390 2.034853 0.190400 4.877839 7.478460 0.000000 16.848934 0.000000 0.978492 0.069072 0.058432 8.717908 
500.00 1123.15 97.821593 41.231688 1.749362 0.207212 5.023841 7.434302 0.000000 16.994958 0.000000 0.883457 0.109626 0.064074 8.764855 
500.00 1113.15 97.806174 41.195556 1.482325 0.220979 5.167165 7.391443 0.000000 17.129457 0.000000 0.793541 0.146255 0.069216 8.795175 
500.00 1103.15 97.790939 41.147517 1.231055 0.232211 5.307133 7.349928 0.000000 17.254646 0.000000 0.708604 0.179302 0.073948 8.810691 
500.00 1093.15 97.775936 41.088889 0.993183 0.241319 5.443252 7.309772 0.000000 17.372450 0.000000 0.628493 0.209077 0.078352 8.812992 
500.00 1083.15 97.761199 41.020811 0.766612 0.248630 5.575198 7.270961 0.000000 17.484541 0.000000 0.553032 0.235868 0.082501 8.803468 
500.00 1073.15 97.731727 41.006439 0.310197 0.257856 5.822747 7.218215 0.000000 17.539524 0.185112 0.408721 0.281789 0.090921 8.891356 
