Title: Nd3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.822266 36.536190 36.536190 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.822845 36.513448 36.513448 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.823461 36.490736 36.490736 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.824113 36.468052 36.468052 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.824436 36.412129 35.652348 0.000000 0.000000 0.000000 0.759780 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 95.796835 35.572372 34.254084 0.000000 0.000000 0.000000 1.318288 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 92.280824 34.178800 32.960139 0.000000 0.000000 0.000000 1.218661 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 89.032193 32.652029 29.827316 0.000000 1.318399 0.000000 1.506314 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 80.758115 29.458177 26.225808 0.000000 1.606755 0.087332 1.538283 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 71.173368 25.882792 22.672500 0.000000 0.663697 0.881339 1.650408 0.000000 0.014848 0.000000 0.000000 
500.00 1423.15 61.685591 22.411269 19.965738 0.000000 0.486084 0.674329 1.272617 0.000000 0.012501 0.000000 0.000000 
500.00 1413.15 54.457751 19.758087 17.809771 0.000000 0.380669 0.531560 1.018793 0.000000 0.017293 0.000000 0.000000 
500.00 1403.15 48.699108 17.625579 15.819591 0.000000 0.433455 0.409438 0.863770 0.000000 0.099325 0.000000 0.000000 
500.00 1393.15 43.261621 15.599093 12.934781 0.000000 0.992306 0.181795 0.948008 0.000000 0.542204 0.000000 0.000000 
500.00 1383.15 34.400675 12.810821 11.267594 0.000000 0.468227 0.111298 0.699447 0.000000 0.264254 0.000000 0.000000 
500.00 1373.15 29.433227 11.184570 10.138033 0.000000 0.277056 0.072744 0.540255 0.000000 0.156481 0.000000 0.000000 
500.00 1363.15 26.140117 10.076682 9.297648 0.000000 0.189092 0.048174 0.436691 0.000000 0.105076 0.000000 0.000000 
500.00 1353.15 23.728730 9.249676 8.638100 0.000000 0.140600 0.031712 0.363504 0.000000 0.075760 0.000000 0.000000 
500.00 1343.15 21.860264 8.599163 8.101908 0.000000 0.110783 0.020274 0.308967 0.000000 0.057230 0.000000 0.000000 
500.00 1333.15 20.357587 8.069449 7.654817 0.000000 0.090997 0.012122 0.266817 0.000000 0.044696 0.000000 0.000000 
500.00 1323.15 19.116382 7.627204 7.274743 0.000000 0.077086 0.006208 0.233369 0.000000 0.035798 0.000000 0.000000 
500.00 1313.15 18.070098 7.250877 6.946617 0.000000 0.066849 0.001864 0.206299 0.000000 0.029249 0.000000 0.000000 
500.00 1303.15 17.173705 6.925676 6.659124 0.000000 0.057747 0.000000 0.184624 0.000000 0.024181 0.000000 0.000000 
500.00 1293.15 16.393088 6.640207 6.403910 0.000000 0.049032 0.000000 0.167156 0.000000 0.020108 0.000000 0.000000 
500.00 1283.15 15.706089 6.386918 6.175496 0.000000 0.042357 0.000000 0.152163 0.000000 0.016901 0.000000 0.000000 
500.00 1273.15 15.095431 6.160109 5.969397 0.000000 0.036992 0.000000 0.139400 0.000000 0.014320 0.000000 0.000000 
500.00 1263.15 14.548029 5.955360 5.781978 0.000000 0.032620 0.000000 0.128548 0.000000 0.012214 0.000000 0.000000 
500.00 1253.15 14.053066 5.768907 5.605790 0.005581 0.024685 0.000000 0.123676 0.000000 0.009174 0.000000 0.000000 
500.00 1243.15 13.591180 5.593796 5.440010 0.009888 0.018836 0.000000 0.118428 0.000000 0.006632 0.000000 0.000000 
500.00 1233.15 13.158033 5.428845 5.286261 0.008889 0.017257 0.000000 0.110928 0.000000 0.005509 0.000000 0.000000 
500.00 1223.15 12.758848 5.275625 5.139775 0.007938 0.016097 0.000000 0.107232 0.000000 0.004583 0.000000 0.000000 
500.00 1213.15 12.381693 5.127049 4.956451 0.005355 0.018109 0.000000 0.140944 0.002227 0.003962 0.000000 0.000000 
500.00 1203.15 11.924677 4.944559 4.779695 0.006221 0.016652 0.000000 0.138627 0.000000 0.000812 0.002551 0.000000 
500.00 1193.15 11.483932 4.768396 4.611124 0.004412 0.015774 0.000000 0.129759 0.000000 0.000000 0.005703 0.001624 
500.00 1183.15 11.059646 4.601299 4.460597 0.003832 0.013798 0.000000 0.116426 0.000000 0.000000 0.004880 0.001767 
500.00 1173.15 10.681171 4.451965 4.325928 0.003464 0.012073 0.000000 0.104985 0.000000 0.000000 0.004276 0.001239 
