Title: Mr1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 
500.00 1523.15 97.788809 97.788809 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.789420 97.789420 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.790069 97.790069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.790756 97.790756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.790994 95.568201 0.000000 0.000000 0.000000 2.222793 0.000000 0.000000 
500.00 1473.15 95.569110 91.975024 0.000000 0.000000 0.000000 3.594085 0.000000 0.000000 
500.00 1463.15 91.975960 88.654259 0.000000 0.000000 0.000000 3.321701 0.000000 0.000000 
500.00 1453.15 88.652119 77.292785 0.000000 6.497995 0.000000 4.861338 0.000000 0.000000 
500.00 1443.15 77.289461 65.882681 0.000000 3.318272 2.865445 5.223063 0.000000 0.000000 
500.00 1433.15 65.880929 57.059718 0.000000 1.964763 2.703285 4.153164 0.000000 0.000000 
500.00 1423.15 57.058787 50.318623 0.000000 1.440561 2.085738 3.213865 0.000000 0.000000 
500.00 1413.15 50.327796 44.416516 0.000000 1.443291 1.610334 2.562562 0.295093 0.000000 
500.00 1403.15 44.422749 39.870185 0.000000 1.034584 1.293214 2.071326 0.153440 0.000000 
500.00 1393.15 39.958105 31.499503 0.000000 3.669561 0.363187 1.798675 2.627178 0.000000 
500.00 1383.15 31.552881 26.184955 0.000000 2.061052 0.176450 1.538107 1.592317 0.000000 
500.00 1373.15 26.214167 22.953041 0.000000 1.092261 0.137943 1.186645 0.844278 0.000000 
500.00 1363.15 22.972713 20.677072 0.000000 0.709247 0.093418 0.951064 0.541911 0.000000 
500.00 1353.15 20.691802 18.953790 0.000000 0.511212 0.059565 0.785362 0.381873 0.000000 
500.00 1343.15 18.965585 17.589469 0.000000 0.393530 0.034894 0.662856 0.284836 0.000000 
500.00 1333.15 17.599369 16.475652 0.000000 0.317071 0.016942 0.568836 0.220868 0.000000 
500.00 1323.15 16.484255 15.545505 0.000000 0.264113 0.003812 0.494610 0.176214 0.000000 
500.00 1313.15 15.553150 14.753489 0.000000 0.220184 0.000000 0.436411 0.143066 0.000000 
500.00 1303.15 14.759404 14.068916 0.000000 0.183513 0.000000 0.389293 0.117682 0.000000 
500.00 1293.15 14.074282 13.470973 0.000000 0.155923 0.000000 0.349236 0.098150 0.000000 
500.00 1283.15 13.475911 12.943894 0.000000 0.134177 0.000000 0.315103 0.082737 0.000000 
500.00 1273.15 12.948045 12.456823 0.030160 0.096656 0.000000 0.301746 0.062661 0.000000 
500.00 1263.15 12.461330 12.007304 0.053667 0.068889 0.000000 0.285696 0.045773 0.000000 
500.00 1253.15 12.011636 11.606758 0.048271 0.061403 0.000000 0.257372 0.037832 0.000000 
500.00 1243.15 11.610954 11.248003 0.043588 0.055129 0.000000 0.232875 0.031359 0.000000 
500.00 1233.15 11.252094 10.925194 0.039521 0.049801 0.000000 0.211544 0.026034 0.000000 
500.00 1223.15 10.929203 10.633522 0.035984 0.045226 0.000000 0.192854 0.021617 0.000000 
500.00 1213.15 10.637469 10.368998 0.032899 0.041263 0.000000 0.176388 0.017921 0.000000 
500.00 1203.15 10.372895 10.128276 0.030202 0.037808 0.000000 0.161804 0.014805 0.000000 
500.00 1193.15 10.131896 9.892941 0.029871 0.036944 0.000000 0.154459 0.000000 0.017681 
500.00 1183.15 9.896615 9.678614 0.025478 0.033668 0.000000 0.141679 0.000000 0.017176 
500.00 1173.15 9.682310 9.483576 0.022637 0.030608 0.000000 0.130185 0.000000 0.015305 
500.00 1163.15 9.487293 9.305590 0.020139 0.027861 0.000000 0.120006 0.000000 0.013696 
