Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 
500.00 1523.15 97.788809 36.264987 36.264987 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.789420 36.242062 36.242062 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.790069 36.219167 36.219167 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.790756 36.196303 36.196303 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.790994 36.136778 35.303973 0.000000 0.000000 0.000000 0.832805 0.000000 0.000000 
500.00 1473.15 95.569110 35.222141 33.874405 0.000000 0.000000 0.000000 1.347736 0.000000 0.000000 
500.00 1463.15 91.975960 33.797309 32.550585 0.000000 0.000000 0.000000 1.246724 0.000000 0.000000 
500.00 1453.15 88.652119 32.112390 28.275887 0.000000 2.008557 0.000000 1.827947 0.000000 0.000000 
500.00 1443.15 77.289461 27.856919 23.988056 0.000000 1.022320 0.878975 1.967568 0.000000 0.000000 
500.00 1433.15 65.880929 23.667286 20.670763 0.000000 0.603394 0.825773 1.567356 0.000000 0.000000 
500.00 1423.15 57.058787 20.425034 18.134493 0.000000 0.441004 0.634470 1.215068 0.000000 0.000000 
500.00 1413.15 50.327796 17.926996 15.964315 0.000000 0.440413 0.487750 0.970578 0.063940 0.000000 
500.00 1403.15 44.422749 15.802748 14.279124 0.000000 0.314665 0.389988 0.785918 0.033053 0.000000 
500.00 1393.15 39.958105 14.065388 11.597383 0.000000 1.112929 0.109049 0.683785 0.562243 0.000000 
500.00 1383.15 31.552881 11.467572 9.865807 0.000000 0.623944 0.052811 0.585944 0.339066 0.000000 
500.00 1373.15 26.214167 9.785656 8.782322 0.000000 0.330162 0.041172 0.452912 0.179088 0.000000 
500.00 1363.15 22.972713 8.725356 8.005237 0.000000 0.214101 0.027812 0.363623 0.114583 0.000000 
500.00 1353.15 20.691802 7.961784 7.408696 0.000000 0.154134 0.017692 0.300741 0.080522 0.000000 
500.00 1343.15 18.965585 7.374065 6.931094 0.000000 0.118520 0.010341 0.254195 0.059915 0.000000 
500.00 1333.15 17.599369 6.902647 6.537454 0.000000 0.095394 0.005010 0.218431 0.046359 0.000000 
500.00 1323.15 16.484255 6.513561 6.205975 0.000000 0.079384 0.001125 0.190164 0.036913 0.000000 
500.00 1313.15 15.553150 6.185510 5.921493 0.000000 0.066121 0.000000 0.167980 0.029915 0.000000 
500.00 1303.15 14.759404 5.903404 5.673773 0.000000 0.055061 0.000000 0.150004 0.024566 0.000000 
500.00 1293.15 14.074282 5.657849 5.455946 0.000000 0.046744 0.000000 0.134702 0.020456 0.000000 
500.00 1283.15 13.475911 5.441804 5.262744 0.000000 0.040193 0.000000 0.121649 0.017218 0.000000 
500.00 1273.15 12.948045 5.249842 5.083456 0.007855 0.028927 0.000000 0.116583 0.013022 0.000000 
500.00 1263.15 12.461330 5.071862 4.917418 0.013896 0.020594 0.000000 0.110454 0.009500 0.000000 
500.00 1253.15 12.011636 4.906979 4.768807 0.012431 0.018333 0.000000 0.099566 0.007842 0.000000 
500.00 1243.15 11.610954 4.759370 4.635131 0.011167 0.016436 0.000000 0.090143 0.006493 0.000000 
500.00 1233.15 11.252094 4.626567 4.514351 0.010075 0.014824 0.000000 0.081932 0.005385 0.000000 
500.00 1223.15 10.929203 4.506554 4.404783 0.009130 0.013439 0.000000 0.074735 0.004467 0.000000 
500.00 1213.15 10.637469 4.397665 4.305027 0.008310 0.012237 0.000000 0.068391 0.003701 0.000000 
500.00 1203.15 10.372895 4.298511 4.213901 0.007597 0.011189 0.000000 0.062769 0.003055 0.000000 
500.00 1193.15 10.131896 4.207483 4.125367 0.007480 0.010907 0.000000 0.059949 0.000000 0.003780 
500.00 1183.15 9.896615 4.119601 4.044644 0.006355 0.009916 0.000000 0.055017 0.000000 0.003670 
500.00 1173.15 9.682310 4.039427 3.970961 0.005626 0.008993 0.000000 0.050579 0.000000 0.003268 
500.00 1163.15 9.487293 3.966233 3.903507 0.004988 0.008166 0.000000 0.046650 0.000000 0.002923 
