Title: Mk

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.152314 49.318 1.26609 15.881 2.45935 0.0209878 9.51094 0.199384 7.22775 11.4846 2.18324 0.30901 0.139579 0
500.00 1513.15 98.152945 49.3177 1.26609 15.8809 2.46575 0.0209877 9.50511 0.199383 7.2277 11.4845 2.18323 0.309008 0.139578 0
500.00 1503.15 98.153614 49.3174 1.26608 15.8808 2.47254 0.0209875 9.49892 0.199381 7.22765 11.4844 2.18321 0.309005 0.139577 0
500.00 1493.15 98.154324 49.317 1.26607 15.8807 2.47974 0.0209874 9.49235 0.19938 7.2276 11.4844 2.18319 0.309003 0.139576 0
500.00 1483.15 98.154212 49.3171 1.26607 15.8807 2.4786 0.0209874 9.49339 0.19938 7.22761 11.4844 2.1832 0.309004 0.139576 0
500.00 1473.15 98.153910 49.3172 1.26607 15.8808 2.47554 0.0209874 9.49618 0.199381 7.22763 11.4844 2.1832 0.309004 0.139577 0
500.00 1463.15 98.153578 49.3174 1.26608 15.8808 2.47217 0.0209875 9.49925 0.199381 7.22765 11.4845 2.18321 0.309006 0.139577 0
500.00 1453.15 98.149446 49.3195 1.26613 15.8815 2.43025 0.0209884 9.53746 0.19939 7.22796 11.4849 2.1833 0.309019 0.139583 0
500.00 1443.15 98.142974 49.3227 1.26621 15.8825 2.3646 0.0209898 9.59732 0.199403 7.22843 11.4857 2.18345 0.309039 0.139592 0
500.00 1433.15 98.136834 49.3258 1.26629 15.8835 2.3023 0.0209911 9.65411 0.199415 7.22889 11.4864 2.18358 0.309058 0.139601 0
500.00 1423.15 98.130952 49.3288 1.26637 15.8845 2.24261 0.0209924 9.70852 0.199427 7.22932 11.4871 2.18371 0.309077 0.139609 0
500.00 1413.15 98.124916 49.3318 1.26645 15.8855 2.18135 0.0209936 9.76436 0.19944 7.22976 11.4878 2.18385 0.309096 0.139618 0
500.00 1403.15 98.118104 49.3352 1.26653 15.8866 2.1122 0.0209951 9.82739 0.199454 7.23027 11.4886 2.184 0.309117 0.139628 0
500.00 1393.15 98.109817 49.3394 1.26664 15.8879 2.02807 0.0209969 9.90409 0.19947 7.23088 11.4896 2.18419 0.309143 0.139639 0
500.00 1383.15 98.101574 49.3435 1.26675 15.8892 1.94438 0.0209986 9.98038 0.199487 7.23148 11.4905 2.18437 0.309169 0.139651 0
500.00 1373.15 98.097025 49.3458 1.26681 15.89 1.89819 0.0209996 10.0225 0.199496 7.23182 11.4911 2.18447 0.309184 0.139658 0
500.00 1363.15 98.096120 49.3463 1.26682 15.8901 1.88899 0.0209998 10.0309 0.199498 7.23189 11.4912 2.18449 0.309187 0.139659 0
500.00 1353.15 98.097624 49.3455 1.2668 15.8899 1.90426 0.0209995 10.017 0.199495 7.23178 11.491 2.18446 0.309182 0.139657 0
500.00 1343.15 98.246406 49.2708 1.26488 15.8658 3.4129 0.0209677 8.6417 0.199193 7.22082 11.4736 2.18115 0.308714 0.139445 0
500.00 1333.15 98.233837 49.2771 1.26504 15.8679 3.28563 0.0209704 8.75771 0.199219 7.22175 11.4751 2.18143 0.308753 0.139463 0
500.00 1323.15 98.220441 49.2838 1.26522 15.87 3.14995 0.0209732 8.8814 0.199246 7.22273 11.4766 2.18173 0.308795 0.139482 0
500.00 1313.15 98.207732 49.2902 1.26538 15.8721 3.02119 0.0209759 8.99877 0.199271 7.22367 11.4781 2.18201 0.308835 0.1395 0
500.00 1303.15 98.195757 49.2962 1.26553 15.874 2.89983 0.0209785 9.1094 0.199296 7.22455 11.4795 2.18227 0.308873 0.139517 0
500.00 1293.15 98.184493 49.3019 1.26568 15.8758 2.78567 0.0209809 9.21347 0.199319 7.22538 11.4808 2.18252 0.308908 0.139533 0
