Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite cordierite 
500.00 1523.15 98.152314 36.251277 36.251277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.152945 36.228005 36.228005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.153614 36.204765 36.204765 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.154324 36.181558 36.181558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.154212 36.103785 34.869646 0.000000 0.000000 0.000000 1.234139 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.153910 36.017615 33.381273 0.000000 0.000000 0.000000 2.636342 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.153578 35.933605 31.967572 0.000000 0.000000 0.000000 3.966032 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.149446 35.555100 27.984324 0.072038 1.429899 0.114790 5.954049 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.142974 35.055943 22.899588 0.000000 2.345264 1.453798 8.357293 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.136834 34.672750 18.985273 0.000000 3.035765 2.395239 10.256473 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.130952 34.354856 15.771787 0.000000 3.563585 3.178601 11.840884 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.124916 34.081211 13.029413 0.000000 3.977801 3.856628 13.217369 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.118104 33.837753 10.600570 0.000000 4.305200 4.467148 14.464835 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.109817 33.616560 8.403079 0.000000 4.563311 5.036830 15.613339 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.101574 33.427841 6.600037 0.000000 4.785344 5.544791 16.497670 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.097025 33.285604 5.377195 0.000000 5.004500 5.938939 16.964970 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.096120 33.174892 4.534096 0.000000 5.219297 6.251267 17.170232 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.097624 33.079896 3.877579 0.000000 5.425554 6.531077 17.245687 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.246406 33.106879 2.993117 0.000000 6.805986 5.440875 16.638982 0.000000 1.220162 0.000000 0.007757 0.000000 
500.00 1333.15 98.233837 33.058719 2.592893 0.056155 6.812341 5.518875 16.851315 0.000000 1.207098 0.000000 0.020042 0.000000 
500.00 1323.15 98.220441 33.015213 2.251387 0.111911 6.802649 5.594381 17.036784 0.000000 1.187298 0.000000 0.030803 0.000000 
500.00 1313.15 98.207732 32.975959 1.966246 0.154028 6.781862 5.674976 17.193522 0.000000 1.165773 0.000000 0.039552 0.000000 
500.00 1303.15 98.195757 32.940064 1.723917 0.186268 6.754698 5.756946 17.327744 0.000000 1.143674 0.000000 0.046817 0.000000 
500.00 1293.15 98.184493 32.906857 1.514792 0.211181 6.724004 5.838304 17.444046 0.000000 1.121576 0.000000 0.052954 0.000000 
500.00 1283.15 98.173895 32.875758 1.331880 0.230551 6.691543 5.918024 17.545795 0.000000 1.099749 0.000000 0.058215 0.000000 
500.00 1273.15 98.163905 32.846413 1.169980 0.245659 6.658426 5.995635 17.635633 0.000000 1.078298 0.000000 0.062783 0.000000 
500.00 1263.15 98.150022 32.797273 0.873615 0.261207 6.610534 6.166665 17.785417 0.000000 0.972816 0.055892 0.071128 0.000000 
500.00 1253.15 98.134780 32.742602 0.546155 0.273228 6.556458 6.366837 17.950490 0.000000 0.842977 0.126437 0.080019 0.000000 
500.00 1243.15 98.120117 32.691550 0.249962 0.281227 6.503791 6.552346 18.102922 0.000000 0.726218 0.187290 0.087793 0.000000 
500.00 1233.15 98.107122 32.646601 0.000000 0.286303 6.457225 6.708668 18.234666 0.000000 0.629172 0.236347 0.094219 0.000000 
500.00 1223.15 98.107019 32.636847 0.000000 0.289510 6.456978 6.689473 18.236881 0.000000 0.629188 0.240598 0.094219 0.000000 
500.00 1213.15 98.106943 32.627164 0.000000 0.292723 6.456235 6.670629 18.239306 0.000000 0.629130 0.244922 0.094219 0.000000 
500.00 1203.15 98.106891 32.617550 0.000000 0.295940 6.455018 6.652113 18.241941 0.000000 0.629009 0.249309 0.094219 0.000000 
500.00 1193.15 98.106864 32.608008 0.000000 0.299155 6.453348 6.633911 18.244789 0.000000 0.628838 0.253747 0.094219 0.000000 
500.00 1183.15 98.106860 32.598537 0.000000 0.302363 6.451246 6.616007 18.247850 0.000000 0.628628 0.258224 0.094219 0.000000 
500.00 1173.15 98.106878 32.589138 0.000000 0.305558 6.448728 6.598389 18.251122 0.000000 0.628392 0.262729 0.094219 0.000000 
500.00 1163.15 98.107330 32.589664 0.109171 0.299624 6.445349 6.584696 18.254260 0.000000 0.630149 0.266416 0.000000 0.000000 
500.00 1153.15 98.107376 32.580393 0.109001 0.303085 6.442087 6.567437 18.257989 0.000000 0.629780 0.271014 0.000000 0.000000 
500.00 1143.15 98.107442 32.571195 0.108842 0.306500 6.438456 6.550450 18.261923 0.000000 0.629422 0.275603 0.000000 0.000000 
500.00 1133.15 98.107528 32.562069 0.108691 0.309861 6.434468 6.533732 18.266058 0.000000 0.629086 0.280174 0.000000 0.000000 
500.00 1123.15 98.107634 32.553014 0.108549 0.313160 6.430139 6.517279 18.270391 0.000000 0.628779 0.284717 0.000000 0.000000 
500.00 1113.15 98.107759 32.544031 0.108416 0.316390 6.425481 6.501092 18.274917 0.000000 0.628511 0.289225 0.000000 0.000000 
500.00 1103.15 98.107900 32.535206 0.108289 0.319538 6.420576 6.485240 18.270703 0.008916 0.628254 0.293691 0.000000 0.000000 
500.00 1093.15 98.108049 32.526719 0.108169 0.322591 6.415573 6.469869 18.239514 0.044949 0.627949 0.298104 0.000000 0.000000 
500.00 1083.15 98.108218 32.518285 0.108055 0.325548 6.410273 6.454754 18.209973 0.079511 0.627709 0.302461 0.000000 0.000000 
500.00 1073.15 98.108407 32.509904 0.107949 0.328400 6.404685 6.439898 18.182019 0.112656 0.627539 0.306759 0.000000 0.000000 
500.00 1063.15 98.108618 32.501573 0.107848 0.331137 6.398823 6.425302 18.155589 0.144438 0.627441 0.310994 0.000000 0.000000 
500.00 1053.15 98.108849 32.493289 0.107754 0.333749 6.392697 6.410971 18.130629 0.174905 0.627420 0.315164 0.000000 0.000000 
500.00 1043.15 98.109104 32.485049 0.107666 0.336228 6.386317 6.396908 18.107081 0.204105 0.627478 0.319267 0.000000 0.000000 
500.00 1033.15 98.109381 32.476848 0.107583 0.338565 6.379693 6.383115 18.084891 0.232083 0.627617 0.323301 0.000000 0.000000 
500.00 1023.15 98.122981 32.517140 0.107428 0.337071 6.890974 5.794024 17.468477 0.261562 0.679649 0.313003 0.000000 0.664951 
