Title: Mk

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.000000 ---
500.00 1513.15 0.000000 ---
500.00 1503.15 0.000000 ---
500.00 1493.15 0.000000 ---
500.00 1483.15 3.293463 48.4382 0 33.1063 0 0 0 0 0 16.0107 2.39953 0.0452036 0 0
500.00 1473.15 7.029156 48.8067 0 32.8567 0 0 0 0 0 15.7187 2.56608 0.0518433 0 0
500.00 1463.15 10.564829 49.1827 0 32.6017 0 0 0 0 0 15.4206 2.73548 0.0595367 0 0
500.00 1453.15 21.073821 50.0286 0.0700208 25.1553 0.496795 0 1.94141 0.00595504 4.80795 15.1496 2.2887 0.0556775 0 0
500.00 1443.15 34.542739 50.7904 0.106373 21.7711 0.746038 0 3.33777 0 6.983 14.0498 2.15214 0.0633934 0 0
500.00 1433.15 44.916682 51.1011 0.132201 20.477 0.865844 0 4.04602 0 7.61341 13.4954 2.19109 0.0779891 0 0
500.00 1423.15 53.432343 51.3296 0.155557 19.728 0.953374 0 4.56728 0 7.81405 13.0875 2.26671 0.0979615 0 0
500.00 1413.15 60.699712 51.5211 0.177116 19.209 1.02254 0 5.01141 0 7.83971 12.7435 2.35103 0.124516 0 0
500.00 1403.15 67.135247 51.6944 0.19598 18.8119 1.07413 0 5.41919 0 7.7778 12.4336 2.43278 0.160252 0 0
500.00 1393.15 72.964031 51.8443 0.211601 18.4868 1.1062 0 5.81705 0 7.6732 12.1557 2.49796 0.207131 0 0
500.00 1383.15 77.801159 51.9012 0.231066 18.1992 1.13632 0 6.22291 0 7.58047 11.9566 2.51905 0.253249 0 0
500.00 1373.15 81.179220 51.8296 0.265083 17.9399 1.19269 0 6.60742 0 7.52965 11.8551 2.50005 0.280528 0 0
500.00 1363.15 83.594169 51.687 0.314342 17.7073 1.27292 0 6.9546 0 7.50013 11.8009 2.46909 0.293801 0 0
500.00 1353.15 85.540739 51.5057 0.378531 17.4908 1.36936 0 7.27952 0 7.47722 11.7619 2.43645 0.300514 0 0
500.00 1343.15 90.436792 48.5119 1.12896 16.1724 3.55073 0.0227755 8.86486 0 7.63332 11.7093 2.23153 0.161835 0.0124722 0
500.00 1333.15 91.521577 48.5355 1.14941 16.1259 3.40857 0.0225059 9.01196 0.0253166 7.59101 11.6953 2.23285 0.169823 0.0318421 0
500.00 1323.15 92.437409 48.5681 1.16709 16.0898 3.25798 0.0222832 9.14801 0.0530197 7.55229 11.6828 2.23239 0.177877 0.0484531 0
500.00 1313.15 93.191515 48.6101 1.18174 16.0619 3.11576 0.0221031 9.26467 0.0761488 7.51786 11.6709 2.23114 0.185994 0.0617127 0
500.00 1303.15 93.824431 48.6571 1.19412 16.0395 2.98239 0.0219542 9.36687 0.0955804 7.48712 11.6594 2.22931 0.194117 0.0725556 0
500.00 1293.15 94.364395 48.7064 1.20473 16.0211 2.85758 0.0218287 9.45789 0.111999 7.45952 11.6481 2.22705 0.202215 0.081597 0
500.00 1283.15 94.831675 48.7566 1.2139 16.0055 2.74068 0.0217213 9.54006 0.125942 7.43458 11.637 2.22449 0.210271 0.089261 0
500.00 1273.15 95.241180 48.807 1.22189 15.992 2.63098 0.021628 9.61507 0.137835 7.41189 11.6259 2.22172 0.218273 0.0958511 0
500.00 1263.15 95.979538 48.9263 1.23742 15.9642 2.4746 0.0214618 9.69699 0.157153 7.36718 11.5974 2.2135 0.236054 0.107756 0
