Title: Mk

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.169879 48.8161 1.25324 15.7195 2.42415 0.0207803 9.42335 0.197311 7.15413 11.3677 2.16105 0.305898 0.138128 1.01864
500.00 1513.15 98.170501 48.8158 1.25323 15.7194 2.43046 0.0207802 9.4176 0.19731 7.15408 11.3677 2.16104 0.305896 0.138127 1.01864
500.00 1503.15 98.171162 48.8155 1.25322 15.7193 2.43717 0.02078 9.41149 0.197308 7.15404 11.3676 2.16102 0.305894 0.138126 1.01863
500.00 1493.15 98.171862 48.8151 1.25321 15.7192 2.44427 0.0207799 9.40501 0.197307 7.15398 11.3675 2.16101 0.305892 0.138125 1.01862
500.00 1483.15 98.172603 48.8147 1.2532 15.719 2.45179 0.0207797 9.39816 0.197306 7.15393 11.3674 2.16099 0.30589 0.138124 1.01861
500.00 1473.15 98.173386 48.8143 1.25319 15.7189 2.45973 0.0207796 9.39093 0.197304 7.15387 11.3673 2.16097 0.305887 0.138123 1.01861
500.00 1463.15 98.174213 48.8139 1.25318 15.7188 2.46811 0.0207794 9.38329 0.197302 7.15381 11.3672 2.16095 0.305885 0.138122 1.0186
500.00 1453.15 98.175084 48.8135 1.25317 15.7187 2.47694 0.0207792 9.37524 0.197301 7.15375 11.3671 2.16094 0.305882 0.138121 1.01859
500.00 1443.15 98.176001 48.813 1.25316 15.7185 2.48624 0.020779 9.36676 0.197299 7.15368 11.367 2.16092 0.305879 0.138119 1.01858
500.00 1433.15 98.176966 48.8126 1.25315 15.7184 2.49603 0.0207788 9.35784 0.197297 7.15361 11.3669 2.16089 0.305876 0.138118 1.01857
500.00 1423.15 98.177980 48.8121 1.25313 15.7182 2.50631 0.0207786 9.34846 0.197295 7.15354 11.3668 2.16087 0.305873 0.138117 1.01856
500.00 1413.15 92.953668 48.7966 1.3011 15.7908 2.55997 0.0219464 9.66182 0.208383 6.9623 10.9104 2.24249 0.322464 0.145879 1.0758
