Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.169879 37.732004 37.732004 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.170501 37.695529 37.695529 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.171162 37.659113 37.659113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.171862 37.622759 37.622759 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.172603 37.586466 37.586466 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.173386 37.550238 37.550238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.174213 37.514076 37.514076 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.175084 37.477980 37.477980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.176001 37.441953 37.441953 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.176966 37.405997 37.405997 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.177980 37.370112 37.370112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.179093 37.127951 35.408730 0.000000 0.000000 1.093916 0.625305 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 92.953730 35.137477 32.686261 0.248816 0.000000 1.042326 1.160074 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 85.634666 32.448327 30.275980 0.224401 0.000000 0.908217 0.997230 0.000000 0.042499 0.000000 0.000000 0.000000 
