Title: Mk

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.169879 1.0000000000000000 1.000000 274.900497 -1172151.007938 37.732004 -369.775687 3704.085150 147.853944 -7.007 0.000 2.601767 0.000000 1.832 0.382093 0.000
500.00 1513.15 98.170501 1.0000000000000000 1.000000 273.927815 -1173638.567158 37.695529 -368.691563 3701.407866 147.853718 -7.116 0.000 2.604301 0.000000 1.872 0.381152 0.000
500.00 1503.15 98.171162 1.0000000000000000 1.000000 272.948727 -1175126.713522 37.659113 -367.610385 3698.672871 147.853684 -7.225 0.000 2.606837 0.000000 1.912 0.380202 0.000
500.00 1493.15 98.171862 1.0000000000000000 1.000000 271.963147 -1176615.469947 37.622759 -366.532223 3695.880430 147.853846 -7.336 0.000 2.609374 0.000000 1.953 0.379241 0.000
500.00 1483.15 98.172603 1.0000000000000000 1.000000 270.970983 -1178104.860322 37.586466 -365.457148 3693.030816 147.854212 -7.449 0.000 2.611914 0.000000 1.994 0.378271 0.000
500.00 1473.15 98.173386 1.0000000000000000 1.000000 269.987263 -1179572.586676 37.550238 -364.385235 3690.124317 144.593361 -7.563 0.000 2.614454 0.000000 2.035 0.377292 0.000
500.00 1463.15 98.174213 1.0000000000000000 1.000000 269.003901 -1181030.659905 37.514076 -363.316563 3687.161230 144.585734 -7.679 0.000 2.616997 0.000000 2.078 0.376302 0.000
500.00 1453.15 98.175084 1.0000000000000000 1.000000 268.013890 -1182489.353493 37.477980 -362.251214 3684.141868 144.577782 -7.796 0.000 2.619540 0.000000 2.120 0.375303 0.000
500.00 1443.15 98.176001 1.0000000000000000 1.000000 267.017137 -1183948.689697 37.441953 -361.189273 3681.066557 144.569502 -7.915 0.000 2.622085 0.000000 2.164 0.374293 0.000
500.00 1433.15 98.176966 1.0000000000000000 1.000000 266.013551 -1185408.691892 37.405997 -360.130829 3677.935635 144.560892 -8.035 0.000 2.624632 0.000000 2.208 0.373274 0.000
500.00 1423.15 98.177980 1.0000000000000000 1.000000 265.003035 -1186869.384633 37.370112 -359.075974 3674.749460 144.551951 -8.157 0.000 2.627179 0.000000 2.252 0.372245 0.000
500.00 1413.15 98.179093 0.9467765963463016 0.953695 262.621526 -1190264.033506 37.127951 -350.724695 3604.179147 142.796908 -8.281 0.000 2.625162 3.039415 2.290 0.403884 0.000
500.00 1403.15 92.953730 0.9211879114224866 0.930239 247.610846 -1125560.887855 35.137477 -337.508316 3440.245116 134.075911 -8.407 0.000 2.619689 2.988671 2.335 0.456596 0.000
500.00 1393.15 85.634666 0.9232596980485167 0.933052 227.931292 -1032859.261906 32.448327 -324.643518 3260.805701 123.029395 -8.535 0.000 2.611411 3.025129 2.394 0.511509 0.000
500.00 1383.15 79.069023 0.9297996264169804 0.938839 210.432059 -951042.981385 30.074066 -313.450696 3105.097669 113.306941 -8.664 0.000 2.603829 3.017727 2.451 0.566115 0.000
500.00 1373.15 73.531952 0.9289302218448997 0.939391 195.484510 -882247.448367 28.051699 -303.265104 2960.391021 104.915331 -8.795 0.000 2.592111 3.073733 2.527 0.622813 0.000
500.00 1363.15 68.366751 0.8969500106355176 0.918724 180.983946 -820783.066238 26.151895 -292.102726 2764.594845 96.351961 -8.929 0.000 2.552260 3.314575 2.730 0.695697 0.000
500.00 1353.15 61.373687 0.9044513827657846 0.925610 163.010899 -745038.976030 23.865155 -281.987994 2571.871732 86.419142 -9.064 0.000 2.512900 3.303139 2.936 0.769486 0.000
500.00 1343.15 55.547804 0.9175576585850824 0.935936 148.119538 -682003.494662 21.962704 -273.493195 2419.742957 78.286849 -9.201 0.000 2.479524 3.254746 3.118 0.84004 0.000
500.00 1333.15 50.997624 0.9224445634932645 0.939221 136.340180 -632201.402386 20.442338 -265.609444 2297.997760 71.846831 -9.340 0.000 2.450146 3.183301 3.274 0.914577 0.000
500.00 1323.15 47.065570 0.9295925853529956 0.944770 126.136600 -588043.255608 19.104291 -258.514728 2196.310438 66.281040 -9.481 0.000 2.424036 3.140599 3.414 0.987932 0.000
