Title: Mk

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.097836 48.3595 1.24149 15.5724 2.39368 0.0205739 9.34215 0.19551 7.08725 11.2614 2.14084 0.303041 0.136857 1.94533
500.00 1513.15 100.098459 48.3592 1.24148 15.5723 2.39988 0.0205738 9.3365 0.195509 7.08721 11.2613 2.14083 0.303039 0.136856 1.94532
500.00 1503.15 100.099121 48.3589 1.24147 15.5722 2.40646 0.0205737 9.3305 0.195508 7.08716 11.2613 2.14081 0.303037 0.136855 1.9453
500.00 1493.15 100.099822 48.3585 1.24147 15.5721 2.41344 0.0205735 9.32414 0.195506 7.08711 11.2612 2.1408 0.303035 0.136855 1.94529
500.00 1483.15 100.100565 48.3582 1.24146 15.572 2.42083 0.0205734 9.31741 0.195505 7.08706 11.2611 2.14078 0.303033 0.136854 1.94527
500.00 1473.15 100.101349 48.3578 1.24145 15.5719 2.42863 0.0205732 9.3103 0.195503 7.087 11.261 2.14076 0.30303 0.136852 1.94526
500.00 1463.15 100.102177 48.3574 1.24144 15.5717 2.43687 0.0205731 9.30279 0.195502 7.08694 11.2609 2.14075 0.303028 0.136851 1.94524
500.00 1453.15 100.103051 48.357 1.24143 15.5716 2.44556 0.0205729 9.29488 0.1955 7.08688 11.2608 2.14073 0.303025 0.13685 1.94523
500.00 1443.15 100.103970 48.3565 1.24141 15.5714 2.4547 0.0205727 9.28654 0.195498 7.08682 11.2607 2.14071 0.303022 0.136849 1.94521
500.00 1433.15 100.104938 48.3561 1.2414 15.5713 2.46432 0.0205725 9.27777 0.195496 7.08675 11.2606 2.14069 0.30302 0.136848 1.94519
500.00 1423.15 100.105955 48.3556 1.24139 15.5711 2.47444 0.0205723 9.26855 0.195494 7.08668 11.2605 2.14066 0.303016 0.136846 1.94517
500.00 1413.15 100.107023 48.355 1.24138 15.571 2.48506 0.0205721 9.25887 0.195492 7.0866 11.2604 2.14064 0.303013 0.136845 1.94515
