Title: Mk

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.097836 99.993759 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.104076 
500.00 1513.15 100.098459 99.998692 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.099767 
500.00 1503.15 100.099121 100.003744 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.095376 
500.00 1493.15 100.099822 100.008919 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.090903 
500.00 1483.15 100.100565 100.014220 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.086345 
500.00 1473.15 100.101349 100.019650 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.081699 
500.00 1463.15 100.102177 100.025213 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.076965 
500.00 1453.15 100.103051 100.030913 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.072138 
500.00 1443.15 100.103970 100.036753 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.067217 
500.00 1433.15 100.104938 100.042738 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.062200 
500.00 1423.15 100.105955 100.048871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.057084 
500.00 1413.15 100.107023 100.055157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.051866 
500.00 1403.15 100.107509 99.832681 0.227209 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.047618 
500.00 1393.15 99.880855 98.025996 0.644269 0.000000 1.149274 0.000000 0.000000 0.000000 0.000000 0.000000 0.061317 
500.00 1383.15 98.095974 92.569330 0.024447 0.000000 5.240886 0.000000 0.000000 0.131020 0.000000 0.000000 0.130292 
500.00 1373.15 92.710529 87.669989 0.023232 0.000000 4.669930 0.000000 0.000000 0.156109 0.000000 0.000000 0.191268 
500.00 1363.15 87.875390 77.851774 1.111117 0.000000 3.343345 4.775831 0.000000 0.430716 0.000000 0.000000 0.362607 
500.00 1353.15 78.279532 66.811790 0.746158 0.000000 3.745212 4.509189 0.000000 1.931508 0.000000 0.000000 0.535676 
500.00 1343.15 67.403309 58.100915 0.524256 0.000000 2.710676 3.732136 0.000000 1.659027 0.000000 0.000000 0.676298 
500.00 1333.15 58.816919 51.595498 0.399977 0.000000 1.820661 3.041727 0.000000 1.172044 0.000000 0.000000 0.787011 
500.00 1323.15 52.412649 45.511403 0.000000 1.097811 0.735078 3.267360 0.000000 0.901656 0.000000 0.000000 0.899341 
500.00 1313.15 46.433333 40.788083 0.000000 0.877608 0.415799 2.698500 0.000000 0.663561 0.000000 0.000000 0.989781 
500.00 1303.15 41.795642 37.044616 0.000000 0.675378 0.267366 2.238914 0.000000 0.505749 0.000000 0.000000 1.063619 
500.00 1293.15 38.122746 33.991480 0.000000 0.531642 0.178561 1.899055 0.000000 0.396563 0.000000 0.000000 1.125445 
500.00 1283.15 35.129127 31.446408 0.000000 0.425231 0.124502 1.636994 0.000000 0.317793 0.000000 0.000000 1.178198 
500.00 1273.15 32.635121 29.288675 0.000000 0.343984 0.091382 1.428174 0.000000 0.259052 0.000000 0.000000 1.223855 
500.00 1263.15 30.521780 27.435029 0.000000 0.280423 0.071225 1.257240 0.000000 0.214063 0.000000 0.000000 1.263799 
500.00 1253.15 28.707111 25.825699 0.000000 0.229821 0.059136 1.114537 0.000000 0.178876 0.000000 0.000000 1.299041 
500.00 1243.15 27.132269 24.416317 0.000000 0.189015 0.052061 0.993648 0.000000 0.150883 0.000000 0.000000 1.330345 
500.00 1233.15 25.753594 23.173010 0.000000 0.155788 0.048068 0.890117 0.000000 0.128304 0.000000 0.000000 1.358307 
500.00 1223.15 24.537774 22.069311 0.000000 0.128531 0.045929 0.800719 0.000000 0.109881 0.000000 0.000000 1.383403 
500.00 1213.15 23.458787 21.084135 0.000000 0.106041 0.044866 0.723022 0.000000 0.094702 0.000000 0.000000 1.406022 
500.00 1203.15 22.495918 20.200425 0.000000 0.087393 0.044388 0.655137 0.000000 0.082090 0.000000 0.000000 1.426485 
500.00 1193.15 21.632413 19.404203 0.000000 0.071867 0.044194 0.595558 0.000000 0.071533 0.000000 0.000000 1.445059 
500.00 1183.15 20.854554 18.683895 0.000000 0.058892 0.044100 0.543057 0.000000 0.062638 0.000000 0.000000 1.461973 
500.00 1173.15 20.150983 18.029829 0.000000 0.048015 0.044001 0.496621 0.000000 0.055098 0.000000 0.000000 1.477418 
500.00 1163.15 19.512216 17.433867 0.000000 0.038868 0.043838 0.455407 0.000000 0.048674 0.000000 0.000000 1.491561 
500.00 1153.15 18.930273 16.889110 0.000000 0.031157 0.043585 0.418705 0.000000 0.043172 0.000000 0.000000 1.504544 
500.00 1143.15 18.398394 16.389679 0.000000 0.024639 0.043232 0.385914 0.000000 0.038440 0.000000 0.000000 1.516490 
500.00 1133.15 17.910821 15.930537 0.000000 0.019118 0.042782 0.356527 0.000000 0.034352 0.000000 0.000000 1.527506 
500.00 1123.15 17.462608 15.500660 0.000000 0.015528 0.041146 0.330742 0.000000 0.030796 0.000000 0.005994 1.537744 
500.00 1113.15 17.043906 15.103563 0.000000 0.011439 0.040567 0.306762 0.000000 0.027698 0.000000 0.006657 1.547221 
500.00 1103.15 16.656234 14.736936 0.000000 0.007792 0.040092 0.285014 0.000000 0.025001 0.000000 0.005399 1.556000 
500.00 1093.15 16.298341 14.397799 0.000000 0.004673 0.039558 0.265325 0.000000 0.022645 0.000000 0.004194 1.564146 
500.00 1083.15 15.966342 14.040546 0.045287 0.000000 0.016045 0.276421 0.000000 0.000000 0.008209 0.006553 1.573280 
500.00 1073.15 15.618323 13.713472 0.037850 0.000000 0.016823 0.254103 0.000000 0.000000 0.009217 0.005255 1.581602 
500.00 1063.15 15.299618 13.413297 0.033381 0.000000 0.016792 0.234518 0.000000 0.000000 0.008298 0.004072 1.589260 
500.00 1053.15 15.007142 13.137479 0.029459 0.000000 0.016581 0.216879 0.000000 0.000000 0.007501 0.002927 1.596315 
500.00 1043.15 14.738416 12.883804 0.026019 0.000000 0.016223 0.200941 0.000000 0.000000 0.006808 0.001803 1.602819 
500.00 1033.15 14.491124 12.187038 0.032163 0.000000 0.024776 0.305626 0.300539 0.000000 0.007892 0.012420 1.620670 
