Title: Mk

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.104076 -8.59264e-011 9.72168e-012 3.51365e-011 -6.22842e-011 -3.95835e-015 1.50792e-009 2.36474e-013 0 -1.06021e-010 1.23966e-012 -7.85082e-014 1.19774e-012 100
500.00 1513.15 0.099767 -8.14892e-012 0 -5.76186e-013 0 0 0 0 0 -1.46264e-013 0 0 0 100
500.00 1503.15 0.095376 -2.18565e-013 0 -9.73608e-013 0 0 0 0 0 -4.84492e-013 0 0 0 100
500.00 1493.15 0.090903 -3.66913e-012 0 1.50796e-012 0 0 0 0 0 6.95614e-013 0 0 0 100
500.00 1483.15 0.086345 1.20713e-013 0 1.28029e-012 0 0 0 0 0 4.50669e-013 0 0 0 100
500.00 1473.15 0.081699 1.6585e-012 0 9.20101e-013 0 0 0 0 0 8.9305e-014 0 0 0 100
500.00 1463.15 0.076965 -5.2816e-012 0 5.1708e-013 0 0 0 0 0 -3.15997e-013 0 0 0 100
500.00 1453.15 0.072138 -6.93535e-012 0 -6.12973e-014 0 0 0 0 0 -8.76563e-013 0 0 0 100
500.00 1443.15 0.067217 7.59812e-012 0 -4.60492e-013 0 0 0 0 0 1.0131e-012 0 0 0 100
500.00 1433.15 0.062200 -7.70828e-012 0 -9.24182e-013 0 0 0 0 0 7.03809e-013 0 0 0 100
500.00 1423.15 0.057084 9.3121e-012 0 -1.47179e-012 0 0 0 0 0 3.40839e-013 0 0 0 100
500.00 1413.15 0.051866 -1.52729e-011 0 -2.13138e-012 0 0 0 0 0 -4.6891e-014 0 0 0 100
500.00 1403.15 0.274827 32.6433 0 4.3442e-013 0 0 13.7467 0.236384 35.6954 0.351675 0 0 0 17.3265
500.00 1393.15 1.854860 44.4832 0.463831 3.21004 1.6439 0 9.01885 0.103114 24.2396 13.4455 0.0861398 0 0 3.30576
500.00 1383.15 5.526644 46.86 0.950821 5.62082 3.62308 0.190462 5.51897 0.00143282 14.5044 20.2298 0.142663 0 0 2.35753
500.00 1373.15 5.040540 45.3199 1.13169 5.91808 4.10884 0.134748 5.90778 0.0016275 13.8886 19.6437 0.15036 0 0 3.7946
500.00 1363.15 10.023615 42.8613 0.739489 18.6221 2.97343 0.0326725 5.52002 0.046017 9.50218 15.1804 0.890116 0.0147978 0 3.61753
500.00 1353.15 11.467741 37.1544 1.88299 16.451 8.63364 0.00115421 8.62871 0.0335831 8.41476 13.2607 0.853508 0.0143147 0 4.67115
500.00 1343.15 9.302394 35.8544 1.93635 16.183 8.97056 0 8.8527 0.0358676 7.5828 12.31 0.987157 0.0169941 0 7.27015
500.00 1333.15 7.221421 35.2286 1.74598 16.1402 8.11597 0 8.34881 0.0424823 6.82871 11.4682 1.16215 0.0206239 0 10.8983
500.00 1323.15 6.901246 37.3162 1.36949 16.9404 6.46468 0 7.5261 0 6.43061 9.45811 1.43556 0.0273293 0 13.0316
500.00 1313.15 5.645250 36.0742 1.23441 16.4982 5.7729 0 6.99879 0 5.64288 8.60701 1.60646 0.0322337 0 17.533
500.00 1303.15 4.751026 34.5083 1.12377 15.7959 5.20218 0 6.44874 0 4.88322 7.87269 1.74128 0.0367786 0 22.3871
500.00 1293.15 4.131266 32.8842 1.01818 15.005 4.67135 0 5.90324 0 4.21681 7.1673 1.85066 0.0411817 0 27.2421
500.00 1283.15 3.682718 31.2399 0.919656 14.1621 4.18533 0 5.37827 0 3.63818 6.50512 1.93354 0.0453684 0 31.9926
500.00 1273.15 3.346446 29.6019 0.829111 13.2967 3.74502 0 4.88307 0 3.13928 5.89349 1.99037 0.0492768 0 36.5718
500.00 1263.15 3.086750 27.9871 0.746788 12.4304 3.34911 0 4.42243 0 2.71105 5.33497 2.02253 0.0528527 0 40.9427
500.00 1253.15 2.881411 26.4091 0.672471 11.5802 2.99479 0 3.99805 0 2.3444 4.82896 2.03244 0.0560624 0 45.0835
500.00 1243.15 2.715952 24.8789 0.60571 10.7584 2.6787 0 3.60979 0 2.03083 4.373 2.02307 0.0588908 0 48.9826
500.00 1233.15 2.580584 23.4055 0.545939 9.974 2.39726 0 3.25642 0 1.7627 3.96363 1.99761 0.0613395 0 52.6356
500.00 1223.15 2.468463 21.9958 0.492554 9.23257 2.14701 0 2.93603 0 1.53332 3.59694 1.95922 0.0634241 0 56.0431
500.00 1213.15 2.374652 20.6551 0.444952 8.53743 1.92466 0 2.64641 0 1.3369 3.26892 1.91087 0.0651701 0 59.2096
500.00 1203.15 2.295493 19.3864 0.402554 7.88986 1.7272 0 2.38516 0 1.16848 2.97567 1.85518 0.0666095 0 62.1429
500.00 1193.15 2.228210 18.1913 0.364816 7.28971 1.55186 0 2.14989 0 1.02385 2.71349 1.79439 0.0677778 0 64.8529
500.00 1183.15 2.170659 17.0696 0.331237 6.7357 1.39616 0 1.93825 0 0.899414 2.47899 1.73038 0.0687113 0 67.3515
500.00 1173.15 2.121154 16.02 0.30136 6.22583 1.25786 0 1.74798 0 0.792152 2.26905 1.66467 0.0694459 0 69.6516
500.00 1163.15 2.078349 15.0402 0.27477 5.75761 1.13497 0 1.57699 0 0.699499 2.08087 1.59844 0.0700153 0 71.7667
500.00 1153.15 2.041163 14.1271 0.251096 5.32829 1.02572 0 1.42331 0 0.619288 1.91194 1.53262 0.0704508 0 73.7102
500.00 1143.15 2.008715 13.2774 0.230006 4.93501 0.928526 0 1.28517 0 0.54969 1.76005 1.46788 0.0707808 0 75.4955
500.00 1133.15 1.980284 12.4871 0.211206 4.5749 0.842004 0 1.16094 0 0.48916 1.62322 1.40472 0.0710309 0 77.1357
500.00 1123.15 1.961949 11.7329 0.19347 4.2378 0.761186 0 1.05394 0 0.438667 1.65615 1.34132 0.0711572 0.129495 78.3839
500.00 1113.15 1.940343 11.0429 0.178505 3.93363 0.692035 0 0.952222 0 0.391754 1.56494 1.28153 0.0713048 0.145412 79.7457
500.00 1103.15 1.919298 10.4105 0.165374 3.65806 0.631295 0 0.860285 0 0.350577 1.4318 1.22505 0.0714815 0.119226 81.0764
500.00 1093.15 1.900542 9.82303 0.153636 3.40554 0.577165 0 0.777371 0 0.314509 1.30867 1.17094 0.0716524 0.0935359 82.304
500.00 1083.15 1.925796 10.0931 0.207285 3.43061 0.0609799 0 1.24828 0.359786 0.356156 1.10678 1.21361 0.0780564 0.144235 81.7011
500.00 1073.15 1.904851 9.40355 0.235512 3.16579 0.0664043 0 1.12709 0.320736 0.308278 1.00188 1.14183 0.0768045 0.116943 83.0352
500.00 1063.15 1.886321 8.80049 0.215256 2.92949 0.0599587 0 1.02287 0.298553 0.273312 0.900728 1.07641 0.0757124 0.091489 84.2557
500.00 1053.15 1.869662 8.24167 0.197382 2.71417 0.0541678 0 0.927587 0.277837 0.242805 0.805552 1.01518 0.0746598 0.0663497 85.3826
500.00 1043.15 1.854613 7.72332 0.181547 2.51765 0.0489526 0 0.840777 0.258588 0.216068 0.715291 0.957825 0.0736551 0.0412058 86.4251
500.00 1033.15 2.304086 22.4377 0.171943 3.05239 0.0478111 0 0.846174 0.276621 0.225059 1.07885 1.18435 0.101966 0.228489 70.3486
