Title: Nd2

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.230426 52.2178 1.04693 15.4964 2.13738 0.0114018 8.08178 0.167871 6.26181 9.68895 2.49882 1.24442 0.128372 1.01801
500.00 1513.15 98.230973 52.2175 1.04692 15.4963 2.14292 0.0114017 8.07674 0.16787 6.26177 9.6889 2.4988 1.24441 0.128371 1.01801
500.00 1503.15 98.231553 52.2172 1.04691 15.4962 2.1488 0.0114016 8.07139 0.167869 6.26174 9.68884 2.49879 1.24441 0.12837 1.018
500.00 1493.15 98.232167 52.2169 1.04691 15.4961 2.15503 0.0114016 8.06572 0.167868 6.2617 9.68878 2.49877 1.2444 0.128369 1.018
500.00 1483.15 98.232818 52.2166 1.0469 15.496 2.16162 0.0114015 8.05972 0.167867 6.26165 9.68872 2.49876 1.24439 0.128369 1.01799
500.00 1473.15 98.233505 52.2162 1.04689 15.4959 2.16859 0.0114014 8.05339 0.167865 6.26161 9.68865 2.49874 1.24438 0.128368 1.01798
500.00 1463.15 98.234230 52.2158 1.04689 15.4958 2.17594 0.0114013 8.0467 0.167864 6.26156 9.68858 2.49872 1.24437 0.128367 1.01798
500.00 1453.15 98.234994 52.2154 1.04688 15.4957 2.18369 0.0114012 8.03965 0.167863 6.26152 9.6885 2.4987 1.24436 0.128366 1.01797
500.00 1443.15 98.235799 52.215 1.04687 15.4956 2.19185 0.0114011 8.03222 0.167861 6.26146 9.68842 2.49868 1.24435 0.128365 1.01796
500.00 1433.15 98.236645 52.2145 1.04686 15.4954 2.20043 0.011401 8.02441 0.16786 6.26141 9.68834 2.49866 1.24434 0.128364 1.01795
500.00 1423.15 98.199582 52.2191 1.04725 15.5013 2.20914 0.0114053 8.01366 0.167796 6.24738 9.69184 2.4996 1.24481 0.128412 1.01833
500.00 1413.15 97.436474 52.3215 1.05546 15.6227 2.21142 0.0114947 7.94941 0.166451 5.96771 9.76443 2.51918 1.25456 0.129418 1.02631
500.00 1403.15 93.556283 52.4063 1.07997 16.0813 2.21047 0.0119714 8.00919 0.173003 5.55382 9.3469 2.61678 1.30659 0.134785 1.06888
500.00 1393.15 89.675208 52.5394 1.09931 16.5508 2.20014 0.00916883 8.03289 0.180289 5.14691 8.90038 2.72185 1.36314 0.140619 1.11514
500.00 1383.15 83.974439 52.9065 1.14245 16.5925 2.22132 0.00459653 8.12734 0.189192 4.74579 8.44445 2.83298 1.45192 0.150165 1.19084
500.00 1373.15 78.292408 53.402 1.17756 16.5651 2.22542 0.0013982 8.12739 0.198406 4.3618 8.00622 2.94413 1.55219 0.161063 1.27726
500.00 1363.15 72.484824 54.2147 1.16667 16.6003 2.1551 0.000208183 7.79717 0.209719 3.98625 7.57472 3.07107 1.67054 0.173967 1.3796
500.00 1353.15 66.684901 55.3483 1.10551 16.6835 2.00687 5.01329e-005 7.13842 0.223894 3.63352 7.15349 3.20915 1.80861 0.189098 1.49959
500.00 1343.15 61.459259 56.4101 1.03737 16.7551 1.85541 2.28981e-005 6.4784 0.241999 3.32616 6.77163 3.33766 1.95387 0.205177 1.62709
500.00 1333.15 56.119293 57.1448 0.962705 16.8696 1.72167 1.30634e-005 5.88039 0.285647 3.05474 6.44678 3.49792 2.12918 0.2247 1.78192
500.00 1323.15 52.088338 57.9309 0.906599 16.874 1.60194 9.66387e-006 5.36668 0.316578 2.79662 6.16393 3.59883 2.28209 0.242089 1.91982
500.00 1313.15 48.806094 58.7098 0.861005 16.8214 1.49289 8.03345e-006 4.91471 0.337868 2.56098 5.91111 3.6605 2.42242 0.258369 2.04892
500.00 1303.15 45.930663 59.4148 0.819536 16.7589 1.39254 7.03686e-006 4.50961 0.359019 2.35365 5.67758 3.70295 2.55965 0.274544 2.17719
