Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
500.00 1523.15 98.230426 38.644049 38.644049 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.230973 38.608290 38.608290 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.231553 38.572587 38.572587 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.232167 38.536941 38.536941 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.232818 38.501354 38.501354 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.233505 38.465826 38.465826 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.234230 38.430360 38.430360 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.234994 38.394956 38.394956 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.235799 38.359617 38.359617 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.236645 38.324344 38.324344 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.237421 38.288275 38.276827 0.011449 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.235954 38.235855 37.994646 0.241209 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.236863 38.004663 36.569280 0.250604 0.000000 1.184779 0.000000 0.000000 
500.00 1393.15 98.239369 37.775402 35.153333 0.245014 0.000000 2.370214 0.000000 0.006841 
500.00 1383.15 98.240800 37.556437 33.050564 0.415326 0.000000 3.203201 0.861562 0.025784 
500.00 1373.15 98.245616 37.356365 30.969666 0.596578 0.000000 3.901545 1.817831 0.070746 
500.00 1363.15 98.265333 37.167338 28.902975 0.720575 0.000000 4.598401 2.731958 0.213428 
500.00 1353.15 98.297751 36.993215 26.882899 0.773920 0.000000 5.266920 3.626788 0.442689 
500.00 1343.15 98.327218 36.827133 25.042490 0.705901 0.167671 5.784478 4.475213 0.651380 
500.00 1333.15 98.359297 36.608498 23.100045 0.162931 1.167666 6.033980 5.293009 0.850867 
500.00 1323.15 98.377533 36.465314 21.633339 0.000000 1.619070 6.176535 6.054388 0.981982 
500.00 1313.15 98.388254 36.358617 20.433974 0.000000 1.824931 6.262209 6.763480 1.074022 
500.00 1303.15 98.396126 36.261742 19.372441 0.000000 2.008188 6.320245 7.413642 1.147225 
