Title: Nd2

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.230426 1.0000000000000000 1.000000 275.790658 -1187910.138346 38.644049 -387.853838 3625.678041 146.654746 -7.007 0.000 2.541929 0.000000 2.207 0.350285 0.000
500.00 1513.15 98.230973 1.0000000000000000 1.000000 274.825677 -1189384.615733 38.608290 -386.798845 3622.983687 146.654130 -7.116 0.000 2.544297 0.000000 2.250 0.349396 0.000
500.00 1503.15 98.231553 1.0000000000000000 1.000000 273.854336 -1190859.605045 38.572587 -385.746653 3620.230569 146.653680 -7.225 0.000 2.546667 0.000000 2.293 0.348499 0.000
500.00 1493.15 98.232167 1.0000000000000000 1.000000 272.876549 -1192335.126388 38.536941 -384.697321 3617.418917 146.653403 -7.336 0.000 2.549039 0.000000 2.337 0.347592 0.000
500.00 1483.15 98.232818 1.0000000000000000 1.000000 271.892227 -1193811.200714 38.501354 -383.650913 3614.548971 146.653303 -7.449 0.000 2.551412 0.000000 2.381 0.346676 0.000
500.00 1473.15 98.233505 1.0000000000000000 1.000000 270.919370 -1195261.134504 38.465826 -382.607495 3611.620982 142.750207 -7.563 0.000 2.553786 0.000000 2.426 0.345751 0.000
500.00 1463.15 98.234230 1.0000000000000000 1.000000 269.948323 -1196699.295962 38.430360 -381.567135 3608.635212 142.740536 -7.679 0.000 2.556162 0.000000 2.472 0.344817 0.000
500.00 1453.15 98.234994 1.0000000000000000 1.000000 268.970717 -1198137.972039 38.394956 -380.529905 3605.591932 142.730411 -7.796 0.000 2.558539 0.000000 2.518 0.343873 0.000
500.00 1443.15 98.235799 1.0000000000000000 1.000000 267.986463 -1199577.180556 38.359617 -379.495879 3602.491428 142.719828 -7.915 0.000 2.560917 0.000000 2.565 0.34292 0.000
500.00 1433.15 98.236645 1.0000000000000000 1.000000 266.995471 -1201016.940286 38.324344 -378.465136 3599.333997 142.708781 -8.035 0.000 2.563296 0.000000 2.613 0.341958 0.000
500.00 1423.15 98.237421 0.9996148230981062 0.999701 265.986472 -1202471.220166 38.288275 -377.413863 3595.316136 142.677554 -8.157 0.000 2.565510 3.305077 2.663 0.341061 0.000
500.00 1413.15 98.235954 0.9918616347924221 0.993692 264.758884 -1204186.989181 38.235855 -375.910965 3575.826018 142.270016 -8.281 0.000 2.564479 3.314472 2.743 0.34158 0.000
500.00 1403.15 98.236863 0.9523541377228828 0.962231 262.662235 -1207154.723299 38.004663 -370.423847 3521.200768 140.817603 -8.407 0.000 2.558330 3.260858 2.835 0.357986 0.000
500.00 1393.15 98.239369 0.9128235352316881 0.930588 260.577597 -1210112.279582 37.775402 -364.915467 3464.858544 139.371597 -8.535 0.000 2.550973 3.266184 2.933 0.375779 0.000
500.00 1383.15 98.240800 0.8547817116196792 0.880024 258.123535 -1213543.117716 37.556437 -355.780953 3380.773303 137.461245 -8.664 0.000 2.540787 3.166170 3.027 0.412214 0.000
500.00 1373.15 98.245616 0.7969048520089140 0.829033 255.702307 -1216962.166810 37.356365 -346.492621 3293.805190 135.594436 -8.795 0.000 2.528035 3.124181 3.129 0.45485 0.000
500.00 1363.15 98.265333 0.7376439061114379 0.777644 253.256429 -1220644.119868 37.167338 -337.283047 3196.365500 133.698960 -8.929 0.000 2.507867 3.119479 3.270 0.503577 0.000
500.00 1353.15 98.297751 0.6783970084166106 0.726698 250.820278 -1224504.124529 36.993215 -328.212124 3092.228532 131.831146 -9.064 0.000 2.480570 3.126792 3.449 0.559487 0.000
500.00 1343.15 98.327218 0.6250482832708855 0.680001 248.558473 -1228053.710460 36.827133 -319.466933 3001.192594 130.225122 -9.201 0.000 2.454199 3.128475 3.615 0.620664 0.000
500.00 1333.15 98.359297 0.5705540247644456 0.631002 246.359084 -1231540.943872 36.608498 -309.178954 2923.173406 128.829315 -9.340 0.000 2.429402 3.126931 3.727 0.697788 0.000
500.00 1323.15 98.377533 0.5294739203182253 0.593258 244.423718 -1234420.389456 36.465314 -301.388175 2858.395109 127.682586 -9.481 0.000 2.407781 3.120906 3.849 0.767817 0.000
500.00 1313.15 98.388254 0.4960561112733023 0.562012 242.648707 -1236941.459989 36.358617 -294.909890 2802.609896 126.702500 -9.625 0.000 2.388478 3.113549 3.971 0.834904 0.000
500.00 1303.15 98.396126 0.4667934138036397 0.534239 240.975217 -1239263.593653 36.261742 -288.964743 2753.925223 125.848616 -9.771 0.000 2.370928 3.106432 4.082 0.902721 0.000
