Title: Nd1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.234093 36.911246 36.911246 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.234610 36.888654 36.888654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.235160 36.866089 36.866089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.235742 36.843549 36.843549 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.236359 36.821037 36.821037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.237010 36.798553 36.798553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.237697 36.776098 36.776098 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.236774 36.646725 35.250332 0.124997 0.000000 0.326497 0.000000 0.944898 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.233172 36.248726 30.935377 0.409073 0.000000 1.869245 0.000000 3.030027 0.000000 0.005004 0.000000 0.000000 
500.00 1433.15 97.230459 35.895361 27.196913 0.562234 0.000000 3.268980 0.000000 4.851755 0.000000 0.015478 0.000000 0.000000 
500.00 1423.15 97.233284 35.442256 23.018666 0.013372 0.000000 3.456454 2.209515 6.708723 0.000000 0.035526 0.000000 0.000000 
500.00 1413.15 97.237445 35.143210 19.905662 0.000000 0.000000 3.953705 2.954162 8.250413 0.000000 0.079268 0.000000 0.000000 
500.00 1403.15 97.257753 34.863498 16.817122 0.000000 0.000000 4.516592 3.515198 9.780117 0.000000 0.234469 0.000000 0.000000 
500.00 1393.15 97.290036 34.612394 13.811001 0.000000 0.000000 5.097968 3.858307 11.356454 0.000000 0.488663 0.000000 0.000000 
500.00 1383.15 97.308246 34.419808 11.506330 0.000000 0.000000 5.492437 4.078554 12.682735 0.000000 0.659752 0.000000 0.000000 
500.00 1373.15 97.315375 34.270654 9.774489 0.000000 0.000000 5.749400 4.241565 13.746189 0.000000 0.759010 0.000000 0.000000 
500.00 1363.15 97.316167 34.151741 8.445113 0.000000 0.000000 5.918707 4.374496 14.598253 0.000000 0.815172 0.000000 0.000000 
500.00 1353.15 97.313368 34.054671 7.403573 0.000000 0.000000 6.029357 4.490276 15.285900 0.000000 0.845564 0.000000 0.000000 
500.00 1343.15 97.308540 33.973749 6.571492 0.000000 0.000000 6.099582 4.595160 15.847208 0.000000 0.860306 0.000000 0.000000 
500.00 1333.15 97.302586 33.904941 5.893895 0.000000 0.000000 6.141600 4.692193 16.311848 0.000000 0.865404 0.000000 0.000000 
500.00 1323.15 97.296034 33.845333 5.331772 0.000000 0.000000 6.163829 4.782948 16.702313 0.000000 0.864472 0.000000 0.000000 
500.00 1313.15 97.285756 33.794227 4.836910 0.062455 0.000000 6.178638 4.803929 17.062831 0.000000 0.849464 0.000000 0.000000 
500.00 1303.15 97.276785 33.747208 4.416160 0.092479 0.000000 6.177472 4.859687 17.365234 0.000000 0.836175 0.000000 0.000000 
500.00 1293.15 97.267946 33.704117 4.048506 0.116851 0.000000 6.167502 4.919823 17.629809 0.000000 0.821625 0.000000 0.000000 
500.00 1283.15 97.256935 33.656409 3.605963 0.135573 0.000000 6.136707 5.013860 17.700909 0.263464 0.799933 0.000000 0.000000 
