Title: Nd1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.234093 1.0000000000000000 1.000000 264.086260 -1183445.817750 36.911246 -215.647230 2305.010404 144.422751 -7.007 0.000 2.634267 0.000000 2.545 0 0.000
500.00 1513.15 97.234610 1.0000000000000000 1.000000 263.135881 -1184897.599454 36.888654 -215.836959 2305.126401 144.425407 -7.116 0.000 2.635895 0.000000 2.590 0 0.000
500.00 1503.15 97.235160 1.0000000000000000 1.000000 262.179215 -1186349.899850 36.866089 -216.027680 2305.249529 144.428227 -7.225 0.000 2.637523 0.000000 2.637 0 0.000
500.00 1493.15 97.235742 1.0000000000000000 1.000000 261.216175 -1187802.738027 36.843549 -216.219448 2305.380004 144.431214 -7.336 0.000 2.639152 0.000000 2.684 0 0.000
500.00 1483.15 97.236359 1.0000000000000000 1.000000 260.246673 -1189256.133874 36.821037 -216.412324 2305.518053 144.434375 -7.449 0.000 2.640783 0.000000 2.731 0 0.000
500.00 1473.15 97.237010 1.0000000000000000 1.000000 259.288424 -1190683.816197 36.798553 -216.606371 2305.663913 140.596400 -7.563 0.000 2.642414 0.000000 2.779 0 0.000
500.00 1463.15 97.237697 1.0000000000000000 1.000000 258.331925 -1192099.924877 36.776098 -216.801653 2305.817831 140.590151 -7.679 0.000 2.644046 0.000000 2.828 0 0.000
500.00 1453.15 97.236774 0.9590892769499048 0.961896 256.402099 -1194894.847323 36.646725 -210.596671 2255.451310 139.404201 -7.796 0.000 2.645613 2.848789 2.887 0 0.000
500.00 1443.15 97.233172 0.8408589879263556 0.853420 252.594869 -1200346.754150 36.248726 -193.194112 2108.913686 135.840936 -7.915 0.000 2.642909 2.912247 3.008 0 0.000
500.00 1433.15 97.230459 0.7385105403862832 0.757672 249.258464 -1205098.714940 35.895361 -177.566559 1983.797423 132.876369 -8.035 0.000 2.640216 2.922905 3.126 0 0.000
500.00 1423.15 97.233284 0.6250577085109107 0.649470 245.940445 -1209886.931032 35.442256 -158.222932 1861.131475 130.034941 -8.157 0.000 2.640310 2.934487 3.192 0 0.000
500.00 1413.15 97.237445 0.5393038130977029 0.566416 243.114959 -1213965.460375 35.143210 -144.272296 1755.298947 127.728069 -8.281 0.000 2.634453 2.939903 3.319 0 0.000
500.00 1403.15 97.257753 0.4522338671167788 0.482370 240.244380 -1218355.129007 34.863498 -130.437454 1635.932428 125.385201 -8.407 0.000 2.615385 2.952089 3.541 0 0.000
500.00 1393.15 97.290036 0.3663596581024539 0.399019 237.382837 -1222908.309561 34.612394 -116.837342 1508.711490 123.105033 -8.535 0.000 2.580779 2.963594 3.888 0 0.000
500.00 1383.15 97.308246 0.3016989410264504 0.334294 235.025148 -1226492.440170 34.419808 -106.018316 1415.444349 121.449136 -8.664 0.000 2.551447 2.965523 4.213 0 0.000
500.00 1373.15 97.315375 0.2540552438821288 0.285215 233.072457 -1229305.355422 34.270654 -97.612045 1349.165415 120.261125 -8.795 0.000 2.529389 2.963398 4.492 0 0.000
500.00 1363.15 97.316167 0.2180613456619820 0.247282 231.393570 -1231615.967519 34.151741 -90.985249 1300.292467 119.373628 -8.929 0.000 2.512802 2.960142 4.734 0 0.000
500.00 1353.15 97.313368 0.1902162339860520 0.217403 229.902812 -1233593.150396 34.054671 -85.679230 1262.898300 118.684721 -9.064 0.000 2.500223 2.956831 4.946 0 0.000
500.00 1343.15 97.308540 0.1681968240021677 0.193429 228.543709 -1235343.513390 33.973749 -81.361645 1233.301880 118.131048 -9.201 0.000 2.490604 2.953828 5.133 0 0.000
500.00 1333.15 97.302586 0.1504146583469346 0.173836 227.277999 -1236936.309473 33.904941 -77.788767 1209.142466 117.671754 -9.340 0.000 2.483203 2.951223 5.302 0 0.000
500.00 1323.15 97.296034 0.1357651667913552 0.157533 226.079301 -1238417.431577 33.845333 -74.781841 1188.868655 117.279796 -9.481 0.000 2.477490 2.949005 5.454 0 0.000
500.00 1313.15 97.285756 0.1227871961199406 0.143128 224.895567 -1239804.079565 33.794227 -72.160403 1169.663432 116.904178 -9.625 0.000 2.469644 2.947107 5.655 0 0.000
500.00 1303.15 97.276785 0.1118579175003040 0.130860 223.762373 -1241135.002105 33.747208 -69.878460 1153.413700 116.580014 -9.771 0.000 2.463946 2.945534 5.826 0 0.000
500.00 1293.15 97.267946 0.1023493264391517 0.120119 222.657380 -1242420.407626 33.704117 -67.857873 1138.923170 116.285580 -9.919 0.000 2.459008 2.944220 5.990 0 0.000
500.00 1283.15 97.256935 0.0910820718838412 0.107140 221.512615 -1243709.502704 33.656409 -65.352129 1131.866555 116.298608 -10.069 0.000 2.456587 2.941673 6.127 0 0.000
500.00 1273.15 97.264560 0.0861167017578523 0.101576 220.224996 -1245484.232723 33.629359 -64.506370 1127.134967 116.168627 -10.221 0.000 2.452062 2.942019 6.322 0 0.000
500.00 1263.15 97.252153 0.0758355078951223 0.089641 219.077265 -1246731.357951 33.582135 -62.145845 1112.945248 115.882662 -10.376 0.000 2.449942 2.939867 6.471 0 0.000
500.00 1253.15 97.239962 0.0667166476678339 0.079060 217.948798 -1247946.706035 33.537705 -60.073470 1100.475384 115.610514 -10.534 0.000 2.446737 2.938284 6.656 0 0.000
500.00 1243.15 97.228483 0.0589596465956862 0.070039 216.840065 -1249138.312989 33.496983 -58.297308 1089.768643 115.362030 -10.694 0.000 2.443443 2.937185 6.843 0 0.000
500.00 1233.15 97.214503 0.0497890717519259 0.059325 215.692312 -1250325.412152 33.447337 -56.134840 1079.165577 115.093308 -10.857 0.000 2.439302 2.935959 7.047 0 0.000
500.00 1223.15 97.191871 0.0354172987498599 0.042398 214.425086 -1251503.764823 33.369088 -52.611333 1067.476957 114.748802 -11.022 0.000 2.433105 2.933863 7.292 0 0.000
500.00 1213.15 97.169938 0.0232946476828898 0.028007 213.198256 -1252632.386685 33.297860 -49.578577 1058.624520 114.444792 -11.190 0.000 2.427216 2.932351 7.535 0 0.000
500.00 1203.15 97.150296 0.0136403782826186 0.016464 212.016441 -1253733.027983 33.236723 -47.117822 1052.054404 114.182291 -11.361 0.000 2.421663 2.931372 7.772 0 0.000
500.00 1193.15 97.134737 0.0067154533767118 0.008133 210.885333 -1254829.450347 33.189047 -45.323810 1047.239686 113.963327 -11.534 0.000 2.416468 2.930895 8.005 0 0.000
500.00 1183.15 97.123500 0.0021479512320062 0.002609 209.797360 -1255935.457714 33.154088 -44.122921 1043.585567 113.780835 -11.711 0.000 2.411622 2.930812 8.232 0 0.000
500.00 1173.15 97.117513 0.0000000000000000 0.000000 208.754865 -1257064.397214 33.131953 -43.551233 1040.767762 113.633365 -11.890 0.000 0.000000 2.931234 8.346 0 0.000
500.00 1163.15 97.116675 0.0000000000000000 0.000000 207.752642 -1258221.243303 33.120512 -43.552816 1038.475811 113.514942 -12.073 0.000 0.000000 2.932221 8.346 0 0.000
500.00 1153.15 97.115845 0.0000000000000000 0.000000 206.743190 -1259376.596604 33.109076 -43.554477 1036.248442 113.396605 -12.259 0.000 0.000000 2.933209 8.346 0 0.000
500.00 1143.15 97.115024 0.0000000000000000 0.000000 205.726348 -1260530.509414 33.097642 -43.556246 1034.096066 113.278640 -12.448 0.000 0.000000 2.934198 8.346 0 0.000
500.00 1133.15 97.114213 0.0000000000000000 0.000000 204.701954 -1261683.030119 33.086207 -43.558156 1032.031137 113.161403 -12.641 0.000 0.000000 2.935187 8.346 0 0.000
500.00 1123.15 97.113412 0.0000000000000000 0.000000 203.669845 -1262834.205204 33.074770 -43.560245 1030.068797 113.045345 -12.837 0.000 0.000000 2.936178 8.346 0 0.000
