Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.169879 37.732004 37.732004 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.170501 37.695529 37.695529 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.171162 37.659113 37.659113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.171862 37.622759 37.622759 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.172603 37.586466 37.586466 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.173386 37.550238 37.550238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.174213 37.514076 37.514076 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.175084 37.477980 37.477980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.176001 37.441953 37.441953 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.176966 37.405997 37.405997 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.177980 37.370112 37.370112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.179093 37.127951 35.408730 0.000000 0.000000 1.093916 0.000000 0.625305 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.177295 36.851884 32.654110 0.250795 0.000000 2.153881 0.000000 1.793097 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.181009 36.603650 30.170128 0.484884 0.000000 3.095882 0.000000 2.811036 0.000000 0.041719 0.000000 0.000000 0.000000 
500.00 1383.15 98.187239 36.382279 27.950350 0.695198 0.000000 3.929139 0.000000 3.711910 0.000000 0.095683 0.000000 0.000000 0.000000 
500.00 1373.15 98.209091 36.170416 25.751510 0.855626 0.000000 4.783536 0.000000 4.526206 0.000000 0.253538 0.000000 0.000000 0.000000 
500.00 1363.15 98.251737 35.966949 23.496912 0.936883 0.000000 5.678906 0.000000 5.300643 0.000000 0.553604 0.000000 0.000000 0.000000 
500.00 1353.15 98.290310 35.794065 21.535668 0.981168 0.000000 6.413231 0.000000 6.032732 0.000000 0.831267 0.000000 0.000000 0.000000 
