Title: Mk

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.169879 1.0000000000000000 1.000000 274.900497 -1172151.007938 37.732004 -369.775687 3704.085150 147.853944 -7.007 0.000 2.601767 0.000000 1.832 0.382093 0.000
500.00 1513.15 98.170501 1.0000000000000000 1.000000 273.927815 -1173638.567158 37.695529 -368.691563 3701.407866 147.853718 -7.116 0.000 2.604301 0.000000 1.872 0.381152 0.000
500.00 1503.15 98.171162 1.0000000000000000 1.000000 272.948727 -1175126.713522 37.659113 -367.610385 3698.672871 147.853684 -7.225 0.000 2.606837 0.000000 1.912 0.380202 0.000
500.00 1493.15 98.171862 1.0000000000000000 1.000000 271.963147 -1176615.469947 37.622759 -366.532223 3695.880430 147.853846 -7.336 0.000 2.609374 0.000000 1.953 0.379241 0.000
500.00 1483.15 98.172603 1.0000000000000000 1.000000 270.970983 -1178104.860322 37.586466 -365.457148 3693.030816 147.854212 -7.449 0.000 2.611914 0.000000 1.994 0.378271 0.000
500.00 1473.15 98.173386 1.0000000000000000 1.000000 269.987263 -1179572.586676 37.550238 -364.385235 3690.124317 144.593361 -7.563 0.000 2.614454 0.000000 2.035 0.377292 0.000
500.00 1463.15 98.174213 1.0000000000000000 1.000000 269.003901 -1181030.659905 37.514076 -363.316563 3687.161230 144.585734 -7.679 0.000 2.616997 0.000000 2.078 0.376302 0.000
500.00 1453.15 98.175084 1.0000000000000000 1.000000 268.013890 -1182489.353493 37.477980 -362.251214 3684.141868 144.577782 -7.796 0.000 2.619540 0.000000 2.120 0.375303 0.000
500.00 1443.15 98.176001 1.0000000000000000 1.000000 267.017137 -1183948.689697 37.441953 -361.189273 3681.066557 144.569502 -7.915 0.000 2.622085 0.000000 2.164 0.374293 0.000
500.00 1433.15 98.176966 1.0000000000000000 1.000000 266.013551 -1185408.691892 37.405997 -360.130829 3677.935635 144.560892 -8.035 0.000 2.624632 0.000000 2.208 0.373274 0.000
500.00 1423.15 98.177980 1.0000000000000000 1.000000 265.003035 -1186869.384633 37.370112 -359.075974 3674.749460 144.551951 -8.157 0.000 2.627179 0.000000 2.252 0.372245 0.000
500.00 1413.15 98.179093 0.9467765963458935 0.953695 262.621526 -1190264.033506 37.127951 -350.724695 3604.179147 142.796908 -8.281 0.000 2.625162 3.039415 2.290 0.403884 0.000
500.00 1403.15 98.177295 0.8712195300927206 0.886091 259.719103 -1194320.678765 36.851884 -339.128644 3498.433113 140.282663 -8.407 0.000 2.619394 3.011911 2.335 0.45727 0.000
500.00 1393.15 98.181009 0.8021223747063413 0.824238 257.003532 -1198181.700863 36.603650 -328.570305 3395.745701 137.964419 -8.535 0.000 2.610303 3.019781 2.396 0.51422 0.000
500.00 1383.15 98.187239 0.7398522016300891 0.768241 254.470271 -1201804.946698 36.382279 -318.989973 3299.842703 135.880809 -8.664 0.000 2.599039 3.029341 2.465 0.573836 0.000
500.00 1373.15 98.209091 0.6760677906149930 0.711950 251.913398 -1205701.340506 36.170416 -309.612924 3191.640902 133.745789 -8.795 0.000 2.578334 3.053400 2.575 0.640616 0.000
500.00 1363.15 98.251737 0.6082555473617712 0.653292 249.269170 -1210045.391538 35.966949 -300.143596 3065.665062 131.491647 -8.929 0.000 2.543405 3.086565 2.747 0.719055 0.000
500.00 1353.15 98.290310 0.5493143897206045 0.601655 246.852031 -1213984.443100 35.794065 -291.619625 2954.740679 129.559419 -9.064 0.000 2.507110 3.106803 2.924 0.802271 0.000
500.00 1343.15 98.318646 0.5010806374160048 0.558460 244.705958 -1217359.087723 35.650276 -284.184386 2864.827668 127.998862 -9.201 0.000 2.474507 3.116255 3.084 0.886347 0.000
500.00 1333.15 98.339942 0.4603482495813355 0.521159 242.756897 -1220328.456401 35.521524 -277.410429 2790.940677 126.714533 -9.340 0.000 2.445427 3.120043 3.222 0.972627 0.000
500.00 1323.15 98.377213 0.3691027166661189 0.406774 239.919019 -1224728.000309 36.850065 -4117.822321 4235.661096 124.621776 -9.481 0.000 2.422426 2.839191 3.352 0.99993 0.000
