Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.101174 48.1647 1.37809 15.2372 2.48551 0.0202844 9.8047 0.195474 7.13479 10.839 2.24795 0.342079 0.156379 1.99383
500.00 1513.15 100.101823 48.1644 1.37808 15.2371 2.49196 0.0202843 9.79881 0.195472 7.13474 10.8389 2.24793 0.342077 0.156378 1.99382
500.00 1503.15 100.102512 48.1641 1.37807 15.237 2.49881 0.0202841 9.79256 0.195471 7.1347 10.8389 2.24792 0.342074 0.156377 1.99381
500.00 1493.15 100.103242 48.1637 1.37806 15.2369 2.50608 0.020284 9.78594 0.19547 7.13464 10.8388 2.2479 0.342072 0.156376 1.99379
500.00 1483.15 100.104015 48.1634 1.37805 15.2367 2.51376 0.0202838 9.77893 0.195468 7.13459 10.8387 2.24788 0.342069 0.156375 1.99378
500.00 1473.15 100.104832 48.163 1.37804 15.2366 2.52189 0.0202837 9.77152 0.195467 7.13453 10.8386 2.24787 0.342067 0.156373 1.99376
500.00 1463.15 100.105694 48.1626 1.37803 15.2365 2.53046 0.0202835 9.7637 0.195465 7.13447 10.8385 2.24785 0.342064 0.156372 1.99374
500.00 1453.15 100.106603 48.1621 1.37801 15.2363 2.5395 0.0202833 9.75546 0.195463 7.1344 10.8384 2.24783 0.34206 0.15637 1.99372
500.00 1443.15 100.107560 48.1617 1.378 15.2362 2.54902 0.0202831 9.74678 0.195461 7.13434 10.8383 2.2478 0.342057 0.156369 1.9937
500.00 1433.15 100.108567 48.1612 1.37799 15.2361 2.55904 0.0202829 9.73764 0.195459 7.13426 10.8382 2.24778 0.342054 0.156367 1.99368
500.00 1423.15 100.109626 48.1607 1.37797 15.2359 2.56957 0.0202827 9.72804 0.195457 7.13419 10.8381 2.24776 0.34205 0.156366 1.99366
500.00 1413.15 100.110738 48.1601 1.37796 15.2357 2.58063 0.0202825 9.71796 0.195455 7.13411 10.838 2.24773 0.342046 0.156364 1.99364
500.00 1403.15 100.110042 48.1605 1.37797 15.2358 2.5737 0.0202826 9.72427 0.195456 7.13416 10.8381 2.24775 0.342049 0.156365 1.99366
500.00 1393.15 100.108803 48.1611 1.37798 15.236 2.56138 0.0202829 9.73551 0.195459 7.13425 10.8382 2.24778 0.342053 0.156367 1.99368
500.00 1383.15 100.115155 48.158 1.3779 15.235 2.62454 0.0202816 9.67791 0.195446 7.13379 10.8375 2.24763 0.342031 0.156357 1.99355
500.00 1373.15 100.128929 48.1514 1.37771 15.233 2.76149 0.0202788 9.55302 0.19542 7.13281 10.836 2.24732 0.341984 0.156336 1.99328
