Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 spinel_0 water 
500.00 1523.15 100.101174 99.936792 0.000000 0.000000 0.000000 0.164381 
500.00 1513.15 100.101823 99.941693 0.000000 0.000000 0.000000 0.160129 
500.00 1503.15 100.102512 99.946714 0.000000 0.000000 0.000000 0.155798 
500.00 1493.15 100.103242 99.951857 0.000000 0.000000 0.000000 0.151385 
500.00 1483.15 100.104015 99.957126 0.000000 0.000000 0.000000 0.146888 
500.00 1473.15 100.104832 99.962525 0.000000 0.000000 0.000000 0.142306 
500.00 1463.15 100.105694 99.968057 0.000000 0.000000 0.000000 0.137637 
500.00 1453.15 100.106603 99.973726 0.000000 0.000000 0.000000 0.132877 
500.00 1443.15 100.107560 99.979535 0.000000 0.000000 0.000000 0.128025 
500.00 1433.15 100.108567 99.985489 0.000000 0.000000 0.000000 0.123078 
500.00 1423.15 100.109626 99.991592 0.000000 0.000000 0.000000 0.118034 
500.00 1413.15 100.110738 99.997848 0.000000 0.000000 0.000000 0.112891 
500.00 1403.15 100.110042 99.340102 0.659143 0.000000 0.000000 0.110797 
500.00 1393.15 100.108803 98.531265 1.468249 0.000000 0.000000 0.109288 
500.00 1383.15 100.115155 94.053042 1.703036 4.035113 0.161639 0.162326 
500.00 1373.15 100.128929 88.567425 1.765230 9.076379 0.491167 0.228729 
