Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 spinel_0 water 
500.00 1523.15 100.101174 41.861207 39.532152 0.000000 0.000000 0.000000 2.329055 
500.00 1513.15 100.101823 41.744010 39.491830 0.000000 0.000000 0.000000 2.252180 
500.00 1503.15 100.102512 41.626664 39.451622 0.000000 0.000000 0.000000 2.175042 
500.00 1493.15 100.103242 41.509171 39.411532 0.000000 0.000000 0.000000 2.097639 
500.00 1483.15 100.104015 41.391535 39.371564 0.000000 0.000000 0.000000 2.019971 
500.00 1473.15 100.104832 41.273757 39.331718 0.000000 0.000000 0.000000 1.942039 
500.00 1463.15 100.105694 41.155841 39.292000 0.000000 0.000000 0.000000 1.863841 
500.00 1453.15 100.106603 41.037789 39.252411 0.000000 0.000000 0.000000 1.785379 
500.00 1443.15 100.107560 40.919607 39.212954 0.000000 0.000000 0.000000 1.706652 
500.00 1433.15 100.108567 40.801297 39.173634 0.000000 0.000000 0.000000 1.627662 
500.00 1423.15 100.109626 40.682864 39.134453 0.000000 0.000000 0.000000 1.548411 
500.00 1413.15 100.110738 40.564315 39.095415 0.000000 0.000000 0.000000 1.468900 
500.00 1403.15 100.110042 40.466386 38.837004 0.199580 0.000000 0.000000 1.429802 
500.00 1393.15 100.108803 40.372270 38.530305 0.443349 0.000000 0.000000 1.398615 
500.00 1383.15 100.115155 40.689899 36.842765 0.512086 1.238851 0.036313 2.059884 
500.00 1373.15 100.128929 41.101482 34.807327 0.528301 2.778509 0.109517 2.877829 
