Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.125041 48.6433 1.3918 15.3886 2.51765 0.0204841 9.89543 0.197401 7.2057 10.9467 2.27027 0.345478 0.157962 1.01911
500.00 1513.15 98.125688 48.643 1.39179 15.3885 2.52422 0.0204839 9.88944 0.1974 7.20566 10.9467 2.27025 0.345475 0.157961 1.0191
500.00 1503.15 98.126376 48.6427 1.39178 15.3884 2.5312 0.0204838 9.88308 0.197399 7.20561 10.9466 2.27024 0.345473 0.15796 1.01909
500.00 1493.15 98.127104 48.6423 1.39177 15.3883 2.53859 0.0204836 9.87633 0.197397 7.20555 10.9465 2.27022 0.34547 0.157958 1.01909
500.00 1483.15 98.127875 48.6419 1.39176 15.3882 2.54641 0.0204835 9.8692 0.197395 7.2055 10.9464 2.2702 0.345468 0.157957 1.01908
500.00 1473.15 98.128690 48.6415 1.39174 15.3881 2.55467 0.0204833 9.86166 0.197394 7.20544 10.9463 2.27018 0.345465 0.157956 1.01907
500.00 1463.15 98.129550 48.6411 1.39173 15.3879 2.5634 0.0204831 9.85371 0.197392 7.20537 10.9462 2.27016 0.345462 0.157954 1.01906
500.00 1453.15 98.130456 48.6407 1.39172 15.3878 2.57259 0.0204829 9.84533 0.19739 7.20531 10.9461 2.27014 0.345458 0.157953 1.01905
500.00 1443.15 98.131410 48.6402 1.39171 15.3876 2.58227 0.0204827 9.8365 0.197388 7.20524 10.946 2.27012 0.345455 0.157951 1.01904
500.00 1433.15 98.132414 48.6397 1.39169 15.3875 2.59245 0.0204825 9.82721 0.197386 7.20516 10.9459 2.2701 0.345452 0.15795 1.01903
500.00 1423.15 98.133469 48.6392 1.39168 15.3873 2.60316 0.0204823 9.81745 0.197384 7.20509 10.9458 2.27007 0.345448 0.157948 1.01902
500.00 1413.15 98.133904 48.6389 1.39167 15.3872 2.60757 0.0204822 9.81342 0.197383 7.20505 10.9458 2.27006 0.345446 0.157947 1.01902
500.00 1403.15 98.132257 48.6398 1.39169 15.3875 2.59086 0.0204826 9.82866 0.197387 7.20517 10.9459 2.2701 0.345452 0.15795 1.01903
500.00 1393.15 98.137193 48.6373 1.39162 15.3867 2.64093 0.0204815 9.78299 0.197377 7.20481 10.9454 2.26999 0.345435 0.157942 1.01898
500.00 1383.15 98.146691 48.6326 1.39149 15.3852 2.73727 0.0204795 9.69513 0.197358 7.20411 10.9443 2.26977 0.345401 0.157927 1.01888
500.00 1373.15 98.180358 48.6159 1.39101 15.38 3.07859 0.0204725 9.38384 0.19729 7.20164 10.9406 2.26899 0.345283 0.157873 1.01853
500.00 1363.15 98.229950 48.5914 1.39031 15.3722 3.58094 0.0204622 8.92568 0.19719 7.19801 10.9351 2.26784 0.345109 0.157793 1.01802
500.00 1353.15 98.268939 48.5721 1.38976 15.3661 3.97553 0.0204541 8.5658 0.197112 7.19515 10.9307 2.26694 0.344972 0.15773 1.01762
500.00 1343.15 98.296697 48.5584 1.38937 15.3618 4.25627 0.0204483 8.30977 0.197056 7.19312 10.9276 2.2663 0.344874 0.157686 1.01733
500.00 1333.15 98.318674 48.5475 1.38905 15.3583 4.47843 0.0204437 8.10715 0.197012 7.19151 10.9252 2.2658 0.344797 0.157651 1.0171
500.00 1323.15 98.348730 48.5327 1.38863 15.3536 4.78209 0.0204375 7.83021 0.196952 7.18932 10.9218 2.2651 0.344692 0.157602 1.01679
500.00 1313.15 98.364376 48.525 1.38841 15.3512 4.94008 0.0204342 7.68611 0.196921 7.18817 10.9201 2.26474 0.344637 0.157577 1.01663
500.00 1303.15 98.365486 48.5244 1.38839 15.351 4.9513 0.020434 7.67588 0.196919 7.18809 10.92 2.26472 0.344633 0.157576 1.01662
500.00 1293.15 98.362735 48.5258 1.38843 15.3514 4.92352 0.0204346 7.70122 0.196924 7.18829 10.9203 2.26478 0.344643 0.15758 1.01665
500.00 1283.15 98.357280 48.5285 1.38851 15.3523 4.86843 0.0204357 7.75146 0.196935 7.18869 10.9209 2.26491 0.344662 0.157589 1.0167
500.00 1273.15 98.350006 48.5321 1.38861 15.3534 4.79497 0.0204372 7.81846 0.19695 7.18922 10.9217 2.26507 0.344687 0.1576 1.01678
500.00 1263.15 98.341592 48.5362 1.38873 15.3547 4.70998 0.020439 7.89597 0.196967 7.18984 10.9226 2.26527 0.344717 0.157614 1.01686
500.00 1253.15 98.332226 48.5409 1.38886 15.3562 4.61536 0.0204409 7.98226 0.196985 7.19052 10.9237 2.26548 0.34475 0.157629 1.01696
500.00 1243.15 98.322183 48.5458 1.389 15.3578 4.51389 0.020443 8.07481 0.197005 7.19126 10.9248 2.26571 0.344785 0.157645 1.01706
500.00 1233.15 98.312166 48.5508 1.38915 15.3593 4.41265 0.0204451 8.16714 0.197025 7.19199 10.9259 2.26595 0.34482 0.157661 1.01717
500.00 1223.15 98.301733 48.5559 1.38929 15.361 4.30718 0.0204472 8.26333 0.197046 7.19275 10.9271 2.26619 0.344857 0.157678 1.01728
500.00 1213.15 98.287796 48.5628 1.38949 15.3631 4.16626 0.0204501 8.39186 0.197074 7.19377 10.9286 2.26651 0.344905 0.1577 1.01742
500.00 1203.15 98.274183 48.5695 1.38968 15.3653 4.02858 0.020453 8.51742 0.197102 7.19477 10.9301 2.26682 0.344953 0.157722 1.01756
500.00 1193.15 98.260963 48.5761 1.38987 15.3673 3.89484 0.0204557 8.6394 0.197128 7.19574 10.9316 2.26713 0.345 0.157743 1.0177
500.00 1183.15 98.248163 48.5824 1.39005 15.3693 3.76531 0.0204584 8.75753 0.197154 7.19667 10.933 2.26742 0.345045 0.157764 1.01783
500.00 1173.15 98.235786 48.5885 1.39023 15.3713 3.64002 0.020461 8.8718 0.197179 7.19758 10.9344 2.26771 0.345088 0.157784 1.01796
500.00 1163.15 98.223815 48.5944 1.3904 15.3732 3.51883 0.0204635 8.98233 0.197203 7.19846 10.9357 2.26798 0.34513 0.157803 1.01808
500.00 1153.15 98.210011 48.6013 1.39059 15.3753 3.37903 0.0204663 9.10983 0.19723 7.19947 10.9373 2.2683 0.345179 0.157825 1.01823
500.00 1143.15 98.195739 48.6083 1.39079 15.3776 3.23445 0.0204693 9.24169 0.197259 7.20052 10.9389 2.26863 0.345229 0.157848 1.01837
500.00 1133.15 98.181623 48.6153 1.39099 15.3798 3.09141 0.0204723 9.37214 0.197287 7.20155 10.9404 2.26896 0.345278 0.157871 1.01852
500.00 1123.15 98.167693 48.6222 1.39119 15.3819 2.95022 0.0204752 9.50091 0.197315 7.20257 10.942 2.26928 0.345327 0.157893 1.01867
500.00 1113.15 98.153960 48.629 1.39139 15.3841 2.81098 0.020478 9.6279 0.197343 7.20358 10.9435 2.2696 0.345376 0.157915 1.01881
500.00 1103.15 98.140409 48.6357 1.39158 15.3862 2.67356 0.0204809 9.75324 0.19737 7.20458 10.945 2.26991 0.345423 0.157937 1.01895
500.00 1093.15 98.118941 48.6464 1.39188 15.3896 2.45576 0.0204853 9.95187 0.197413 7.20615 10.9474 2.27041 0.345499 0.157972 1.01917
500.00 1083.15 98.119416 48.6461 1.39188 15.3895 2.46058 0.0204852 9.94748 0.197413 7.20612 10.9474 2.2704 0.345497 0.157971 1.01917
500.00 1073.15 98.119877 48.6459 1.39187 15.3894 2.46526 0.0204851 9.94321 0.197412 7.20608 10.9473 2.27039 0.345496 0.15797 1.01916
500.00 1063.15 98.120324 48.6457 1.39186 15.3894 2.46979 0.0204851 9.93908 0.197411 7.20605 10.9473 2.27038 0.345494 0.157969 1.01916
