Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.125041 98.125041 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.125688 98.125688 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.126376 98.126376 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.127104 98.127104 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.127875 98.127875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.128690 98.128690 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.129550 98.129550 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.130456 98.130456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.131410 98.131410 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.132414 98.132414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.133469 98.133469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.133904 96.185435 0.307172 0.000000 1.641297 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.132257 88.967457 1.136070 0.000000 5.238295 2.790435 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.137193 81.902932 1.957205 0.000000 8.438557 5.609995 0.000000 0.228504 0.000000 0.000000 0.000000 
500.00 1383.15 98.146691 75.417354 2.693882 0.000000 11.344186 8.111152 0.000000 0.580117 0.000000 0.000000 0.000000 
500.00 1373.15 98.180358 68.354057 3.205602 0.000000 14.536697 10.403920 0.000000 1.680083 0.000000 0.000000 0.000000 
500.00 1363.15 98.229950 61.197722 3.457508 0.000000 17.669428 12.603052 0.000000 3.302240 0.000000 0.000000 0.000000 
500.00 1353.15 98.268939 55.270516 3.624057 0.000000 20.085073 14.661886 0.000000 4.627408 0.000000 0.000000 0.000000 
500.00 1343.15 98.296697 50.455822 3.758656 0.000000 21.902945 16.557454 0.000000 5.621820 0.000000 0.000000 0.000000 
500.00 1333.15 98.318674 46.271287 3.521050 0.602209 23.202498 18.310593 0.000000 6.411038 0.000000 0.000000 0.000000 
500.00 1323.15 98.348730 39.702565 1.213974 4.818170 23.874328 21.326241 0.000000 7.334369 0.000000 0.000000 0.079082 
500.00 1313.15 98.364376 32.614231 0.000000 7.839470 24.174207 25.509073 0.000000 7.998658 0.000000 0.000000 0.228737 
500.00 1303.15 98.365486 27.583915 0.000000 8.980211 24.269380 28.877166 0.000000 8.314831 0.000000 0.000000 0.339984 
500.00 1293.15 98.362735 23.462557 0.000000 9.936175 24.312019 31.713198 0.000000 8.504774 0.000000 0.000000 0.434012 
500.00 1283.15 98.357280 20.097718 0.000000 10.755264 24.318154 34.071982 0.000000 8.601583 0.000000 0.000000 0.512581 
500.00 1273.15 98.350006 17.360543 0.000000 11.473019 24.294073 36.014085 0.000000 8.630731 0.000000 0.000000 0.577555 
500.00 1263.15 98.341592 15.135798 0.000000 12.114874 24.243769 37.604189 0.000000 8.612008 0.000000 0.000000 0.630953 
500.00 1253.15 98.332226 13.276232 0.000000 12.711336 24.169249 38.923055 0.000000 8.557449 0.000000 0.019441 0.675465 
500.00 1243.15 98.322183 11.701910 0.000000 13.275294 24.073998 40.022611 0.000000 8.476300 0.000000 0.059308 0.712763 
500.00 1233.15 98.312166 10.408771 0.000000 13.796670 23.965843 40.925341 0.000000 8.380736 0.000000 0.091366 0.743440 
500.00 1223.15 98.301733 9.317723 0.028186 14.266422 23.846726 41.686883 0.000000 8.267908 0.000000 0.118429 0.769455 
500.00 1213.15 98.287796 8.291790 0.214846 14.631004 23.706762 42.406202 0.000000 8.095484 0.000000 0.146881 0.794827 
500.00 1203.15 98.274183 7.401277 0.370690 15.011299 23.563915 43.019286 0.000000 7.919271 0.000000 0.171568 0.816876 
500.00 1193.15 98.260963 6.622232 0.500539 15.401805 23.420865 43.544958 0.000000 7.741301 0.000000 0.193103 0.836162 
500.00 1183.15 98.248163 5.935082 0.608652 15.798445 23.279794 43.998371 0.000000 7.562679 0.000000 0.211991 0.853148 
500.00 1173.15 98.235786 5.323868 0.698661 16.198462 23.142461 44.391630 0.000000 7.383826 0.000000 0.228658 0.868220 
500.00 1163.15 98.223815 4.775534 0.773610 16.600230 23.010297 44.734349 0.000000 7.204646 0.000000 0.243455 0.881695 
500.00 1153.15 98.210011 4.039995 0.851885 17.123498 22.875087 45.194738 0.000000 6.764753 0.197151 0.263314 0.899590 
500.00 1143.15 98.195739 3.305847 0.918623 17.673776 22.740250 45.651411 0.000000 6.279521 0.426289 0.282738 0.917284 
500.00 1133.15 98.181623 2.629665 0.971909 18.214220 22.608294 46.068731 0.000000 5.821984 0.633194 0.300229 0.933397 
500.00 1123.15 98.167693 2.000789 1.014313 18.742700 22.479526 46.455299 0.000000 5.390476 0.820234 0.316177 0.948180 
500.00 1113.15 98.153960 1.409725 1.047899 19.258194 22.354137 46.818566 0.000000 4.983082 0.989569 0.330931 0.961856 
500.00 1103.15 98.140409 0.847822 1.074343 19.760738 22.232224 47.165081 0.000000 4.597550 1.143208 0.344811 0.974632 
500.00 1093.15 98.118941 0.000000 1.105054 20.496493 22.092228 47.391924 0.298463 4.030999 1.344656 0.365682 0.993443 
500.00 1083.15 98.119416 0.000000 1.104490 20.560633 22.020541 47.297702 0.389179 4.019550 1.368197 0.365682 0.993443 
500.00 1073.15 98.119877 0.000000 1.103536 20.621777 21.952817 47.206881 0.476102 4.008629 1.391011 0.365682 0.993443 
500.00 1063.15 98.120324 0.000000 1.102175 20.680291 21.888797 47.119260 0.559379 3.998221 1.413076 0.365682 0.993443 
