Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.125041 37.637958 37.637958 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.125688 37.601262 37.601262 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.126376 37.564626 37.564626 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.127104 37.528053 37.528053 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.127875 37.491544 37.491544 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.128690 37.455100 37.455100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.129550 37.418723 37.418723 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.130456 37.382414 37.382414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.131410 37.346176 37.346176 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.132414 37.310009 37.310009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.133469 37.273917 37.273917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.133904 37.147146 36.548458 0.092863 0.000000 0.505825 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.132257 36.868049 33.874625 0.341744 0.000000 1.610432 1.041248 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.137193 36.611236 31.291929 0.585730 0.000000 2.588134 2.094345 0.000000 0.051099 0.000000 0.000000 0.000000 
500.00 1383.15 98.146691 36.380033 28.948822 0.802058 0.000000 3.471247 3.029520 0.000000 0.128385 0.000000 0.000000 0.000000 
500.00 1373.15 98.180358 36.151410 26.503109 0.950217 0.000000 4.440889 3.887940 0.000000 0.369256 0.000000 0.000000 0.000000 
500.00 1363.15 98.229950 35.938856 24.087783 1.021679 0.000000 5.394221 4.712585 0.000000 0.722587 0.000000 0.000000 0.000000 
500.00 1353.15 98.268939 35.763703 22.071570 1.068177 0.000000 6.129151 5.485741 0.000000 1.009064 0.000000 0.000000 0.000000 
500.00 1343.15 98.296697 35.618646 20.410894 1.105356 0.000000 6.681569 6.198582 0.000000 1.222246 0.000000 0.000000 0.000000 
500.00 1333.15 98.318674 35.478905 18.938259 1.033439 0.182657 7.075897 6.858444 0.000000 1.390208 0.000000 0.000000 0.000000 
500.00 1323.15 98.348730 36.046227 16.417604 0.355369 1.460151 7.278875 7.996428 0.000000 1.585973 0.000000 0.000000 0.951827 
500.00 1313.15 98.364376 37.354381 13.584802 0.000000 2.371447 7.365469 9.582925 0.000000 1.721954 0.000000 0.000000 2.727784 
500.00 1303.15 98.365486 38.322424 11.559062 0.000000 2.710683 7.388440 10.865162 0.000000 1.782337 0.000000 0.000000 4.016740 
500.00 1293.15 98.362735 39.112127 9.880069 0.000000 2.992942 7.395610 11.947907 0.000000 1.816303 0.000000 0.000000 5.079295 
500.00 1283.15 98.357280 39.743447 8.495999 0.000000 3.233018 7.391846 12.850091 0.000000 1.831060 0.000000 0.000000 5.941433 
500.00 1273.15 98.350006 40.237339 7.361102 0.000000 3.441879 7.379077 13.593555 0.000000 1.832080 0.000000 0.000000 6.629647 
500.00 1263.15 98.341592 40.615634 6.432570 0.000000 3.627378 7.358547 14.202252 0.000000 1.823552 0.000000 0.000000 7.171336 
500.00 1253.15 98.332226 40.904348 5.653270 0.000000 3.798699 7.330784 14.706709 0.000000 1.807956 0.000000 0.006348 7.600582 
500.00 1243.15 98.322183 41.120568 4.991775 0.000000 3.959764 7.296840 15.126644 0.000000 1.787203 0.000000 0.019366 7.938975 
500.00 1233.15 98.312166 41.272946 4.446165 0.000000 4.107811 7.259249 15.470624 0.000000 1.763844 0.000000 0.029834 8.195418 
500.00 1223.15 98.301733 41.380325 3.984799 0.007706 4.240072 7.218438 15.759938 0.000000 1.737207 0.000000 0.038671 8.393494 
500.00 1213.15 98.287796 41.478932 3.553494 0.058394 4.339845 7.170599 16.032174 0.000000 1.698358 0.000000 0.047962 8.578106 
500.00 1203.15 98.274183 41.543760 3.178090 0.100198 4.444090 7.122082 16.263380 0.000000 1.659075 0.000000 0.056023 8.720822 
500.00 1193.15 98.260963 41.580469 2.848781 0.134600 4.551154 7.073672 16.460852 0.000000 1.619728 0.000000 0.063055 8.828626 
500.00 1183.15 98.248163 41.593691 2.557530 0.162882 4.659809 7.025994 16.630472 0.000000 1.580503 0.000000 0.069222 8.907278 
500.00 1173.15 98.235786 41.587185 2.297767 0.186119 4.769218 6.979538 16.776938 0.000000 1.541448 0.000000 0.074664 8.961493 
500.00 1163.15 98.223815 41.563993 2.064105 0.205199 4.878882 6.934688 16.903987 0.000000 1.502511 0.000000 0.079496 8.995126 
500.00 1153.15 98.210011 41.565251 1.749078 0.224875 5.020903 6.889391 17.075292 0.000000 1.407790 0.042580 0.085981 9.069361 
500.00 1143.15 98.195739 41.558676 1.433455 0.241359 5.169648 6.844554 17.245061 0.000000 1.303828 0.091959 0.092324 9.136489 
500.00 1133.15 98.181623 41.535596 1.141792 0.254247 5.315167 6.800856 17.399892 0.000000 1.206237 0.136444 0.098035 9.182925 
500.00 1123.15 98.167693 41.498357 0.869733 0.264260 5.456886 6.758398 17.543096 0.000000 1.114573 0.176573 0.103242 9.211596 
500.00 1113.15 98.153960 41.448973 0.613385 0.271968 5.594539 6.717239 17.677537 0.000000 1.028357 0.212831 0.108060 9.225057 
500.00 1103.15 98.140409 41.389186 0.369178 0.277829 5.728160 6.677397 17.805733 0.000000 0.947055 0.245667 0.112593 9.225574 
500.00 1093.15 98.118941 41.358022 0.000000 0.284432 5.924335 6.630195 17.885410 0.118707 0.828691 0.288664 0.119408 9.278181 
500.00 1083.15 98.119416 41.220727 0.000000 0.283980 5.938529 6.609475 17.844114 0.154759 0.825270 0.293606 0.119408 9.151586 
500.00 1073.15 98.119877 41.082206 0.000000 0.283422 5.951789 6.589963 17.804181 0.189290 0.821974 0.298389 0.119408 9.023790 
500.00 1063.15 98.120324 40.942387 0.000000 0.282757 5.964220 6.571583 17.765531 0.222357 0.818797 0.303007 0.119408 8.894728 
