Title: Nd1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 100.083849 53.515483 40.470743 0.000000 0.000000 0.000000 0.000000 0.000000 13.044740 
500.00 1513.15 100.084357 53.312295 40.431032 0.000000 0.000000 0.000000 0.000000 0.000000 12.881263 
500.00 1503.15 100.084897 53.108726 40.391438 0.000000 0.000000 0.000000 0.000000 0.000000 12.717287 
500.00 1493.15 100.085470 52.904770 40.351966 0.000000 0.000000 0.000000 0.000000 0.000000 12.552804 
500.00 1483.15 100.086076 52.700425 40.312618 0.000000 0.000000 0.000000 0.000000 0.000000 12.387807 
500.00 1473.15 100.086716 52.495685 40.273397 0.000000 0.000000 0.000000 0.000000 0.000000 12.222288 
500.00 1463.15 100.087392 52.290545 40.234306 0.000000 0.000000 0.000000 0.000000 0.000000 12.056239 
500.00 1453.15 100.088104 52.085001 40.195348 0.000000 0.000000 0.000000 0.000000 0.000000 11.889652 
500.00 1443.15 100.088855 51.879049 40.156527 0.000000 0.000000 0.000000 0.000000 0.000000 11.722521 
500.00 1433.15 100.089644 51.672685 40.117847 0.000000 0.000000 0.000000 0.000000 0.000000 11.554838 
500.00 1423.15 100.089625 51.480900 39.975286 0.093795 0.000000 0.000000 0.000000 0.000000 11.411819 
500.00 1413.15 99.781601 51.216084 39.685023 0.227615 0.000000 0.000000 0.000000 0.000000 11.303445 
500.00 1403.15 99.032650 50.814908 39.404800 0.219087 0.000000 0.000000 0.000000 0.000000 11.191021 
500.00 1393.15 98.309891 50.419839 39.134105 0.210997 0.000000 0.000000 0.000000 0.000000 11.074737 
500.00 1383.15 97.614553 50.322738 37.982910 0.063618 0.000000 0.835117 0.000000 0.004354 11.436739 
500.00 1373.15 94.682585 49.677215 36.396339 0.000000 0.000000 1.231262 0.000000 0.018505 12.031109 
500.00 1363.15 90.602005 48.630516 34.985957 0.000000 0.000000 1.088937 0.000000 0.021275 12.534347 
500.00 1353.15 86.962821 47.679272 33.718150 0.000000 0.000000 0.970350 0.000000 0.028297 12.962476 
500.00 1343.15 83.681082 47.104887 32.025418 0.000000 0.000000 0.896124 0.381573 0.108675 13.693097 
500.00 1333.15 79.267520 46.830258 29.210423 0.086694 0.000000 0.683293 1.358132 0.275456 15.216261 
500.00 1323.15 71.864022 45.379252 26.832774 0.141378 0.000000 0.394722 1.292796 0.210700 16.506881 
500.00 1313.15 65.686683 44.108316 24.870887 0.121480 0.000000 0.267679 1.131176 0.161553 17.555540 
500.00 1303.15 60.650519 43.138876 23.013986 0.000000 0.203169 0.142594 1.101117 0.134322 18.543688 
500.00 1293.15 55.973148 42.210815 21.296793 0.000000 0.250545 0.014467 1.092486 0.106165 19.450359 
500.00 1283.15 51.713373 41.272071 19.832553 0.000000 0.202709 0.000000 0.958970 0.084876 20.192963 
500.00 1273.15 48.113321 40.445170 18.567302 0.000000 0.161495 0.000000 0.844717 0.068886 20.802771 
500.00 1263.15 45.028988 39.705333 17.458211 0.000000 0.130591 0.000000 0.753762 0.056597 21.306172 
500.00 1253.15 42.347153 39.029930 16.474895 0.000000 0.106856 0.000000 0.679235 0.046957 21.721987 
500.00 1243.15 39.988026 38.403558 15.595116 0.000000 0.088317 0.000000 0.616769 0.039266 22.064090 
