Title: Mk

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.152314 49.318 1.26609 15.881 2.45935 0.0209878 9.51094 0.199384 7.22775 11.4846 2.18324 0.30901 0.139579 0
500.00 1513.15 98.152945 49.3177 1.26609 15.8809 2.46575 0.0209877 9.50511 0.199383 7.2277 11.4845 2.18323 0.309008 0.139578 0
500.00 1503.15 98.153614 49.3174 1.26608 15.8808 2.47254 0.0209875 9.49892 0.199381 7.22765 11.4844 2.18321 0.309005 0.139577 0
500.00 1493.15 98.154324 49.317 1.26607 15.8807 2.47974 0.0209874 9.49235 0.19938 7.2276 11.4844 2.18319 0.309003 0.139576 0
500.00 1483.15 94.860750 49.3476 1.31003 15.2827 2.56466 0.021716 9.82299 0.206302 7.47854 11.3272 2.17569 0.318162 0.144422 0
500.00 1473.15 91.190942 49.3692 1.36274 14.5758 2.66501 0.02259 10.2209 0.214605 7.7795 11.1508 2.15982 0.32888 0.150234 0
500.00 1463.15 87.792319 49.3754 1.4155 13.8788 2.76547 0.0234645 10.619 0.222912 8.08066 10.9865 2.13701 0.339308 0.15605 0
500.00 1453.15 77.938200 49.2735 1.57674 13.3748 2.94063 0.0264312 11.5043 0.248894 7.85001 10.4442 2.20711 0.37758 0.17578 0
500.00 1443.15 65.606261 48.9127 1.84725 12.7529 3.20115 0.0313994 12.7287 0.295686 7.25834 10.0068 2.31614 0.440064 0.208822 0
500.00 1433.15 56.601309 48.5196 2.11641 12.1343 3.44624 0.0363949 13.916 0.342728 6.7288 9.6193 2.39752 0.500664 0.242044 0
500.00 1423.15 49.711007 48.0925 2.38597 11.515 3.67952 0.0414395 15.0792 0.390233 6.25144 9.27559 2.45401 0.559435 0.275593 0
500.00 1413.15 44.245924 47.6288 2.65771 10.8916 3.90383 0.046558 16.2298 0.438433 5.81865 8.97126 2.48734 0.616338 0.309633 0
500.00 1403.15 37.195683 48.8872 2.6721 10.8005 3.8694 0.000514894 15.7967 0.521535 5.06094 8.6081 2.69391 0.72078 0.368322 0
500.00 1393.15 29.297373 52.5417 2.30995 11.2155 3.44902 1.51095e-008 13.2163 0.662136 4.01402 8.10514 3.11707 0.901542 0.467619 0
500.00 1383.15 24.180414 55.9525 1.99115 11.3152 3.02404 0 10.9157 0.802255 3.24661 7.66454 3.44486 1.07664 0.566574 0
500.00 1373.15 21.119327 58.3919 1.80045 11.1541 2.72698 0 9.43439 0.918536 2.74413 7.32427 3.63921 1.2173 0.648695 0
500.00 1363.15 18.978618 60.3674 1.66322 10.9016 2.4883 0 8.3185 1.02214 2.37103 7.03983 3.76671 1.33945 0.721865 0
500.00 1353.15 17.364617 62.0529 1.55582 10.6099 2.2851 0 7.41898 1.11715 2.07765 6.79286 3.85183 1.44892 0.788961 0
500.00 1343.15 16.090704 63.5326 1.46761 10.3017 2.10677 0 6.6662 1.20559 1.83897 6.57333 3.90718 1.54865 0.851423 0
500.00 1333.15 15.053182 64.8551 1.39287 9.98863 1.94742 0 6.02116 1.28869 1.64027 6.37492 3.94042 1.64041 0.910107 0
500.00 1323.15 14.188477 66.0518 1.32812 9.67701 1.80338 0 5.45943 1.36723 1.47205 6.1934 3.95666 1.72537 0.965572 0
500.00 1313.15 13.453466 67.1428 1.27186 9.3688 1.67241 0 4.96456 1.44192 1.32615 6.0294 3.95927 1.80452 1.01832 0
500.00 1303.15 12.819203 68.1432 1.22289 9.06542 1.55275 0 4.52462 1.51327 1.19715 5.88265 3.95081 1.87853 1.06871 0
500.00 1293.15 12.266038 69.0656 1.17979 8.76899 1.44282 0 4.13068 1.58151 1.08233 5.75001 3.93355 1.94785 1.11691 0
500.00 1283.15 11.753025 69.9666 1.15481 8.45899 1.33807 0 3.75907 1.60516 0.961301 5.66918 3.90501 2.0162 1.16566 0
