Title: Mr1

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.638743 49.1067 1.12585 15.3703 2.3351 0.0170273 8.97136 0.1958 6.99007 11.4054 2.13422 0.362231 0.12727 1.85865
500.00 1513.15 99.643697 49.1043 1.1258 15.3696 2.34102 0.0170265 8.96548 0.195791 6.98972 11.4048 2.13412 0.362213 0.127264 1.86293
500.00 1503.15 99.648771 49.1018 1.12574 15.3688 2.34732 0.0170256 8.95925 0.195781 6.98937 11.4042 2.13401 0.362194 0.127257 1.86728
500.00 1493.15 99.653967 49.0992 1.12568 15.368 2.35399 0.0170247 8.95267 0.19577 6.989 11.4036 2.1339 0.362175 0.127251 1.87172
500.00 1483.15 99.659288 49.0966 1.12562 15.3672 2.36106 0.0170238 8.94572 0.19576 6.98863 11.403 2.13378 0.362156 0.127244 1.87624
500.00 1473.15 99.664739 49.0939 1.12556 15.3663 2.36853 0.0170229 8.93839 0.195749 6.98825 11.4024 2.13367 0.362136 0.127237 1.88084
500.00 1463.15 99.670322 49.0912 1.1255 15.3655 2.37642 0.0170219 8.93067 0.195738 6.98786 11.4018 2.13355 0.362116 0.12723 1.88553
500.00 1453.15 99.676042 49.0883 1.12543 15.3646 2.38475 0.0170209 8.92255 0.195727 6.98746 11.4011 2.13342 0.362095 0.127223 1.89031
500.00 1443.15 99.681902 49.0855 1.12536 15.3637 2.39351 0.0170199 8.91401 0.195716 6.98704 11.4004 2.1333 0.362074 0.127215 1.89519
500.00 1433.15 99.687906 49.0825 1.1253 15.3627 2.40274 0.0170189 8.90504 0.195704 6.98662 11.3997 2.13317 0.362052 0.127207 1.90016
500.00 1423.15 99.694058 49.0795 1.12523 15.3618 2.41244 0.0170179 8.89562 0.195692 6.98619 11.399 2.13304 0.36203 0.1272 1.90523
500.00 1413.15 99.700363 49.0764 1.12516 15.3608 2.42264 0.0170168 8.88575 0.195679 6.98575 11.3983 2.1329 0.362007 0.127192 1.91039
500.00 1403.15 99.642221 49.0796 1.12581 15.3698 2.43311 0.0170267 8.87215 0.195606 6.96201 11.4047 2.13415 0.362218 0.127266 1.91659
500.00 1393.15 96.042804 49.1029 1.14613 15.7792 2.44574 0.0176648 8.97173 0.201875 6.55983 11.1125 2.20955 0.375793 0.132035 1.94498
500.00 1383.15 91.061502 49.1151 1.16791 16.3558 2.45782 0.0186311 9.15349 0.212853 6.1016 10.5776 2.32248 0.39635 0.139258 1.98116
500.00 1373.15 86.242152 49.2694 1.17297 16.937 2.44458 0.00570922 9.21381 0.224752 5.64573 10.0548 2.44386 0.418498 0.14704 2.02187
500.00 1363.15 78.461431 49.7143 1.22498 16.9015 2.50285 0.00082518 9.51719 0.242986 5.18254 9.43339 2.6057 0.458487 0.161621 2.05369
500.00 1353.15 68.755369 51.0409 1.1895 16.7745 2.43854 7.28849e-007 9.20581 0.271354 4.65752 8.76313 2.84217 0.52062 0.184437 2.11154
500.00 1343.15 59.882979 52.932 1.07581 16.7015 2.25958 0 8.36638 0.305948 4.14805 8.10893 3.11079 0.594697 0.211764 2.18462
500.00 1333.15 53.223084 54.6732 0.979209 16.5533 2.09787 0 7.61939 0.33846 3.71993 7.52696 3.34276 0.665869 0.238262 2.24486
500.00 1323.15 47.034315 56.3183 0.911859 16.208 1.96973 0 6.97165 0.383011 3.25296 7.09453 3.574 0.748883 0.269613 2.29749
500.00 1313.15 42.194534 57.8463 0.855267 15.8036 1.8538 0 6.39562 0.426943 2.85274 6.72536 3.76871 0.829785 0.300538 2.34129
500.00 1303.15 38.357395 59.2653 0.804915 15.3765 1.74579 0 5.87777 0.469653 2.51868 6.39569 3.92942 0.907519 0.330602 2.37809
500.00 1293.15 35.226124 60.5914 0.759823 14.9354 1.64459 0 5.40917 0.5114 2.2362 6.0994 4.06067 0.982596 0.35999 2.40938
500.00 1283.15 32.614012 61.8366 0.719205 14.4867 1.54932 0 4.98284 0.552359 1.99478 5.8316 4.16611 1.05536 0.388822 2.43622
500.00 1273.15 30.397524 63.0104 0.682436 14.0355 1.45934 0 4.59329 0.592636 1.7866 5.58828 4.24882 1.12602 0.417174 2.45945
500.00 1263.15 28.491589 64.1199 0.649004 13.5857 1.37417 0 4.23612 0.63228 1.60573 5.36615 4.31148 1.19469 0.44508 2.47967
500.00 1253.15 26.835216 65.1706 0.618488 13.1405 1.29343 0 3.90778 0.671306 1.44759 5.16244 4.35645 1.26142 0.472552 2.49739
500.00 1243.15 25.383192 66.1673 0.590538 12.7023 1.21684 0 3.60531 0.709708 1.30853 4.97481 4.38583 1.32624 0.499584 2.51301
500.00 1233.15 24.101029 67.1137 0.564857 12.273 1.14417 0 3.32623 0.747464 1.18567 4.80128 4.40152 1.38912 0.526162 2.52685
500.00 1223.15 22.961789 68.0133 0.541194 11.8538 1.07523 0 3.06844 0.784549 1.07663 4.64018 4.40521 1.45006 0.552267 2.53918
500.00 1213.15 21.944011 68.8688 0.519331 11.4458 1.00987 0 2.8301 0.820937 0.979482 4.49007 4.3984 1.50904 0.577882 2.55023
500.00 1203.15 21.030324 69.6831 0.499081 11.0497 0.947932 0 2.60959 0.856604 0.892629 4.34973 4.38246 1.56605 0.602988 2.56018
500.00 1193.15 20.206479 70.4584 0.480279 10.6657 0.889286 0 2.40549 0.891529 0.814729 4.21813 4.35858 1.6211 0.627573 2.56918
500.00 1183.15 19.460665 71.1971 0.46278 10.2941 0.833802 0 2.21652 0.925696 0.744654 4.09437 4.32781 1.67418 0.651624 2.57738
500.00 1173.15 18.783003 71.9012 0.446455 9.93483 0.781354 0 2.04153 0.959093 0.681451 3.9777 4.29111 1.7253 0.675134 2.58489
500.00 1163.15 18.165164 72.5725 0.431192 9.58792 0.731821 0 1.87948 0.991714 0.624307 3.86745 4.24929 1.77448 0.698097 2.5918
500.00 1153.15 17.600084 73.2128 0.416887 9.25314 0.685081 0 1.72942 1.02356 0.572523 3.76306 4.2031 1.82174 0.72051 2.59819
500.00 1143.15 17.081731 73.8238 0.40345 8.93027 0.641016 0 1.59048 1.05462 0.5255 3.66404 4.15317 1.86711 0.742375 2.60414
500.00 1133.15 16.604930 74.4071 0.390797 8.61902 0.599507 0 1.46187 1.0849 0.482718 3.56997 4.10009 1.9106 0.763691 2.60971
500.00 1123.15 16.165222 74.9641 0.378855 8.3191 0.560439 0 1.34286 1.11441 0.443725 3.48047 4.04436 1.95225 0.784465 2.61494
500.00 1113.15 15.758740 75.4962 0.367555 8.03018 0.523698 0 1.23276 1.14315 0.408127 3.39524 3.98643 1.99209 0.804699 2.61989
500.00 1103.15 15.382126 76.0046 0.356836 7.75192 0.489174 0 1.13096 1.17114 0.375579 3.31397 3.9267 2.03015 0.824401 2.62458
500.00 1093.15 15.032443 76.4905 0.346641 7.48399 0.456758 0 1.03687 1.19839 0.345777 3.23641 3.86554 2.06645 0.843578 2.62906
500.00 1083.15 14.674195 77.0056 0.33819 7.20516 0.425683 0 0.947449 1.1833 0.308538 3.1891 3.79832 2.10471 0.864173 2.62974
500.00 1073.15 14.337420 77.5206 0.316768 6.93554 0.391731 0 0.854233 1.16995 0.275584 3.14738 3.73088 2.14174 0.884472 2.63111
500.00 1063.15 14.027113 78.0093 0.296911 6.67768 0.35963 0 0.768034 1.15715 0.245712 3.10864 3.66383 2.1767 0.904038 2.63237
500.00 1053.15 13.740730 78.4728 0.27848 6.43109 0.329372 0 0.688565 1.14492 0.218615 3.07278 3.59736 2.20961 0.92288 2.63355
500.00 1043.15 13.476025 78.912 0.261354 6.19531 0.300925 0 0.615504 1.13328 0.194029 3.03974 3.53165 2.24053 0.941008 2.63466
500.00 1033.15 13.184450 79.3083 0.245631 5.96927 0.273877 0 0.54739 1.12488 0.171047 3.01464 3.47074 2.27661 0.961818 2.63584
500.00 1023.15 11.591672 79.2459 0.237914 5.75983 0.235437 0 0.451136 1.19799 0.131225 3.03497 3.54396 2.53695 0.983242 2.64142
