Title: Mr1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.098657 99.638743 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.459915 
500.00 1513.15 100.099260 99.643697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.455563 
500.00 1503.15 100.099901 99.648771 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.451130 
500.00 1493.15 100.100579 99.653967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.446613 
500.00 1483.15 100.101298 99.659288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.442009 
500.00 1473.15 100.102057 99.664739 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.437318 
500.00 1463.15 100.102858 99.670322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.432536 
500.00 1453.15 100.103703 99.676042 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.427661 
500.00 1443.15 100.104592 99.681902 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.422690 
500.00 1433.15 100.105528 99.687906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.417622 
500.00 1423.15 100.106512 99.694058 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.412454 
500.00 1413.15 100.107546 99.700363 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.407183 
500.00 1403.15 100.108450 99.642221 0.064112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.402117 
500.00 1393.15 100.046066 96.042804 0.330001 0.000000 3.229425 0.000000 0.000000 0.000000 0.000000 0.000000 0.443835 
500.00 1383.15 96.491019 91.061502 0.018510 0.000000 4.903225 0.000000 0.000000 0.000000 0.000000 0.000000 0.507782 
500.00 1373.15 91.580637 86.242152 0.000000 0.000000 4.555132 0.000000 0.000000 0.215209 0.000000 0.000000 0.568144 
500.00 1363.15 86.818588 78.461431 0.754739 0.000000 3.357683 3.310391 0.000000 0.233845 0.000000 0.000000 0.700499 
500.00 1353.15 79.206484 68.755369 0.801671 0.000000 3.225149 4.273055 0.000000 1.291183 0.000000 0.000000 0.860057 
500.00 1343.15 69.673119 59.882979 0.536530 0.000000 2.779515 3.786201 0.000000 1.684258 0.000000 0.000000 1.003635 
500.00 1333.15 60.928118 53.223084 0.407437 0.000000 1.880061 3.095742 0.000000 1.204729 0.000000 0.000000 1.117066 
500.00 1323.15 54.371658 47.034315 0.000000 1.097662 0.782003 3.301006 0.000000 0.925428 0.000000 0.000000 1.231245 
500.00 1313.15 48.289108 42.194534 0.000000 0.905576 0.425359 2.758131 0.000000 0.681551 0.000000 0.000000 1.323957 
500.00 1303.15 43.536990 38.357395 0.000000 0.697901 0.271985 2.290580 0.000000 0.519451 0.000000 0.000000 1.399679 
500.00 1293.15 39.772144 35.226124 0.000000 0.550271 0.180172 1.945109 0.000000 0.407345 0.000000 0.000000 1.463122 
500.00 1283.15 36.701889 32.614012 0.000000 0.440923 0.124273 1.678897 0.000000 0.326484 0.000000 0.000000 1.517301 
500.00 1273.15 34.142182 30.397524 0.000000 0.357357 0.090060 1.466824 0.000000 0.266177 0.000000 0.000000 1.564241 
500.00 1263.15 31.971302 28.491589 0.000000 0.291895 0.069310 1.293177 0.000000 0.219977 0.000000 0.000000 1.605354 
500.00 1253.15 30.105460 26.835216 0.000000 0.239692 0.056966 1.148090 0.000000 0.183825 0.000000 0.000000 1.641671 
500.00 1243.15 28.484609 25.383192 0.000000 0.197512 0.049859 1.025026 0.000000 0.155051 0.000000 0.000000 1.673969 
500.00 1233.15 27.064254 24.101029 0.000000 0.163097 0.045978 0.919467 0.000000 0.131828 0.000000 0.000000 1.702854 
500.00 1223.15 25.810474 22.961789 0.000000 0.134807 0.044039 0.828159 0.000000 0.112871 0.000000 0.000000 1.728810 
500.00 1213.15 24.696783 21.944011 0.000000 0.111416 0.043221 0.748662 0.000000 0.097244 0.000000 0.000000 1.752229 
500.00 1203.15 23.702094 21.030324 0.000000 0.091983 0.043009 0.679084 0.000000 0.084256 0.000000 0.000000 1.773438 
500.00 1193.15 22.809345 20.206479 0.000000 0.075774 0.043081 0.617918 0.000000 0.073382 0.000000 0.000000 1.792710 
500.00 1183.15 22.004547 19.460665 0.000000 0.062206 0.043243 0.563938 0.000000 0.064220 0.000000 0.000000 1.810276 
500.00 1173.15 21.276113 18.783003 0.000000 0.050813 0.043382 0.516130 0.000000 0.056454 0.000000 0.000000 1.826332 
500.00 1163.15 20.614351 18.165164 0.000000 0.041218 0.043438 0.473646 0.000000 0.049837 0.000000 0.000000 1.841047 
500.00 1153.15 20.011097 17.600084 0.000000 0.033118 0.043380 0.435775 0.000000 0.044172 0.000000 0.000000 1.854568 
500.00 1143.15 19.459427 17.081731 0.000000 0.026262 0.043202 0.401911 0.000000 0.039302 0.000000 0.000000 1.867019 
500.00 1133.15 18.953431 16.604930 0.000000 0.020447 0.042905 0.371540 0.000000 0.035097 0.000000 0.000000 1.878512 
500.00 1123.15 18.488044 16.165222 0.000000 0.015506 0.042499 0.344223 0.000000 0.031453 0.000000 0.000000 1.889141 
500.00 1113.15 18.058897 15.758740 0.000000 0.011301 0.041997 0.319584 0.000000 0.028285 0.000000 0.000000 1.898990 
500.00 1103.15 17.662208 15.382126 0.000000 0.007716 0.041411 0.297299 0.000000 0.025521 0.000000 0.000000 1.908135 
500.00 1093.15 17.294688 15.032443 0.000000 0.004658 0.040755 0.277090 0.000000 0.023104 0.000000 0.000000 1.916639 
500.00 1083.15 16.952503 14.674195 0.043799 0.000000 0.019281 0.284030 0.000000 0.000000 0.005240 0.000000 1.925958 
500.00 1073.15 16.603643 14.337420 0.038282 0.000000 0.017668 0.266007 0.000000 0.000000 0.009648 0.000000 1.934618 
500.00 1063.15 16.275573 14.027113 0.033809 0.000000 0.017568 0.245782 0.000000 0.000000 0.008695 0.000000 1.942606 
500.00 1053.15 15.973295 13.740730 0.029881 0.000000 0.017280 0.227554 0.000000 0.000000 0.007867 0.000000 1.949983 
500.00 1043.15 15.694326 13.476025 0.026437 0.000000 0.016838 0.211075 0.000000 0.000000 0.007145 0.000000 1.956805 
500.00 1033.15 15.436463 13.184450 0.024258 0.000000 0.017271 0.208603 0.030871 0.000000 0.006680 0.000000 1.964330 
500.00 1023.15 15.153042 11.591672 0.044422 0.000000 0.042757 0.527760 0.900700 0.000000 0.010323 0.030284 2.005124 
