Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.098657 46.194762 39.678413 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.516349 
500.00 1513.15 100.099260 46.045952 39.638567 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.407386 
500.00 1503.15 100.099901 45.896910 39.598835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.298075 
500.00 1493.15 100.100579 45.747634 39.559221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.188413 
500.00 1483.15 100.101298 45.598125 39.519728 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 6.078397 
500.00 1473.15 100.102057 45.448383 39.480359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.968024 
500.00 1463.15 100.102858 45.298408 39.441116 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.857291 
500.00 1453.15 100.103703 45.148199 39.402003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.746196 
500.00 1443.15 100.104592 44.997759 39.363024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.634735 
500.00 1433.15 100.105528 44.847087 39.324180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.522907 
500.00 1423.15 100.106512 44.696186 39.285476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.410710 
500.00 1413.15 100.107546 44.545057 39.246914 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.298143 
500.00 1403.15 100.108450 44.395773 39.187105 0.019450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 5.189218 
500.00 1393.15 100.046066 44.578950 37.803615 0.099738 0.000000 0.995628 0.000000 0.000000 0.000000 0.000000 0.000000 5.679968 
500.00 1383.15 96.491019 43.847954 35.891364 0.005568 0.000000 1.507363 0.000000 0.000000 0.000000 0.000000 0.000000 6.443659 
500.00 1373.15 91.580637 42.669305 34.076484 0.000000 0.000000 1.396376 0.000000 0.000000 0.048169 0.000000 0.000000 7.148277 
500.00 1363.15 86.818588 42.327805 31.056029 0.224471 0.000000 1.026338 1.231744 0.000000 0.051604 0.000000 0.000000 8.737620 
500.00 1353.15 79.206484 41.169519 27.439631 0.236973 0.000000 0.984251 1.592129 0.000000 0.282229 0.000000 0.000000 10.634305 
500.00 1343.15 69.673119 39.290315 24.205403 0.157867 0.000000 0.847867 1.413155 0.000000 0.365985 0.000000 0.000000 12.300038 
500.00 1333.15 60.928118 37.429588 21.751234 0.119362 0.000000 0.573165 1.157554 0.000000 0.260494 0.000000 0.000000 13.567780 
500.00 1323.15 54.371658 36.233002 19.408372 0.000000 0.331695 0.238158 1.236700 0.000000 0.198949 0.000000 0.000000 14.819128 
500.00 1313.15 48.289108 34.929504 17.557282 0.000000 0.272942 0.129410 1.035341 0.000000 0.145775 0.000000 0.000000 15.788754 
500.00 1303.15 43.536990 33.878476 16.077343 0.000000 0.209821 0.082669 0.861514 0.000000 0.110616 0.000000 0.000000 16.536512 
500.00 1293.15 39.772144 33.022150 14.859931 0.000000 0.165033 0.054713 0.732988 0.000000 0.086407 0.000000 0.000000 17.123078 
500.00 1283.15 36.701889 32.296459 13.836598 0.000000 0.131921 0.037706 0.633852 0.000000 0.069015 0.000000 0.000000 17.587367 
