Title: Nd1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.260452 1.0000000000000000 1.000000 273.662045 -1182577.895144 38.385156 -385.530076 3626.802685 145.770682 -7.007 0.000 2.533804 0.000000 2.184 0.353504 0.000
500.00 1513.15 97.260963 1.0000000000000000 1.000000 272.702816 -1184042.993268 38.349354 -384.434631 3624.100271 145.769881 -7.116 0.000 2.536183 0.000000 2.227 0.352572 0.000
500.00 1503.15 97.261504 1.0000000000000000 1.000000 271.737265 -1185508.566208 38.313606 -383.341916 3621.338593 145.769235 -7.225 0.000 2.538563 0.000000 2.270 0.351631 0.000
500.00 1493.15 97.262079 1.0000000000000000 1.000000 270.765305 -1186974.632673 38.277913 -382.251989 3618.517867 145.768750 -7.336 0.000 2.540945 0.000000 2.313 0.35068 0.000
500.00 1483.15 97.262686 1.0000000000000000 1.000000 269.786848 -1188441.212158 38.242277 -381.164908 3615.638316 145.768431 -7.449 0.000 2.543329 0.000000 2.358 0.349719 0.000
500.00 1473.15 97.263328 1.0000000000000000 1.000000 268.819428 -1189882.300020 38.206699 -380.080735 3612.700173 141.965971 -7.563 0.000 2.545714 0.000000 2.403 0.34875 0.000
500.00 1463.15 97.264005 1.0000000000000000 1.000000 267.853636 -1191311.892392 38.171180 -378.999534 3609.703681 141.956326 -7.679 0.000 2.548101 0.000000 2.448 0.34777 0.000
500.00 1453.15 97.264719 1.0000000000000000 1.000000 266.881319 -1192741.957716 38.135722 -377.921371 3606.649094 141.946231 -7.796 0.000 2.550488 0.000000 2.494 0.346781 0.000
500.00 1443.15 97.265470 1.0000000000000000 1.000000 265.902388 -1194172.512282 38.100326 -376.846317 3603.536677 141.935682 -7.915 0.000 2.552878 0.000000 2.541 0.345782 0.000
500.00 1433.15 97.265108 0.9958100398065294 0.996741 264.795386 -1195758.013481 38.055701 -375.518298 3591.721927 141.710289 -8.035 0.000 2.553474 3.286236 2.605 0.345593 0.000
500.00 1423.15 97.263676 0.9880978735164796 0.990755 263.582678 -1197465.335873 38.003453 -373.981808 3572.523715 141.305656 -8.157 0.000 2.552475 3.294765 2.685 0.34608 0.000
500.00 1413.15 97.263426 0.9626013946372798 0.970568 261.878083 -1199877.153671 37.852220 -370.266130 3533.945145 140.317823 -8.281 0.000 2.548465 3.265107 2.771 0.355419 0.000
500.00 1403.15 97.265859 0.9209404688001992 0.937346 259.739073 -1202930.912459 37.613346 -364.563871 3476.052267 138.800383 -8.407 0.000 2.540680 3.263064 2.869 0.373955 0.000
500.00 1393.15 97.269408 0.8822840788612677 0.906352 257.692358 -1205853.268672 37.392517 -359.209670 3420.126253 137.390489 -8.535 0.000 2.532231 3.269839 2.971 0.392421 0.000
500.00 1383.15 97.270589 0.8214613987386983 0.852642 255.204945 -1209326.491637 37.182159 -349.528704 3332.513994 135.434839 -8.664 0.000 2.520387 3.169612 3.066 0.434424 0.000
500.00 1373.15 97.274606 0.7659664230302999 0.803444 252.861669 -1212624.483103 36.993389 -340.578694 3249.679305 133.662270 -8.795 0.000 2.506856 3.130887 3.170 0.478806 0.000
500.00 1363.15 97.285818 0.7128047703151890 0.756522 250.584745 -1215930.561204 36.820807 -332.038483 3165.564338 131.977996 -8.929 0.000 2.489462 3.116542 3.293 0.52725 0.000
500.00 1353.15 97.306318 0.6608035500353687 0.710910 248.343694 -1219322.856652 36.663425 -323.749354 3078.016984 130.350263 -9.064 0.000 2.466981 3.114053 3.442 0.581367 0.000
500.00 1343.15 97.327807 0.6135448895511673 0.669127 246.227062 -1222541.361448 36.524434 -316.008377 2996.596012 128.892517 -9.201 0.000 2.443380 3.112373 3.598 0.639186 0.000
500.00 1333.15 97.345528 0.5723500562322906 0.632117 244.266422 -1225465.572852 36.402283 -308.928001 2925.603226 127.639422 -9.340 0.000 2.421316 3.108610 3.745 0.698903 0.000
500.00 1323.15 97.359323 0.5364673009269503 0.599324 242.441327 -1228123.223809 36.293518 -302.435460 2864.057344 126.560787 -9.481 0.000 2.401209 3.103386 3.881 0.760018 0.000
500.00 1313.15 97.376626 0.4987695088866244 0.564193 240.636759 -1230794.478169 36.141132 -294.726020 2810.229353 125.600618 -9.625 0.000 2.381909 3.098819 3.973 0.834619 0.000
500.00 1303.15 97.391154 0.4654924837174423 0.532634 238.937262 -1233263.020174 36.000724 -287.576216 2763.674587 124.769637 -9.771 0.000 2.364242 3.093893 4.050 0.911187 0.000
500.00 1293.15 97.402545 0.4366538347109720 0.504841 237.333664 -1235536.836157 35.877792 -281.135255 2722.836444 124.043015 -9.919 0.000 2.348157 3.088698 4.121 0.987513 0.000
