Title: Mk

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.104076 -8.59264e-011 9.72168e-012 3.51365e-011 -6.22842e-011 -3.95835e-015 1.50792e-009 2.36474e-013 0 -1.06021e-010 1.23966e-012 -7.85082e-014 1.19774e-012 100
500.00 1513.15 0.099767 -1.26413e-011 0 -4.87542e-013 0 0 0 0 0 -7.31322e-014 0 0 0 100
500.00 1503.15 0.095376 -6.66623e-012 0 -8.80883e-013 0 0 0 0 0 -4.07993e-013 0 0 0 100
500.00 1493.15 0.090903 1.1466e-012 0 -1.41067e-012 0 0 0 0 0 8.5614e-013 0 0 0 100
500.00 1483.15 0.086345 -2.53498e-012 0 1.48514e-012 0 0 0 0 0 6.19669e-013 0 0 0 100
500.00 1473.15 0.081699 5.61339e-012 0 1.24484e-012 0 0 0 0 0 3.86989e-013 0 0 0 100
500.00 1463.15 0.076965 1.76053e-012 0 9.76706e-013 0 0 0 0 0 9.47991e-014 0 0 0 100
500.00 1453.15 0.072138 -1.01141e-012 0 5.51676e-013 0 0 0 0 0 -3.3714e-013 0 0 0 100
500.00 1443.15 0.067217 -2.48102e-012 0 -6.57846e-014 0 0 0 0 0 -9.40732e-013 0 0 0 100
500.00 1433.15 0.062200 8.211e-012 0 -4.97637e-013 0 0 0 0 0 1.09481e-012 0 0 0 100
500.00 1423.15 0.057084 -1.4242e-011 0 -1.00701e-012 0 0 0 0 0 7.66888e-013 0 0 0 100
500.00 1413.15 0.051866 -1.52729e-011 0 -2.13138e-012 0 0 0 0 0 -4.6891e-014 0 0 0 100
500.00 1403.15 0.274827 32.6433 0 4.02241e-013 0 0 13.7467 0.236384 35.6954 0.351675 0 0 0 17.3265
500.00 1393.15 2.086474 43.926 0.413265 2.85987 1.46448 0 9.9177 0.124249 26.2509 12.025 0.076742 0 0 2.94177
500.00 1383.15 7.617602 46.3312 0.825775 4.94937 3.06748 0.137699 6.95098 0.0390936 17.7777 18.0713 0.127111 0 0 1.72221
500.00 1373.15 12.906923 45.8875 1.05424 5.59636 3.8451 0.131302 6.95611 0.0268664 16.1523 18.6864 0.142732 0 0 1.5211
500.00 1363.15 24.149406 44.2906 1.06499 11.5156 4.10617 0.0830024 6.91773 0.0370688 12.9752 16.9092 0.491949 0.00676306 0 1.60186
500.00 1353.15 35.552832 42.9511 1.26409 13.3286 5.23154 0.0576808 7.57177 0.0420646 11.4841 15.76 0.684104 0.0106731 0 1.61422
500.00 1343.15 45.252576 42.5181 1.36194 14.1582 5.75578 0.0454404 7.97539 0.0474261 10.6147 15.0137 0.856541 0.0144151 0 1.6384
500.00 1333.15 53.219042 42.5917 1.39342 14.654 5.89067 0.0386659 8.18554 0.0529849 10.0142 14.4609 1.02869 0.0186124 0 1.67064
500.00 1323.15 63.627875 43.875 1.3885 15.0613 5.95932 0.0323539 7.88031 0.00421078 9.22155 13.6033 1.22145 0.0262712 0 1.72647
500.00 1313.15 69.664471 44.3375 1.36881 15.3182 5.77168 0.0295536 7.939 0 8.87814 13.1674 1.39572 0.0337094 0 1.76034
500.00 1303.15 74.407759 44.7433 1.34945 15.4795 5.56614 0.0276714 8.00453 0 8.61101 12.8381 1.54988 0.0417508 0 1.78863
500.00 1293.15 78.242691 45.1187 1.33215 15.5793 5.36531 0.0263161 8.06314 0 8.39329 12.5778 1.68146 0.0502909 0 1.81225
500.00 1283.15 81.337954 45.4541 1.31742 15.64 5.1733 0.0253153 8.12056 0 8.21682 12.3714 1.79026 0.0590649 0 1.83162
500.00 1273.15 83.835603 45.7478 1.30528 15.6763 4.99206 0.0245615 8.17903 0 8.07408 12.2076 1.87811 0.0678335 0 1.8473
500.00 1263.15 85.857214 46.0023 1.29545 15.6975 4.82217 0.0239835 8.23895 0 7.95829 12.077 1.94795 0.0764218 0 1.85994
500.00 1253.15 87.504338 46.2226 1.28756 15.7093 4.66343 0.0235322 8.29987 0 7.86371 11.9722 2.00301 0.0847277 0 1.87013
500.00 1243.15 88.904145 46.4068 1.28103 15.7113 4.50947 0.0231619 8.36186 0 7.78312 11.8953 2.0462 0.0929544 0.0101519 1.87857
500.00 1233.15 90.088773 46.5638 1.27571 15.7082 4.36266 0.0228574 8.42422 0 7.71462 11.8373 2.07981 0.101015 0.0243127 1.88553
500.00 1223.15 91.077824 46.7026 1.27148 15.704 4.22601 0.0226093 8.48589 0 7.65708 11.7888 2.10596 0.108758 0.0356369 1.89122
500.00 1213.15 92.001358 46.8219 1.26774 15.7005 4.0603 0.0223824 8.57488 0.0162124 7.60337 11.7447 2.1268 0.116503 0.0472446 1.89745
500.00 1203.15 92.830304 46.9315 1.26465 15.6964 3.89162 0.0221826 8.66947 0.0362729 7.55463 11.7053 2.14271 0.124223 0.0578286 1.9033
500.00 1193.15 93.558070 47.0343 1.26216 15.6915 3.73167 0.0220101 8.76036 0.0547264 7.51124 11.6702 2.15459 0.13188 0.0669332 1.90841
500.00 1183.15 94.201837 47.1312 1.26014 15.6861 3.57982 0.0218597 8.84766 0.0715471 7.47233 11.6388 2.16329 0.139511 0.0748179 1.91289
500.00 1173.15 94.775705 47.2231 1.25848 15.6805 3.43539 0.0217274 8.93158 0.086787 7.4372 11.6101 2.16949 0.147155 0.0816918 1.91685
500.00 1163.15 95.291294 47.3105 1.2571 15.6747 3.29766 0.0216098 9.01239 0.10054 7.40524 11.5836 2.17371 0.154848 0.0877253 1.92036
500.00 1153.15 95.921031 47.4311 1.25655 15.6641 3.14059 0.021468 9.09564 0.117336 7.36494 11.5481 2.1751 0.165766 0.0949449 1.92448
500.00 1143.15 96.632864 47.5789 1.25597 15.6496 2.96643 0.02131 9.18326 0.135258 7.31849 11.505 2.17375 0.180355 0.102833 1.92892
500.00 1133.15 97.285895 47.7209 1.25473 15.6358 2.79766 0.0211671 9.27053 0.150294 7.27553 11.4637 2.17096 0.196187 0.109783 1.93281
500.00 1123.15 97.889514 47.8573 1.25299 15.6228 2.63439 0.0210367 9.35665 0.162836 7.23552 11.4239 2.16699 0.213393 0.115977 1.9362
500.00 1113.15 98.452033 47.9884 1.25083 15.6108 2.47667 0.0209167 9.44099 0.173237 7.19802 11.3852 2.16207 0.232094 0.121571 1.93914
500.00 1103.15 98.980981 48.1148 1.24835 15.5997 2.32434 0.0208052 9.52311 0.181814 7.16258 11.3474 2.15636 0.252402 0.126699 1.94168
500.00 1093.15 99.483303 48.2368 1.24559 15.5895 2.17711 0.0207005 9.60274 0.188847 7.1288 11.3101 2.15001 0.274418 0.131481 1.94387
500.00 1083.15 100.058893 48.3783 1.24197 15.5785 2.00615 0.020582 9.69533 0.195586 7.09001 11.2658 2.14167 0.303159 0.136911 1.94609
500.00 1073.15 100.058992 48.3783 1.24197 15.5784 2.00713 0.0205819 9.69443 0.195586 7.09 11.2658 2.14167 0.303159 0.13691 1.94608
500.00 1063.15 100.059086 48.3782 1.24197 15.5784 2.00807 0.0205819 9.69358 0.195586 7.08999 11.2658 2.14167 0.303158 0.13691 1.94608
500.00 1053.15 100.059175 48.3782 1.24197 15.5784 2.00896 0.0205819 9.69277 0.195586 7.08999 11.2657 2.14167 0.303158 0.13691 1.94608
500.00 1043.15 100.041314 48.3868 1.24219 15.5812 1.83107 0.0205856 9.85489 0.195621 7.09125 11.2678 2.14205 0.303212 0.136935 1.94643
500.00 1033.15 100.033755 48.3905 1.24229 15.5824 1.75374 0.0205871 9.92534 0.195636 7.09179 11.2686 2.14221 0.303235 0.136945 1.94678
