Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.093345 100.093345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 100.093895 100.093895 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 100.094479 100.094479 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 100.095098 100.095098 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 100.095753 100.095753 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 100.096445 100.096445 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 100.097175 100.097175 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 100.097945 100.097945 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 100.098755 100.098755 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.099607 100.099607 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.100503 100.100503 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.101383 100.080689 0.020694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 100.100014 99.318675 0.781338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 100.098536 98.571610 1.526926 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 100.097820 96.799248 2.026333 0.000000 1.272239 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 100.100513 93.015829 2.047027 0.000000 4.994929 0.000000 0.000000 0.000000 0.042728 0.000000 0.000000 0.000000 
500.00 1363.15 100.106849 89.360268 2.063784 0.000000 8.501395 0.000000 0.000000 0.000000 0.181402 0.000000 0.000000 0.000000 
500.00 1353.15 100.122174 85.202931 1.971394 0.000000 12.337315 0.000000 0.000000 0.000000 0.562201 0.000000 0.000000 0.048333 
500.00 1343.15 100.154328 80.729054 1.691194 0.000000 16.190733 0.000000 0.000000 0.000000 1.439041 0.000000 0.000000 0.104305 
500.00 1333.15 100.189605 72.268204 2.226533 0.000000 18.409367 4.368266 0.000000 0.000000 2.658754 0.000000 0.000000 0.258483 
500.00 1323.15 100.215893 65.053595 2.634641 0.000000 20.071083 8.414760 0.000000 0.000000 3.644829 0.000000 0.000000 0.396984 
500.00 1313.15 100.244060 57.158465 1.205006 2.870663 21.078700 12.773570 0.000000 0.000000 4.599797 0.000000 0.000000 0.557860 
500.00 1303.15 100.262237 50.122337 0.000000 5.914858 21.179022 17.053751 0.000000 0.000000 5.284316 0.000000 0.000000 0.707954 
