Title: Nd2

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.093345 1.0000000000000000 1.000000 288.192001 -1209571.108790 40.640731 -541.701935 4834.331280 150.570449 -7.007 0.000 2.462883 0.000000 1.932 0.954525 0.000
500.00 1513.15 100.093895 1.0000000000000000 1.000000 287.201271 -1211084.748612 40.592901 -539.518009 4829.154612 150.566837 -7.116 0.000 2.465798 0.000000 1.972 0.951135 0.000
500.00 1503.15 100.094479 1.0000000000000000 1.000000 286.204032 -1212598.871919 40.545153 -537.338437 4823.860790 150.563389 -7.225 0.000 2.468716 0.000000 2.013 0.947713 0.000
500.00 1493.15 100.095098 1.0000000000000000 1.000000 285.200195 -1214113.498856 40.497487 -535.163280 4818.450049 150.560111 -7.336 0.000 2.471637 0.000000 2.054 0.944259 0.000
500.00 1483.15 100.095753 1.0000000000000000 1.000000 284.189670 -1215628.650422 40.449907 -532.992601 4812.922630 150.557006 -7.449 0.000 2.474561 0.000000 2.096 0.940774 0.000
500.00 1473.15 100.096445 1.0000000000000000 1.000000 283.190637 -1217117.366316 40.402413 -530.826467 4807.278785 146.611917 -7.563 0.000 2.477487 0.000000 2.139 0.937257 0.000
500.00 1463.15 100.097175 1.0000000000000000 1.000000 282.193341 -1218594.158094 40.355009 -528.664947 4801.518778 146.599136 -7.679 0.000 2.480415 0.000000 2.182 0.933708 0.000
500.00 1453.15 100.097945 1.0000000000000000 1.000000 281.189329 -1220071.435255 40.307695 -526.508113 4795.642883 146.585891 -7.796 0.000 2.483346 0.000000 2.226 0.930126 0.000
500.00 1443.15 100.098755 1.0000000000000000 1.000000 280.178510 -1221549.215617 40.260475 -524.356040 4789.651387 146.572178 -7.915 0.000 2.486279 0.000000 2.270 0.926512 0.000
500.00 1433.15 100.099607 1.0000000000000000 1.000000 279.160792 -1223027.517954 40.213350 -522.208807 4783.544590 146.557992 -8.035 0.000 2.489213 0.000000 2.315 0.922866 0.000
500.00 1423.15 100.100503 1.0000000000000000 1.000000 278.136080 -1224506.362045 40.166322 -520.066496 4777.322805 146.543327 -8.157 0.000 2.492150 0.000000 2.361 0.919187 0.000
500.00 1413.15 100.101383 0.9997932683817908 0.999844 277.098133 -1225993.397812 40.118927 -517.916374 4770.545436 146.517322 -8.281 0.000 2.494990 3.300628 2.408 0.915564 0.000
500.00 1403.15 100.100014 0.9921944248675355 0.994106 275.835454 -1227748.019363 40.055020 -515.315045 4747.848445 146.103752 -8.407 0.000 2.494257 3.309761 2.481 0.915063 0.000
500.00 1393.15 100.098536 0.9847457661700351 0.988497 274.573928 -1229486.583080 39.991694 -512.731598 4725.282692 145.699816 -8.535 0.000 2.493485 3.319194 2.556 0.914443 0.000
500.00 1383.15 100.097820 0.9670465187205810 0.974913 273.015715 -1231636.385693 39.869749 -508.870656 4690.917494 144.949420 -8.664 0.000 2.490363 3.297841 2.632 0.925519 0.000
500.00 1373.15 100.100513 0.9292242980004303 0.945608 270.887945 -1234614.729557 39.636092 -502.517782 4631.658956 143.513224 -8.795 0.000 2.481733 3.286178 2.712 0.960749 0.000
500.00 1363.15 100.106849 0.8926488930283106 0.917299 268.805557 -1237571.679951 39.416156 -496.371872 4570.517587 142.122850 -8.929 0.000 2.471491 3.296761 2.801 0.995995 0.000
500.00 1353.15 100.122174 0.8509896179555168 0.872123 266.621570 -1240798.342157 39.705916 -1683.579812 4961.798667 140.581398 -9.064 0.000 2.460490 2.938318 2.932 0.999941 0.000
