Title: Mr2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.109474 98.109474 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.110082 98.110082 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.110728 98.110728 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.111412 98.111412 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.111158 94.291080 0.000000 0.000000 0.000000 3.820078 0.000000 0.000000 0.000000 
500.00 1473.15 98.110873 90.644878 0.000000 0.000000 0.000000 7.465995 0.000000 0.000000 0.000000 
500.00 1463.15 98.110219 86.949324 0.119172 0.000000 0.000000 11.041723 0.000000 0.000000 0.000000 
500.00 1453.15 98.104249 72.639227 0.000000 4.199485 3.499829 17.765708 0.000000 0.000000 0.000000 
500.00 1443.15 98.097646 60.049703 0.000000 7.115878 7.270717 23.661349 0.000000 0.000000 0.000000 
500.00 1433.15 98.091758 50.204287 0.000000 9.278562 10.312038 28.296871 0.000000 0.000000 0.000000 
500.00 1423.15 98.086308 42.169552 0.000000 10.955962 12.875251 32.085543 0.000000 0.000000 0.000000 
500.00 1413.15 98.081024 35.387095 0.000000 12.296553 15.115766 35.281611 0.000000 0.000000 0.000000 
500.00 1403.15 98.075550 29.499580 0.000000 13.380307 17.137204 38.058459 0.000000 0.000000 0.000000 
500.00 1393.15 98.180705 19.439084 0.000000 18.338217 17.746389 39.171507 3.485508 0.000000 0.000000 
500.00 1383.15 98.197043 15.049745 0.000000 19.673120 18.495196 40.642634 4.336349 0.000000 0.000000 
500.00 1373.15 98.197950 12.355069 0.000000 20.275793 19.125653 41.753537 4.687899 0.000000 0.000000 
500.00 1363.15 98.193631 10.496148 0.000000 20.586430 19.656071 42.606906 4.848076 0.000000 0.000000 
500.00 1353.15 98.187280 9.125206 0.000000 20.753323 20.107984 43.282501 4.918266 0.000000 0.000000 
500.00 1343.15 98.180162 8.067333 0.000000 20.841118 20.498227 43.832107 4.941379 0.000000 0.000000 
500.00 1333.15 98.169710 7.079277 0.141948 20.901999 20.759774 44.353422 4.907307 0.000000 0.025982 
500.00 1323.15 98.157288 6.185875 0.347387 20.923767 20.971444 44.837376 4.831889 0.000000 0.059551 
500.00 1313.15 98.145513 5.445088 0.505649 20.907959 21.200922 45.250983 4.747933 0.000000 0.086979 
500.00 1303.15 98.134421 4.819453 0.629198 20.869194 21.437285 45.608994 4.660456 0.000000 0.109841 
500.00 1293.15 98.123988 4.282677 0.726623 20.816486 21.674590 45.922387 4.572014 0.000000 0.129211 
500.00 1283.15 98.114170 3.815764 0.804024 20.755563 21.909711 46.199418 4.483840 0.000000 0.145851 
500.00 1273.15 98.104912 3.404655 0.865837 20.690157 22.141155 46.446360 4.396429 0.000000 0.160319 
500.00 1263.15 98.091620 2.673697 0.933078 20.573378 22.693084 46.847828 3.942268 0.241671 0.186615 
500.00 1253.15 98.076850 1.868251 0.988363 20.432966 23.355000 47.293189 3.371063 0.553143 0.214875 
500.00 1243.15 98.062767 1.151231 1.027358 20.295969 23.964995 47.703404 2.860678 0.819767 0.239364 
500.00 1233.15 98.049346 0.505328 1.054526 20.164502 24.524187 48.086293 2.404775 1.048663 0.261073 
500.00 1223.15 98.038309 0.000000 1.072812 20.060567 24.952220 48.398715 2.055735 1.220297 0.277962 
500.00 1213.15 98.037846 0.000000 1.088069 20.082440 24.874283 48.417022 2.066251 1.231819 0.277962 
500.00 1203.15 98.037412 0.000000 1.103311 20.101435 24.798613 48.435886 2.076501 1.243704 0.277962 
500.00 1193.15 98.037006 0.000000 1.118521 20.117704 24.725072 48.455313 2.086520 1.255914 0.277962 
500.00 1183.15 98.036628 0.000000 1.133677 20.131387 24.653541 48.475304 2.096347 1.268410 0.277962 
500.00 1173.15 98.036278 0.000000 1.148757 20.142609 24.583917 48.495859 2.106020 1.281154 0.277962 
