Title: Mr2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.109474 36.292431 36.292431 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.110082 36.269338 36.269338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.110728 36.246275 36.246275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.111412 36.223244 36.223244 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.111158 36.137461 34.706862 0.000000 0.000000 0.000000 1.430599 0.000000 0.000000 0.000000 
500.00 1473.15 98.110873 36.053533 33.255256 0.000000 0.000000 0.000000 2.798276 0.000000 0.000000 0.000000 
500.00 1463.15 98.110219 35.966943 31.788714 0.036271 0.000000 0.000000 4.141959 0.000000 0.000000 0.000000 
500.00 1453.15 98.104249 35.441911 26.391803 0.000000 1.297684 1.077923 6.674500 0.000000 0.000000 0.000000 
500.00 1443.15 98.097646 34.980263 21.655914 0.000000 2.191763 2.229876 8.902711 0.000000 0.000000 0.000000 
500.00 1433.15 98.091758 34.614811 17.955016 0.000000 2.848848 3.149570 10.661376 0.000000 0.000000 0.000000 
500.00 1423.15 98.086308 34.312845 14.939059 0.000000 3.353440 3.916468 12.103877 0.000000 0.000000 0.000000 
500.00 1413.15 98.081024 34.055016 12.398455 0.000000 3.752376 4.579602 13.324584 0.000000 0.000000 0.000000 
500.00 1403.15 98.075550 33.829223 10.198577 0.000000 4.071138 5.171659 14.387849 0.000000 0.000000 0.000000 
500.00 1393.15 98.180705 33.554479 7.091402 0.000000 5.566492 5.335840 14.811654 0.749092 0.000000 0.000000 
500.00 1383.15 98.197043 33.414927 5.600199 0.000000 5.964292 5.548699 15.372541 0.929195 0.000000 0.000000 
500.00 1373.15 98.197950 33.320074 4.653846 0.000000 6.141328 5.727623 15.794920 1.002358 0.000000 0.000000 
500.00 1363.15 98.193631 33.248464 3.987330 0.000000 6.230761 5.877399 16.118155 1.034818 0.000000 0.000000 
500.00 1353.15 98.187280 33.191020 3.488283 0.000000 6.277323 6.004226 16.372916 1.048272 0.000000 0.000000 
500.00 1343.15 98.180162 33.143002 3.098543 0.000000 6.300446 6.113008 16.579148 1.051856 0.000000 0.000000 
500.00 1333.15 98.169710 33.098599 2.736923 0.038732 6.314990 6.182600 16.773698 1.043480 0.000000 0.008177 
500.00 1323.15 98.157288 33.057394 2.409756 0.094356 6.317554 6.236977 16.953461 1.026549 0.000000 0.018742 
500.00 1313.15 98.145513 33.020117 2.135396 0.136778 6.309168 6.297063 17.106378 1.007961 0.000000 0.027374 
500.00 1303.15 98.134421 32.985943 1.901327 0.169560 6.294160 6.359485 17.238100 0.988742 0.000000 0.034569 
500.00 1293.15 98.123988 32.954250 1.698636 0.195140 6.275183 6.422386 17.352832 0.969406 0.000000 0.040665 
500.00 1283.15 98.114170 32.924500 1.520807 0.215233 6.253910 6.484777 17.453675 0.950196 0.000000 0.045902 
500.00 1273.15 98.104912 32.896365 1.362969 0.231082 6.231419 6.546165 17.543072 0.931202 0.000000 0.050455 
500.00 1263.15 98.091620 32.849499 1.076147 0.248077 6.191944 6.697563 17.691225 0.833396 0.052416 0.058731 
500.00 1253.15 98.076850 32.796929 0.755997 0.261750 6.145122 6.879359 17.856336 0.710909 0.119830 0.067625 
500.00 1243.15 98.062767 32.748106 0.468043 0.271112 6.099907 7.046035 18.008358 0.601912 0.177407 0.075332 
500.00 1233.15 98.049346 32.702558 0.206293 0.277376 6.056893 7.197977 18.150210 0.504910 0.226734 0.082164 
500.00 1223.15 98.038309 32.664530 0.000000 0.281427 6.023115 7.312796 18.265276 0.430795 0.263642 0.087480 
500.00 1213.15 98.037846 32.654838 0.000000 0.285234 6.030080 7.285967 18.267617 0.432422 0.266039 0.087480 
500.00 1203.15 98.037412 32.645218 0.000000 0.289028 6.036214 7.259828 18.270173 0.433984 0.268512 0.087480 
500.00 1193.15 98.037006 32.635670 0.000000 0.292803 6.041564 7.234338 18.272946 0.435489 0.271051 0.087480 
500.00 1183.15 98.036628 32.626195 0.000000 0.296553 6.046172 7.209459 18.275935 0.436947 0.273650 0.087480 
500.00 1173.15 98.036278 32.616793 0.000000 0.300272 6.050077 7.185160 18.279140 0.438365 0.276299 0.087480 
