Title: Mr2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.127434 37.772763 37.772763 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.128034 37.736464 37.736464 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.128671 37.700223 37.700223 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.129346 37.664043 37.664043 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.130061 37.627924 37.627924 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.130816 37.591867 37.591867 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.131613 37.555875 37.555875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.132453 37.519949 37.519949 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.133337 37.484090 37.484090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.134267 37.448301 37.448301 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.135245 37.412582 37.412582 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.133962 37.140298 34.812443 0.209495 0.000000 1.087374 1.030986 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 91.149965 34.547924 32.121589 0.264950 0.000000 1.003397 1.157988 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 83.907757 31.890411 29.785280 0.219032 0.000000 0.879961 0.974178 0.000000 0.031961 0.000000 0.000000 0.000000 
500.00 1383.15 77.560336 29.588002 27.795982 0.192796 0.000000 0.731937 0.845040 0.000000 0.022246 0.000000 0.000000 0.000000 
500.00 1373.15 72.166225 27.620891 26.019167 0.165241 0.000000 0.652471 0.740041 0.000000 0.043971 0.000000 0.000000 0.000000 
500.00 1363.15 67.334603 25.835140 23.951149 0.090928 0.000000 0.841030 0.674623 0.000000 0.277410 0.000000 0.000000 0.000000 
500.00 1353.15 61.245129 23.789089 22.021510 0.045696 0.000000 0.769480 0.625200 0.000000 0.327204 0.000000 0.000000 0.000000 
500.00 1343.15 55.427797 21.893594 20.491808 0.038764 0.000000 0.561783 0.563924 0.000000 0.237316 0.000000 0.000000 0.000000 
500.00 1333.15 50.879153 20.377799 19.126081 0.000000 0.154703 0.322654 0.597104 0.000000 0.177257 0.000000 0.000000 0.000000 
500.00 1323.15 46.915717 19.101804 17.920844 0.000000 0.150821 0.227662 0.578168 0.000000 0.139353 0.000000 0.000000 0.084956 
500.00 1313.15 43.498556 18.766255 16.227547 0.000000 0.248845 0.125822 0.939975 0.000000 0.134125 0.000000 0.000000 1.089942 
500.00 1303.15 39.143941 17.923199 14.876006 0.000000 0.191105 0.081675 0.780680 0.000000 0.101692 0.000000 0.000000 1.892041 
500.00 1293.15 35.699095 17.260892 13.765761 0.000000 0.150253 0.054991 0.663263 0.000000 0.079393 0.000000 0.000000 2.547231 
500.00 1283.15 32.893255 16.720006 12.833482 0.000000 0.120138 0.038518 0.573033 0.000000 0.063396 0.000000 0.000000 3.091438 
500.00 1273.15 30.556125 16.264440 12.037215 0.000000 0.097228 0.028237 0.501349 0.000000 0.051525 0.000000 0.000000 3.548886 
500.00 1263.15 28.575124 15.871041 11.348054 0.000000 0.079352 0.021828 0.442792 0.000000 0.042471 0.000000 0.000000 3.936544 
500.00 1253.15 26.872836 15.524441 10.745272 0.000000 0.065145 0.017863 0.393946 0.000000 0.035415 0.000000 0.000000 4.266799 
500.00 1243.15 25.393899 15.214018 10.213505 0.000000 0.053696 0.015447 0.352550 0.000000 0.029818 0.000000 0.000000 4.549002 
500.00 1233.15 24.097400 14.932184 9.741024 0.000000 0.044372 0.014007 0.317045 0.000000 0.025314 0.000000 0.000000 4.790423 
500.00 1223.15 22.952248 14.673357 9.318658 0.000000 0.036719 0.013173 0.286314 0.000000 0.021646 0.000000 0.000000 4.996848 
500.00 1213.15 21.934242 14.433321 8.939088 0.000000 0.030396 0.012708 0.259528 0.000000 0.018628 0.000000 0.000000 5.172974 
500.00 1203.15 21.024172 14.208818 8.596371 0.000000 0.025146 0.012457 0.236046 0.000000 0.016124 0.000000 0.000000 5.322673 
500.00 1193.15 20.206531 13.997284 8.285621 0.000000 0.020769 0.012324 0.215365 0.000000 0.014031 0.000000 0.000000 5.449174 
500.00 1183.15 19.468635 13.796663 8.002768 0.000000 0.017105 0.012247 0.197076 0.000000 0.012269 0.000000 0.000000 5.555198 
500.00 1173.15 18.799990 13.605288 7.744398 0.000000 0.014029 0.012188 0.180843 0.000000 0.010777 0.000000 0.000000 5.643052 
500.00 1163.15 18.191832 13.421786 7.507619 0.000000 0.011439 0.012126 0.166386 0.000000 0.009507 0.000000 0.000000 5.714709 
500.00 1153.15 17.636779 13.245015 7.289965 0.000000 0.009252 0.012049 0.153469 0.000000 0.008421 0.000000 0.000000 5.771859 
500.00 1143.15 17.128575 13.074019 7.089325 0.000000 0.007401 0.011951 0.141894 0.000000 0.007487 0.000000 0.000000 5.815960 
500.00 1133.15 16.661882 12.907987 6.903878 0.000000 0.005832 0.011830 0.131491 0.000000 0.006681 0.000000 0.000000 5.848275 
500.00 1123.15 16.232120 12.746227 6.732047 0.000000 0.004499 0.011687 0.122114 0.000000 0.005984 0.000000 0.000000 5.869897 
500.00 1113.15 15.835340 12.588145 6.572461 0.000000 0.003364 0.011523 0.113639 0.000000 0.005377 0.000000 0.000000 5.881781 
500.00 1103.15 15.468050 12.433248 6.423147 0.000000 0.002881 0.011040 0.106502 0.000000 0.004256 0.000528 0.000000 5.884893 
500.00 1093.15 15.126454 12.280642 6.281663 0.000000 0.003513 0.009919 0.101017 0.000000 0.002115 0.002248 0.000000 5.880168 
500.00 1083.15 14.802607 12.135445 6.141360 0.007991 0.000000 0.006990 0.100089 0.000000 0.000000 0.002437 0.000000 5.876577 
500.00 1073.15 14.480096 11.987187 6.007727 0.009227 0.000000 0.004687 0.095751 0.000000 0.000000 0.001992 0.000000 5.867803 
500.00 1063.15 14.173736 11.838094 5.882872 0.008196 0.000000 0.004598 0.088728 0.000000 0.000000 0.001800 0.000960 5.850940 
500.00 1053.15 13.888955 11.690317 5.767512 0.007185 0.000000 0.004578 0.082339 0.000000 0.000000 0.001629 0.000843 5.826232 
500.00 1043.15 13.626019 11.544337 5.660714 0.006310 0.000000 0.004506 0.076569 0.000000 0.000000 0.001480 0.000470 5.794288 
500.00 1033.15 13.383326 11.537313 5.144379 0.010340 0.000000 0.009196 0.166727 0.236278 0.000000 0.002060 0.007739 5.960594 
