Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.213805 37.172677 37.172677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.214359 37.150129 37.150129 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.214947 37.127609 37.127609 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.215570 37.105117 37.105117 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.216230 37.082654 37.082654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.216926 37.060221 37.060221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.217662 37.037819 37.037819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.218026 36.980594 36.215989 0.000000 0.000000 0.000000 0.764604 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.215409 36.655652 32.685858 0.000000 0.801971 0.517704 2.650118 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.210671 36.232224 28.275774 0.000000 1.583470 1.587405 4.785576 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.208511 35.879700 24.632911 0.000000 2.208211 2.468741 6.555957 0.000000 0.000000 0.013879 0.000000 0.000000 
500.00 1413.15 98.209016 35.575995 21.510143 0.000000 2.737915 3.212585 8.074945 0.000000 0.000000 0.040407 0.000000 0.000000 
500.00 1403.15 98.223408 35.293117 18.500108 0.000000 3.314581 3.819185 9.501172 0.000000 0.000000 0.158071 0.000000 0.000000 
500.00 1393.15 98.263534 35.024722 15.326294 0.000000 4.034648 4.185806 11.013386 0.000000 0.000000 0.464588 0.000000 0.000000 
500.00 1383.15 98.286620 34.823772 12.943423 0.000000 4.519277 4.419319 12.269528 0.000000 0.000000 0.672225 0.000000 0.000000 
500.00 1373.15 98.295635 34.671553 11.201173 0.000000 4.830099 4.594125 13.256969 0.000000 0.000000 0.789187 0.000000 0.000000 
500.00 1363.15 98.297180 34.551158 9.879909 0.000000 5.040184 4.734828 14.040660 0.000000 0.000000 0.855577 0.000000 0.000000 
500.00 1353.15 98.294668 34.452880 8.848056 0.000000 5.187018 4.853604 14.671403 0.000000 0.000000 0.892798 0.000000 0.000000 
500.00 1343.15 98.289912 34.370643 8.022644 0.000000 5.291677 4.957130 15.186663 0.000000 0.000000 0.912530 0.000000 0.000000 
500.00 1333.15 98.283924 34.300382 7.348543 0.000000 5.367078 5.049322 15.613975 0.000000 0.000000 0.921464 0.000000 0.000000 
500.00 1323.15 98.277284 34.239258 6.787800 0.000000 5.421606 5.132650 15.973619 0.000000 0.000000 0.923583 0.000000 0.000000 
500.00 1313.15 98.270331 34.185231 6.313605 0.000000 5.460918 5.208799 16.280591 0.000000 0.000000 0.921319 0.000000 0.000000 
500.00 1303.15 98.263267 34.136805 5.906621 0.000000 5.488938 5.278999 16.546057 0.000000 0.000000 0.916190 0.000000 0.000000 
500.00 1293.15 98.256210 34.092859 5.552647 0.000000 5.508452 5.344205 16.778398 0.000000 0.000000 0.909157 0.000000 0.000000 
500.00 1283.15 98.249227 34.052466 5.241065 0.000000 5.521474 5.405186 16.983908 0.000000 0.000000 0.900833 0.000000 0.000000 
500.00 1273.15 98.242357 34.015018 4.963817 0.000000 5.529487 5.462587 17.167519 0.000000 0.000000 0.891609 0.000000 0.000000 
500.00 1263.15 98.235619 33.980021 4.714757 0.000000 5.533599 5.516949 17.332981 0.000000 0.000000 0.881734 0.000000 0.000000 
500.00 1253.15 98.226380 33.946852 4.471683 0.038802 5.534794 5.538887 17.499038 0.000000 0.000000 0.863648 0.000000 0.000000 
500.00 1243.15 98.216770 33.910739 4.187732 0.059280 5.523386 5.593521 17.557105 0.146014 0.000000 0.843702 0.000000 0.000000 
500.00 1233.15 98.206005 33.872579 3.870646 0.076483 5.501969 5.665981 17.519477 0.418466 0.000000 0.819558 0.000000 0.000000 
500.00 1223.15 98.182453 33.790783 3.223132 0.093574 5.434055 5.946927 17.508865 0.843983 0.000000 0.641440 0.093385 0.005423 
500.00 1213.15 98.156032 33.705414 2.578960 0.109337 5.362688 6.250187 17.504284 1.238215 0.000000 0.454143 0.185522 0.022079 
500.00 1203.15 98.130951 33.628989 2.035231 0.121092 5.298920 6.523542 17.502240 1.560523 0.000000 0.289905 0.261639 0.035897 
500.00 1193.15 98.110521 33.568609 1.627547 0.128374 5.249631 6.728583 17.500419 1.803134 0.000000 0.169015 0.315813 0.046094 
500.00 1183.15 98.096823 33.527674 1.365521 0.131494 5.217755 6.845578 17.497161 1.970121 0.000000 0.100659 0.346882 0.052503 
500.00 1173.15 98.087858 33.499603 1.197273 0.132220 5.197311 6.904194 17.492636 2.089583 0.000000 0.066261 0.363642 0.056483 
500.00 1163.15 98.081279 33.477841 1.076380 0.131903 5.182480 6.935100 17.487527 2.183871 0.000000 0.047677 0.373673 0.059230 
500.00 1153.15 98.075940 33.459282 0.981075 0.131136 5.170531 6.952798 17.482237 2.263318 0.000000 0.036467 0.380415 0.061305 
500.00 1143.15 98.073529 33.371080 0.000000 0.171100 5.169269 6.906251 17.517721 2.657026 0.434254 0.035135 0.392706 0.087617 
500.00 1133.15 98.071772 33.360816 0.000000 0.174019 5.174388 6.891965 17.490907 2.685327 0.428929 0.034745 0.392918 0.087617 
500.00 1123.15 98.070042 33.350583 0.000000 0.176954 5.179056 6.878006 17.465688 2.712042 0.423715 0.034404 0.393101 0.087617 
