Title: Nd2

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.213805 1.0000000000000000 1.000000 266.224817 -1188841.069796 37.172677 -217.992785 2303.860480 145.315250 -7.007 0.000 2.642097 0.000000 2.567 0 0.000
500.00 1513.15 98.214359 1.0000000000000000 1.000000 265.268630 -1190302.320972 37.150129 -218.223320 2303.984582 145.318091 -7.116 0.000 2.643715 0.000000 2.613 0 0.000
500.00 1503.15 98.214947 1.0000000000000000 1.000000 264.306117 -1191764.128338 37.127609 -218.454916 2304.116316 145.321108 -7.225 0.000 2.645335 0.000000 2.660 0 0.000
500.00 1493.15 98.215570 1.0000000000000000 1.000000 263.337193 -1193226.512394 37.105117 -218.687633 2304.255915 145.324304 -7.336 0.000 2.646955 0.000000 2.707 0 0.000
500.00 1483.15 98.216230 1.0000000000000000 1.000000 262.361767 -1194689.494501 37.082654 -218.921536 2304.403623 145.327687 -7.449 0.000 2.648576 0.000000 2.754 0 0.000
500.00 1473.15 98.216926 1.0000000000000000 1.000000 261.398028 -1196126.108147 37.060221 -219.156692 2304.559695 141.388133 -7.563 0.000 2.650198 0.000000 2.803 0 0.000
500.00 1463.15 98.217662 1.0000000000000000 1.000000 260.436221 -1197550.868767 37.037819 -219.393170 2304.724393 141.381856 -7.679 0.000 2.651821 0.000000 2.852 0 0.000
500.00 1453.15 98.218026 0.9792935789088435 0.979324 259.020331 -1199620.853206 36.980594 -215.683284 2281.775543 140.903461 -7.796 0.000 2.655851 2.659864 2.881 0 0.000
500.00 1443.15 98.215409 0.8847121272521519 0.891700 255.866801 -1204139.694108 36.655652 -200.626926 2170.459930 138.243103 -7.915 0.000 2.658409 2.852301 2.946 0 0.000
500.00 1433.15 98.210671 0.7655126339512141 0.780404 252.189077 -1209347.975507 36.232224 -181.639074 2028.801987 134.878502 -8.035 0.000 2.658867 2.894401 3.043 0 0.000
500.00 1423.15 98.208511 0.6666922025980188 0.686542 249.006738 -1213856.225083 35.879700 -165.702291 1909.620258 132.127614 -8.157 0.000 2.658023 2.910490 3.146 0 0.000
500.00 1413.15 98.209016 0.5815563389269538 0.604625 246.154664 -1217909.860021 35.575995 -151.835240 1804.968774 129.792867 -8.281 0.000 2.655216 2.921610 3.260 0 0.000
500.00 1403.15 98.223408 0.4975844315053432 0.524185 243.319906 -1222147.813004 35.293117 -138.485063 1691.372598 127.488465 -8.407 0.000 2.641846 2.938662 3.446 0 0.000
500.00 1393.15 98.263534 0.4060426860100272 0.437585 240.263555 -1227107.403103 35.024722 -124.574399 1548.675683 124.955611 -8.535 0.000 2.603316 2.962893 3.827 0 0.000
500.00 1383.15 98.286620 0.3384062383339059 0.371684 237.776420 -1230954.583477 34.823772 -113.758529 1445.378989 123.139538 -8.664 0.000 2.569707 2.971882 4.191 0 0.000
500.00 1373.15 98.295635 0.2899581418966747 0.323065 235.752275 -1233898.144018 34.671553 -105.580325 1374.358417 121.868306 -8.795 0.000 2.544521 2.973706 4.504 0 0.000
500.00 1363.15 98.297180 0.2538058544902555 0.285950 234.022126 -1236291.721440 34.551158 -99.219276 1322.898585 120.927204 -8.929 0.000 2.525165 2.973047 4.777 0 0.000
500.00 1353.15 98.294668 0.2259298297765970 0.256816 232.487072 -1238333.938410 34.452880 -94.152831 1283.909036 120.197577 -9.064 0.000 2.509896 2.971587 5.022 0 0.000
500.00 1343.15 98.289912 0.2038588871943167 0.233416 231.086505 -1240141.428754 34.370643 -90.034970 1253.256594 119.610084 -9.201 0.000 2.497590 2.969965 5.245 0 0.000
500.00 1333.15 98.283924 0.1859862738611283 0.214241 229.781225 -1241786.589114 34.300382 -86.626731 1228.388422 119.121668 -9.340 0.000 2.487495 2.968423 5.450 0 0.000
500.00 1323.15 98.277284 0.1712254045232010 0.198246 228.544866 -1243316.241594 34.239258 -83.758571 1207.656939 118.704354 -9.481 0.000 2.479090 2.967045 5.641 0 0.000
500.00 1313.15 98.270331 0.1588197782559624 0.184688 227.359152 -1244761.638135 34.185231 -81.307863 1189.961888 118.339314 -9.625 0.000 2.472006 2.965850 5.821 0 0.000
500.00 1303.15 98.263267 0.1482301955199120 0.173028 226.211095 -1246144.187468 34.136805 -79.184493 1174.547616 118.013503 -9.771 0.000 2.465976 2.964830 5.992 0 0.000
500.00 1293.15 98.256210 0.1390645118391335 0.162868 225.091261 -1247478.890001 34.092859 -77.321285 1160.882545 117.717655 -9.919 0.000 2.460800 2.963967 6.154 0 0.000
500.00 1283.15 98.249227 0.1310318926706331 0.153911 223.990749 -1248778.920535 34.052466 -75.702398 1157.712198 117.751276 -10.069 0.000 2.456330 2.963252 6.310 0 0.000
500.00 1273.15 98.242357 0.1239131960775684 0.145930 222.905618 -1250050.337864 34.015018 -74.219319 1146.673017 117.502637 -10.221 0.000 2.452452 2.962660 6.459 0 0.000
500.00 1263.15 98.235619 0.1175420394681877 0.138751 221.832293 -1251298.304606 33.980021 -72.876553 1136.507516 117.268268 -10.376 0.000 2.449079 2.962174 6.604 0 0.000
500.00 1253.15 98.226380 0.1112167384051867 0.131726 220.741889 -1252515.296685 33.946852 -71.590976 1125.766548 117.021882 -10.534 0.000 2.443022 2.961882 6.811 0 0.000
500.00 1243.15 98.216770 0.1040100934915222 0.123493 219.635544 -1253735.147497 33.910739 -69.994156 1114.107040 116.771659 -10.694 0.000 2.439396 2.960711 6.982 0 0.000
500.00 1233.15 98.206005 0.0960445127681753 0.114271 218.507654 -1254951.586435 33.872579 -68.155605 1101.501402 116.513126 -10.857 0.000 2.436841 2.958938 7.143 0 0.000
500.00 1223.15 98.182453 0.0798692079149929 0.095385 217.196858 -1256168.009950 33.790783 -64.137343 1084.936577 116.125252 -11.022 0.000 2.432961 2.955435 7.309 0 0.000
500.00 1213.15 98.156032 0.0637696826911675 0.076515 215.891981 -1257316.839225 33.705414 -60.152451 1070.251780 115.727295 -11.190 0.000 2.427095 2.952365 7.554 0 0.000
500.00 1203.15 98.130951 0.0502221158992145 0.060520 214.633755 -1258419.190010 33.628989 -56.742099 1058.567725 115.375182 -11.361 0.000 2.421516 2.950032 7.796 0 0.000
500.00 1193.15 98.110521 0.0400830239081461 0.048484 213.438398 -1259511.569726 33.568609 -54.165198 1049.556352 115.081385 -11.534 0.000 2.416254 2.948492 8.033 0 0.000
500.00 1183.15 98.096823 0.0335660009935997 0.040728 212.309508 -1260625.310594 33.527674 -52.514700 1042.625628 114.848141 -11.711 0.000 2.411328 2.947692 8.266 0 0.000
500.00 1173.15 98.087858 0.0293767101473589 0.035740 211.220957 -1261759.038216 33.499603 -51.467046 1036.914127 114.653403 -11.890 0.000 2.406717 2.947353 8.495 0 0.000
500.00 1163.15 98.081279 0.0263647818918124 0.032152 210.149600 -1262901.537333 33.477841 -50.722052 1031.881704 114.478007 -12.073 0.000 2.402396 2.947256 8.720 0 0.000
500.00 1153.15 98.075940 0.0239911429479766 0.029321 209.084477 -1264046.747467 33.459282 -50.138192 1027.292363 114.313105 -12.259 0.000 2.398344 2.947299 8.944 0 0.000
500.00 1143.15 98.073529 0.0000000000000000 0.000000 207.742230 -1265549.425605 33.371080 -43.348482 1003.364239 113.870974 -12.448 0.000 0.000000 2.938878 9.068 0 0.000
500.00 1133.15 98.071772 0.0000000000000000 0.000000 206.713788 -1266690.934964 33.360816 -43.350120 1000.740187 113.742875 -12.641 0.000 0.000000 2.939729 9.068 0 0.000
500.00 1123.15 98.070042 0.0000000000000000 0.000000 205.677701 -1267831.281734 33.350583 -43.352038 998.190493 113.615414 -12.837 0.000 0.000000 2.940580 9.068 0 0.000
