Title: Nd3

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.707591 49.6334 1.0375 15.8658 2.21733 0.0177385 8.39935 0.176178 6.48924 11.2656 2.16308 0.685138 0.156603 1.89299
500.00 1513.15 99.712751 49.6308 1.03744 15.865 2.22293 0.0177376 8.39378 0.176169 6.4889 11.265 2.16297 0.685103 0.156595 1.89749
500.00 1503.15 99.718033 49.6282 1.03739 15.8642 2.22888 0.0177367 8.38788 0.17616 6.48856 11.2645 2.16285 0.685067 0.156587 1.90208
500.00 1493.15 99.723440 49.6255 1.03733 15.8633 2.23518 0.0177357 8.38163 0.17615 6.48821 11.2638 2.16274 0.685029 0.156578 1.90676
500.00 1483.15 99.728976 49.6227 1.03727 15.8624 2.24187 0.0177347 8.37505 0.176141 6.48785 11.2632 2.16262 0.684991 0.156569 1.91152
500.00 1473.15 99.734645 49.6199 1.03721 15.8615 2.24893 0.0177337 8.3681 0.176131 6.48748 11.2626 2.16249 0.684952 0.156561 1.91637
500.00 1463.15 99.740450 49.617 1.03715 15.8606 2.25639 0.0177327 8.36078 0.17612 6.4871 11.2619 2.16237 0.684913 0.156551 1.92132
500.00 1453.15 99.746395 49.6141 1.03709 15.8597 2.26426 0.0177316 8.35308 0.17611 6.48671 11.2612 2.16224 0.684872 0.156542 1.92637
500.00 1443.15 99.752484 49.611 1.03703 15.8587 2.27255 0.0177305 8.34499 0.176099 6.48632 11.2606 2.16211 0.68483 0.156533 1.93151
500.00 1433.15 99.758721 49.6079 1.03696 15.8577 2.28127 0.0177294 8.33649 0.176088 6.48591 11.2599 2.16197 0.684787 0.156523 1.93675
500.00 1423.15 99.765111 49.6048 1.0369 15.8567 2.29044 0.0177283 8.32757 0.176077 6.4855 11.2591 2.16183 0.684743 0.156513 1.9421
500.00 1413.15 99.771657 49.6015 1.03683 15.8557 2.30008 0.0177271 8.31822 0.176065 6.48507 11.2584 2.16169 0.684698 0.156502 1.94755
500.00 1403.15 99.778364 49.5982 1.03676 15.8546 2.3102 0.0177259 8.30842 0.176053 6.48464 11.2576 2.16155 0.684652 0.156492 1.95311
500.00 1393.15 97.799671 49.5993 1.04573 16.0771 2.3213 0.0180846 8.36446 0.179615 6.30852 11.0552 2.20261 0.698504 0.159658 1.96991
500.00 1383.15 92.663163 49.6681 1.06165 16.6673 2.32344 0.0137377 8.48767 0.189572 5.84666 10.5124 2.31666 0.737224 0.168508 2.00702
500.00 1373.15 87.808574 49.8368 1.06219 17.2433 2.30744 0.00653963 8.5248 0.200053 5.40356 9.97715 2.43557 0.777982 0.177824 2.04678
500.00 1363.15 80.758623 50.3129 1.07041 17.4682 2.30569 0.00182457 8.57848 0.216082 4.98237 9.34811 2.59285 0.844258 0.193348 2.08552
500.00 1353.15 70.776947 51.5326 1.05742 17.3533 2.24588 0.000270045 8.28916 0.240793 4.47202 8.67812 2.81518 0.958341 0.220616 2.13622
500.00 1343.15 61.459863 53.1494 0.997414 17.2776 2.09295 7.69539e-005 7.58699 0.270557 3.99271 8.0441 3.04334 1.09632 0.25406 2.19455
500.00 1333.15 53.681899 54.7258 0.938568 17.1614 1.93203 3.94708e-005 6.86726 0.301613 3.58219 7.48306 3.22835 1.24496 0.290871 2.24379
500.00 1323.15 47.135731 56.1787 0.890016 17.0069 1.7797 2.63859e-005 6.20504 0.334067 3.23358 6.99643 3.35823 1.40376 0.331267 2.28228
500.00 1313.15 39.194893 57.2755 0.838905 16.8272 1.64572 1.80088e-005 5.57166 0.448179 2.87334 6.59714 3.54164 1.65951 0.398381 2.32282
500.00 1303.15 34.093754 58.473 0.815893 16.5349 1.52099 1.55009e-005 5.0339 0.515236 2.54945 6.31747 3.56226 1.87473 0.457987 2.34415
