Title: Nd3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 100.094002 99.707591 0.000000 0.000000 0.000000 0.000000 0.000000 0.386410 
500.00 1513.15 100.094572 99.712751 0.000000 0.000000 0.000000 0.000000 0.000000 0.381822 
500.00 1503.15 100.095178 99.718033 0.000000 0.000000 0.000000 0.000000 0.000000 0.377146 
500.00 1493.15 100.095821 99.723440 0.000000 0.000000 0.000000 0.000000 0.000000 0.372381 
500.00 1483.15 100.096501 99.728976 0.000000 0.000000 0.000000 0.000000 0.000000 0.367525 
500.00 1473.15 100.097220 99.734645 0.000000 0.000000 0.000000 0.000000 0.000000 0.362575 
500.00 1463.15 100.097978 99.740450 0.000000 0.000000 0.000000 0.000000 0.000000 0.357528 
500.00 1453.15 100.098778 99.746395 0.000000 0.000000 0.000000 0.000000 0.000000 0.352383 
500.00 1443.15 100.099620 99.752484 0.000000 0.000000 0.000000 0.000000 0.000000 0.347136 
500.00 1433.15 100.100506 99.758721 0.000000 0.000000 0.000000 0.000000 0.000000 0.341785 
500.00 1423.15 100.101437 99.765111 0.000000 0.000000 0.000000 0.000000 0.000000 0.336327 
500.00 1413.15 100.102416 99.771657 0.000000 0.000000 0.000000 0.000000 0.000000 0.330759 
500.00 1403.15 100.103442 99.778364 0.000000 0.000000 0.000000 0.000000 0.000000 0.325078 
500.00 1393.15 100.104976 97.799671 0.000000 0.000000 1.958004 0.000000 0.000000 0.347302 
500.00 1383.15 100.109336 92.663163 0.000000 0.000000 6.982075 0.000000 0.050002 0.414096 
500.00 1373.15 100.117301 87.808574 0.000000 0.000000 11.645353 0.000000 0.186756 0.476618 
500.00 1363.15 100.130339 80.758623 0.302024 0.000000 15.761872 2.191595 0.526602 0.589623 
500.00 1353.15 100.162440 70.776947 1.130247 0.000000 19.025455 6.892019 1.575862 0.761910 
500.00 1343.15 100.204166 61.459863 1.652052 0.000000 21.828851 11.364511 2.973793 0.925096 
500.00 1333.15 100.235155 53.681899 1.995889 0.000000 23.952401 15.438461 4.097150 1.069356 
500.00 1323.15 100.255886 47.135731 2.197991 0.000000 25.630424 19.154353 4.939291 1.198096 
500.00 1313.15 100.282901 39.194893 0.000000 4.393421 26.027492 23.497836 5.805822 1.363436 
500.00 1303.15 100.288175 34.093754 0.000000 5.559737 26.087331 26.885427 6.187272 1.474655 
