Title: Mr2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.094276 41.739465 39.687106 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.052359 
500.00 1513.15 100.094877 41.624458 39.647063 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.977395 
500.00 1503.15 100.095515 41.509301 39.607135 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.902167 
500.00 1493.15 100.096192 41.393996 39.567322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.826674 
500.00 1483.15 100.096908 41.278545 39.527629 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.750916 
500.00 1473.15 100.097665 41.162950 39.488058 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.674892 
500.00 1463.15 100.098463 41.047215 39.448612 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.598603 
500.00 1453.15 100.099306 40.931341 39.409294 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.522047 
500.00 1443.15 100.100192 40.815334 39.370108 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.445226 
500.00 1433.15 100.101126 40.699197 39.331056 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.368141 
500.00 1423.15 100.102106 40.582935 39.292141 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.290793 
500.00 1413.15 100.103137 40.466552 39.253368 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.213184 
500.00 1403.15 100.102163 40.373361 38.969985 0.222565 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.180811 
500.00 1393.15 100.101696 40.417853 38.212446 0.408551 0.000000 0.414685 0.000000 0.000000 0.000000 0.000000 0.000000 1.382170 
500.00 1383.15 100.106833 40.856747 36.151788 0.420558 0.000000 2.017002 0.000000 0.000000 0.020478 0.000000 0.000000 2.246921 
500.00 1373.15 100.113650 41.747432 33.358768 0.569095 0.000000 3.407641 0.718685 0.000000 0.062168 0.000000 0.000000 3.631075 
500.00 1363.15 100.128770 43.376651 29.320498 0.904229 0.000000 4.512451 2.580924 0.000000 0.187178 0.000000 0.000000 5.871369 
500.00 1353.15 100.170818 44.948608 25.347511 1.122789 0.000000 5.605376 4.352628 0.000000 0.498590 0.000000 0.000000 8.021715 
500.00 1343.15 100.211512 46.367595 21.840674 1.246356 0.000000 6.510866 6.007502 0.000000 0.812379 0.000000 0.000000 9.949818 
500.00 1333.15 100.241911 47.679036 18.675198 1.169902 0.231700 7.212105 7.586516 0.000000 1.059238 0.000000 0.000000 11.744376 
500.00 1323.15 100.284925 49.429578 14.417670 0.006324 2.396960 7.461938 9.568715 0.000000 1.332421 0.000000 0.000000 14.245551 
500.00 1313.15 100.289842 50.354062 12.215720 0.000000 2.797262 7.512040 10.898745 0.000000 1.416398 0.000000 0.000000 15.513897 
500.00 1303.15 100.289323 51.073328 10.433218 0.000000 3.120915 7.527846 12.007779 0.000000 1.465121 0.000000 0.000000 16.518449 
500.00 1293.15 100.285253 51.620346 8.983407 0.000000 3.394607 7.523237 12.925656 0.000000 1.489720 0.000000 0.000000 17.303718 
500.00 1283.15 100.278842 52.021903 7.804711 0.000000 3.631165 7.504898 13.679299 0.000000 1.497521 0.000000 0.000000 17.904310 
500.00 1273.15 100.270963 52.303271 6.845041 0.000000 3.839689 7.476751 14.295640 0.000000 1.493820 0.000000 0.000000 18.352330 
500.00 1263.15 100.262235 52.487332 6.060161 0.000000 4.026550 7.441567 14.799922 0.000000 1.482413 0.000000 0.000000 18.676720 
500.00 1253.15 100.253079 52.593737 5.413421 0.000000 4.196213 7.401521 15.214294 0.000000 1.465954 0.000000 0.000000 18.902334 
500.00 1243.15 100.243776 52.638556 4.875419 0.000000 4.351863 7.358351 15.557139 0.000000 1.446251 0.000000 0.000000 19.049533 
500.00 1233.15 100.234135 52.637902 4.407041 0.000000 4.499851 7.312254 15.848143 0.000000 1.423619 0.000000 0.006770 19.140223 
500.00 1223.15 100.224539 52.597970 4.005171 0.000000 4.638644 7.265063 16.093715 0.000000 1.399451 0.000000 0.014795 19.181131 
500.00 1213.15 100.213009 52.542799 3.639305 0.026610 4.753190 7.214131 16.317969 0.000000 1.367850 0.000000 0.022667 19.201077 
500.00 1203.15 100.199927 52.474573 3.300550 0.069749 4.855446 7.160505 16.523567 0.000000 1.330096 0.000000 0.030442 19.204218 
500.00 1193.15 100.187234 52.382141 3.000258 0.105731 4.959910 7.108105 16.700929 0.000000 1.292284 0.000000 0.037267 19.177655 
