Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1523.15 98.230426 98.230426 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.230973 98.230973 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.231553 98.231553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.232167 98.232167 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.232818 98.232818 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.233505 98.233505 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.234230 98.234230 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.234994 98.234994 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.235799 98.235799 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.236645 98.236645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.237421 98.199582 0.037839 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.199121 97.436967 0.762154 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.439063 93.581830 0.021713 0.000000 3.835520 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 93.586175 89.818380 0.000000 0.000000 3.736319 0.000000 0.000000 0.000000 0.000000 0.031476 0.000000 0.000000 
500.00 1383.15 89.821641 84.338378 0.503700 0.000000 2.628460 0.000000 2.274796 0.000000 0.000000 0.076307 0.000000 0.000000 
500.00 1373.15 84.344450 79.119275 0.594605 0.000000 2.057751 0.000000 2.455548 0.000000 0.000000 0.117271 0.000000 0.000000 
500.00 1363.15 79.141586 73.750134 0.439118 0.000000 2.077569 0.000000 2.288554 0.000000 0.000000 0.586211 0.000000 0.000000 
500.00 1353.15 73.797624 67.793554 0.201846 0.000000 2.227455 0.000000 2.245023 0.000000 0.000000 1.329747 0.000000 0.000000 
500.00 1343.15 67.829984 62.653743 0.000000 0.000000 1.315399 0.659261 2.178730 0.000000 0.000000 1.022851 0.000000 0.000000 
500.00 1333.15 62.682288 58.356639 0.000000 0.559982 0.915096 0.000000 2.053944 0.000000 0.000000 0.796628 0.000000 0.000000 
500.00 1323.15 58.379493 54.736939 0.000000 0.509120 0.646307 0.000000 1.857854 0.000000 0.000000 0.629273 0.000000 0.000000 
500.00 1313.15 54.755826 51.650916 0.000000 0.435256 0.487719 0.000000 1.672539 0.000000 0.000000 0.509396 0.000000 0.000000 
500.00 1303.15 51.666881 48.977972 0.000000 0.375264 0.374701 0.000000 1.519123 0.000000 0.000000 0.419821 0.000000 0.000000 
500.00 1293.15 48.991724 46.632433 0.000000 0.325824 0.292295 0.000000 1.390152 0.000000 0.000000 0.351020 0.000000 0.000000 
500.00 1283.15 46.644472 44.551508 0.000000 0.284592 0.231060 0.000000 1.280342 0.000000 0.000000 0.296969 0.000000 0.000000 
500.00 1273.15 44.562195 42.687966 0.000000 0.249861 0.184825 0.000000 1.185843 0.000000 0.000000 0.253699 0.000000 0.000000 
500.00 1263.15 42.697838 40.564401 0.000000 0.318039 0.077679 0.000000 1.470818 0.000000 0.000000 0.239395 0.000000 0.027507 
500.00 1253.15 40.600955 38.231956 0.000000 0.358192 0.000000 0.000000 1.707639 0.000000 0.000000 0.222476 0.000000 0.080693 
500.00 1243.15 38.319721 36.170092 0.000000 0.296443 0.000000 0.000000 1.538104 0.000000 0.000000 0.186612 0.000000 0.128469 
500.00 1233.15 36.304860 34.333450 0.000000 0.247921 0.000000 0.000000 1.394267 0.000000 0.000000 0.157565 0.000000 0.171657 
500.00 1223.15 34.510787 32.687419 0.000000 0.208954 0.000000 0.000000 1.269765 0.000000 0.000000 0.133768 0.000000 0.210881 
500.00 1213.15 32.903483 31.204733 0.000000 0.177331 0.000000 0.000000 1.160695 0.000000 0.000000 0.114086 0.000000 0.246638 
500.00 1203.15 31.456148 29.863453 0.000000 0.151434 0.000000 0.000000 1.064247 0.000000 0.000000 0.097682 0.000000 0.279333 
500.00 1193.15 30.147232 28.645581 0.000000 0.130058 0.000000 0.000000 0.978372 0.000000 0.000000 0.083920 0.000000 0.309300 
500.00 1183.15 28.959165 27.551468 0.000000 0.085573 0.044647 0.000000 0.867902 0.000000 0.000000 0.073255 0.000000 0.336321 
500.00 1173.15 27.892827 26.543340 0.000000 0.078045 0.033432 0.000000 0.813174 0.000000 0.000000 0.063391 0.000000 0.361445 
500.00 1163.15 26.909659 25.616768 0.000000 0.062571 0.038333 0.000000 0.751961 0.000000 0.000000 0.055350 0.000000 0.384675 
