Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1523.15 100.093345 100.093345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 100.093895 100.093895 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 100.094479 100.094479 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 100.095098 100.095098 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 100.095753 100.095753 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 100.096445 100.096445 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 100.097175 100.097175 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 100.097945 100.097945 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 100.098755 100.098755 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.099607 100.099607 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.100503 100.100503 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.101383 100.080689 0.020694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 100.080322 99.318926 0.761396 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 99.318572 98.582148 0.736424 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.582710 96.848152 0.480345 0.000000 1.254212 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 96.853262 93.143678 0.000000 0.000000 3.664573 0.000000 0.000000 0.000000 0.045011 0.000000 0.000000 
500.00 1363.15 93.151417 89.664533 0.000000 0.000000 3.367041 0.000000 0.000000 0.000000 0.119843 0.000000 0.000000 
500.00 1353.15 89.675949 86.047852 0.000000 0.000000 3.374185 0.000000 0.000000 0.000000 0.217515 0.000000 0.036397 
500.00 1343.15 86.119498 81.270685 0.000000 0.000000 3.395325 0.427314 0.000000 0.000000 0.928291 0.000000 0.097883 
500.00 1333.15 81.420083 73.350875 0.092054 0.000000 2.750948 3.535439 0.000000 0.000000 1.454001 0.000000 0.236767 
500.00 1323.15 73.623995 66.749056 0.471861 0.000000 1.483527 3.509952 0.000000 0.000000 1.050331 0.000000 0.359269 
500.00 1313.15 67.137737 60.696712 0.000000 0.887695 0.765321 3.464043 0.000000 0.000000 0.846342 0.000000 0.477625 
500.00 1303.15 61.196602 55.411736 0.000000 1.025771 0.214901 3.306190 0.000000 0.000000 0.652617 0.000000 0.585388 
500.00 1293.15 56.014959 51.061679 0.000000 0.819143 0.108000 2.837458 0.000000 0.000000 0.512156 0.000000 0.676523 
500.00 1283.15 51.752896 47.399646 0.000000 0.664657 0.046740 2.476278 0.000000 0.000000 0.410429 0.000000 0.755146 
500.00 1273.15 48.167186 44.263106 0.000000 0.545206 0.013112 2.187577 0.000000 0.000000 0.334193 0.000000 0.823992 
500.00 1263.15 45.097771 41.542166 0.000000 0.448372 0.000000 1.946855 0.000000 0.000000 0.275472 0.000000 0.884906 
500.00 1253.15 42.435433 39.159007 0.000000 0.367502 0.000000 1.740436 0.000000 0.000000 0.229291 0.000000 0.939196 
500.00 1243.15 40.105539 37.052185 0.000000 0.304706 0.000000 1.568287 0.000000 0.000000 0.192393 0.000000 0.987969 
500.00 1233.15 38.046676 35.175755 0.000000 0.254882 0.000000 1.421489 0.000000 0.000000 0.162501 0.000000 1.032049 
500.00 1223.15 36.213675 33.494313 0.000000 0.214866 0.000000 1.294415 0.000000 0.000000 0.138006 0.000000 1.072075 
500.00 1213.15 34.571734 31.979966 0.000000 0.182388 0.000000 1.183079 0.000000 0.000000 0.117745 0.000000 1.108557 
500.00 1203.15 33.093440 30.610278 0.000000 0.155788 0.000000 1.084614 0.000000 0.000000 0.100854 0.000000 1.141906 
500.00 1193.15 31.756752 29.366851 0.000000 0.133828 0.000000 0.996924 0.000000 0.000000 0.086680 0.000000 1.172468 
500.00 1183.15 30.543720 28.250888 0.000000 0.086362 0.048571 0.882130 0.000000 0.000000 0.075779 0.000000 1.199990 
