Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.125041 48.6433 1.3918 15.3886 2.51765 0.0204841 9.89543 0.197401 7.2057 10.9467 2.27027 0.345478 0.157962 1.01911
500.00 1513.15 98.125688 48.643 1.39179 15.3885 2.52422 0.0204839 9.88944 0.1974 7.20566 10.9467 2.27025 0.345475 0.157961 1.0191
500.00 1503.15 98.126376 48.6427 1.39178 15.3884 2.5312 0.0204838 9.88308 0.197399 7.20561 10.9466 2.27024 0.345473 0.15796 1.01909
500.00 1493.15 98.127104 48.6423 1.39177 15.3883 2.53859 0.0204836 9.87633 0.197397 7.20555 10.9465 2.27022 0.34547 0.157958 1.01909
500.00 1483.15 98.127875 48.6419 1.39176 15.3882 2.54641 0.0204835 9.8692 0.197395 7.2055 10.9464 2.2702 0.345468 0.157957 1.01908
500.00 1473.15 98.128690 48.6415 1.39174 15.3881 2.55467 0.0204833 9.86166 0.197394 7.20544 10.9463 2.27018 0.345465 0.157956 1.01907
500.00 1463.15 98.129550 48.6411 1.39173 15.3879 2.5634 0.0204831 9.85371 0.197392 7.20537 10.9462 2.27016 0.345462 0.157954 1.01906
500.00 1453.15 98.130456 48.6407 1.39172 15.3878 2.57259 0.0204829 9.84533 0.19739 7.20531 10.9461 2.27014 0.345458 0.157953 1.01905
500.00 1443.15 98.131410 48.6402 1.39171 15.3876 2.58227 0.0204827 9.8365 0.197388 7.20524 10.946 2.27012 0.345455 0.157951 1.01904
500.00 1433.15 98.132414 48.6397 1.39169 15.3875 2.59245 0.0204825 9.82721 0.197386 7.20516 10.9459 2.2701 0.345452 0.15795 1.01903
500.00 1423.15 98.133469 48.6392 1.39168 15.3873 2.60316 0.0204823 9.81745 0.197384 7.20509 10.9458 2.27007 0.345448 0.157948 1.01902
500.00 1413.15 96.185435 48.6478 1.40895 15.6098 2.61551 0.0208971 9.86606 0.200264 6.95079 10.8135 2.31319 0.352444 0.161147 1.03966
500.00 1403.15 89.018414 48.7301 1.49286 15.6001 2.69695 0.0225796 10.2824 0.212879 6.51817 10.3383 2.42863 0.379543 0.174121 1.12336
500.00 1393.15 82.137688 48.9638 1.56795 15.5375 2.76191 0.00658311 10.6042 0.226722 6.08607 9.87654 2.55264 0.409841 0.188708 1.21747
500.00 1383.15 76.332626 49.1754 1.63887 15.4646 2.82619 0.00168174 10.9195 0.239785 5.67759 9.43474 2.66911 0.439498 0.203059 1.31006
500.00 1373.15 70.150788 49.8232 1.63199 15.5129 2.80379 7.62041e-006 10.8057 0.257127 5.23293 8.98519 2.82406 0.47667 0.220953 1.4255
500.00 1363.15 62.547819 51.508 1.45112 15.8094 2.57663 0 9.70875 0.286309 4.71052 8.49495 3.07483 0.532882 0.24781 1.59878
500.00 1353.15 56.692289 53.0243 1.29897 15.993 2.37494 0 8.76243 0.313753 4.27045 8.04142 3.29728 0.586104 0.273406 1.76391
500.00 1343.15 52.105570 54.3597 1.17556 16.0833 2.20278 0 7.97327 0.339076 3.89772 7.62517 3.491 0.635817 0.297473 1.91918
500.00 1333.15 48.111072 55.5264 1.08034 16.0662 2.06161 0 7.30824 0.367244 3.53108 7.30068 3.67121 0.686384 0.322171 2.07852
500.00 1323.15 44.772664 56.5914 1.00029 15.9878 1.93699 0 6.72784 0.394627 3.2023 7.01125 3.83256 0.735228 0.346193 2.23351
500.00 1313.15 41.504423 57.7065 0.932234 15.7916 1.82403 0 6.2022 0.425702 2.88872 6.71791 3.992 0.790053 0.373454 2.3556
500.00 1303.15 37.657855 59.1043 0.87799 15.3419 1.71997 0 5.70288 0.469186 2.55385 6.39372 4.166 0.865372 0.411601 2.39318
500.00 1293.15 34.516956 60.4114 0.829412 14.8786 1.62221 0 5.2504 0.511879 2.27037 6.10409 4.30903 0.938368 0.449055 2.42522
500.00 1283.15 31.896539 61.6393 0.785647 14.4082 1.52996 0 4.83826 0.553932 2.02785 5.84388 4.42492 1.00932 0.485946 2.45278
500.00 1273.15 29.673835 62.7969 0.746012 13.9359 1.44262 0 4.4613 0.595424 1.81852 5.60891 4.51691 1.07838 0.522346 2.47669
500.00 1263.15 27.764073 63.8912 0.70995 13.4659 1.35977 0 4.1154 0.636381 1.6365 5.39571 4.58782 1.1456 0.558275 2.49757
500.00 1253.15 26.106254 64.9273 0.677005 13.0013 1.28106 0 3.7972 0.676793 1.47722 5.20136 4.64015 1.21101 0.593727 2.51593
500.00 1243.15 24.654980 65.9098 0.646798 12.5446 1.20625 0 3.50391 0.716631 1.33705 5.02341 4.67612 1.27457 0.628676 2.53217
500.00 1233.15 23.375490 66.8424 0.619009 12.0978 1.13514 0 3.23319 0.755857 1.2131 4.85978 4.69775 1.33625 0.663088 2.54662
500.00 1223.15 22.240539 67.7283 0.593368 11.6622 1.06758 0 2.98302 0.794429 1.10302 4.70871 4.70682 1.39601 0.696926 2.55955
500.00 1213.15 21.228369 68.5704 0.569643 11.2389 1.00342 0 2.75165 0.832307 1.00486 4.56869 4.70495 1.45383 0.730155 2.57119
500.00 1203.15 20.321335 69.3714 0.547631 10.8283 0.942539 0 2.53754 0.869457 0.917034 4.43845 4.69354 1.50967 0.762745 2.58174
500.00 1193.15 19.504952 70.1335 0.527159 10.4309 0.884821 0 2.33932 0.905848 0.838195 4.31689 4.67386 1.56352 0.79467 2.59136
500.00 1183.15 18.767206 70.859 0.508071 10.0468 0.830151 0 2.15577 0.941457 0.767216 4.2031 4.64702 1.61537 0.825909 2.60017
500.00 1173.15 18.098052 71.5498 0.490231 9.67601 0.77842 0 1.98579 0.976266 0.703143 4.09627 4.61403 1.66524 0.856446 2.60831
500.00 1163.15 17.474147 72.2612 0.473909 9.32351 0.728897 0 1.82869 1.01112 0.644388 3.96162 4.57876 1.71452 0.857344 2.61601
500.00 1153.15 16.904375 72.9435 0.458583 8.98389 0.682157 0 1.68321 1.0452 0.591147 3.83161 4.53896 1.76189 0.856632 2.62319
500.00 1143.15 16.384014 73.592 0.444112 8.65631 0.63815 0 1.54846 1.0784 0.542877 3.70984 4.49495 1.80719 0.857791 2.62992
500.00 1133.15 15.907438 74.2081 0.430414 8.34049 0.596749 0 1.42369 1.11071 0.499021 3.59593 4.44736 1.85044 0.860857 2.63625
500.00 1123.15 15.469833 74.7931 0.417415 8.03611 0.557832 0 1.30818 1.14213 0.459099 3.48956 4.39674 1.89167 0.865892 2.64224
500.00 1113.15 15.067065 75.3483 0.405046 7.74287 0.521277 0 1.20129 1.17266 0.422695 3.3905 4.34355 1.93089 0.872981 2.64794
500.00 1103.15 14.691501 75.8778 0.381716 7.45829 0.491006 0 1.11172 1.20177 0.386779 3.29942 4.28789 1.96854 0.881183 2.65389
500.00 1093.15 14.321997 76.4263 0.35219 7.17413 0.464527 0 1.0327 1.20119 0.347962 3.22016 4.22911 2.00674 0.887447 2.65753
500.00 1083.15 13.964406 76.9928 0.329248 6.89056 0.429044 0 0.935136 1.18725 0.310398 3.16005 4.16772 2.04482 0.893265 2.6597
500.00 1073.15 13.636996 77.5263 0.30804 6.61949 0.39537 0 0.844456 1.1737 0.276378 3.10652 4.10622 2.08057 0.901191 2.66176
500.00 1063.15 13.336824 78.0275 0.288399 6.36042 0.36353 0 0.760474 1.1606 0.24554 3.0596 4.04483 2.11402 0.911338 2.66373
500.00 1053.15 13.061317 78.4971 0.270184 6.11286 0.333516 0 0.682941 1.14801 0.21757 3.01938 3.98375 2.1452 0.923845 2.66565
500.00 1043.15 12.808226 78.9356 0.25327 5.87637 0.305301 0 0.61157 1.13595 0.192201 2.98599 3.92318 2.17413 0.938881 2.66754
500.00 1033.15 12.575582 79.3436 0.237549 5.65051 0.278839 0 0.546047 1.12443 0.169201 2.95962 3.86325 2.20084 0.956644 2.66943
