Title: Mr2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.109474 36.292431 36.292431 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.110082 36.269338 36.269338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.110728 36.246275 36.246275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.111412 36.223244 36.223244 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.111158 36.137461 34.706862 0.000000 0.000000 0.000000 1.430599 0.000000 0.000000 0.000000 
500.00 1473.15 94.291838 34.625725 33.285196 0.000000 0.000000 0.000000 1.340529 0.000000 0.000000 0.000000 
500.00 1463.15 90.715780 33.204027 31.882112 0.033635 0.000000 0.000000 1.288280 0.000000 0.000000 0.000000 
500.00 1453.15 87.167546 31.387887 26.757726 0.000000 1.233240 1.012376 2.384546 0.000000 0.000000 0.000000 
500.00 1443.15 73.542035 26.339892 22.436536 0.000000 0.820975 1.083018 1.999362 0.000000 0.000000 0.000000 
500.00 1433.15 62.033711 22.130699 19.279940 0.000000 0.570478 0.799007 1.481273 0.000000 0.000000 0.000000 
500.00 1423.15 53.631974 19.045510 16.864277 0.000000 0.415181 0.615548 1.150504 0.000000 0.000000 0.000000 
500.00 1413.15 47.219368 16.662848 14.754838 0.000000 0.450106 0.468104 0.908280 0.081519 0.000000 0.000000 
500.00 1403.15 41.430743 14.600700 13.147543 0.000000 0.303826 0.375730 0.736578 0.037021 0.000000 0.000000 
500.00 1393.15 37.173933 12.930581 10.405208 0.000000 1.309543 0.000000 0.566077 0.649753 0.000000 0.000000 
500.00 1383.15 28.380197 10.285794 8.820906 0.000000 0.553034 0.073848 0.527660 0.310346 0.000000 0.000000 
500.00 1373.15 23.491034 8.748790 7.848180 0.000000 0.302773 0.036432 0.398446 0.162959 0.000000 0.000000 
500.00 1363.15 20.573082 7.797158 7.153119 0.000000 0.195193 0.024998 0.320272 0.103575 0.000000 0.000000 
500.00 1353.15 18.528369 7.114312 6.620571 0.000000 0.140013 0.016129 0.265091 0.072509 0.000000 0.000000 
500.00 1343.15 16.984286 6.589709 6.194669 0.000000 0.107376 0.009627 0.224219 0.053818 0.000000 0.000000 
500.00 1333.15 15.763771 6.169363 5.843860 0.000000 0.086243 0.004884 0.192808 0.041568 0.000000 0.000000 
500.00 1323.15 14.768333 5.822638 5.548547 0.000000 0.071645 0.001413 0.167977 0.033057 0.000000 0.000000 
500.00 1313.15 13.937529 5.530407 5.295283 0.000000 0.059974 0.000000 0.148356 0.026794 0.000000 0.000000 
500.00 1303.15 13.229663 5.279233 5.074698 0.000000 0.049912 0.000000 0.132635 0.021989 0.000000 0.000000 
500.00 1293.15 12.618695 5.060582 4.880675 0.000000 0.042368 0.000000 0.119235 0.018303 0.000000 0.000000 
500.00 1283.15 12.084494 4.867908 4.700681 0.009093 0.029242 0.000000 0.115230 0.013662 0.000000 0.000000 
500.00 1273.15 11.592423 4.689339 4.535430 0.014393 0.020885 0.000000 0.108515 0.010117 0.000000 0.000000 
500.00 1263.15 11.141958 4.525281 4.388304 0.012827 0.018404 0.000000 0.097450 0.008295 0.000000 0.000000 
500.00 1253.15 10.742831 4.379179 4.256571 0.011479 0.016363 0.000000 0.087936 0.006830 0.000000 0.000000 
500.00 1243.15 10.387092 4.248203 4.136672 0.010409 0.014750 0.000000 0.079811 0.005632 0.000000 0.000930 
500.00 1233.15 10.065480 4.129361 4.027823 0.009423 0.013309 0.000000 0.072630 0.004649 0.000000 0.001527 
500.00 1223.15 9.773730 4.021243 3.929427 0.008515 0.012015 0.000000 0.066266 0.003843 0.000000 0.001176 
500.00 1213.15 9.511047 3.923318 3.838684 0.008209 0.011053 0.000000 0.061244 0.002252 0.000887 0.000989 
500.00 1203.15 9.270589 3.832986 3.750892 0.007479 0.010744 0.000000 0.058274 0.000000 0.004440 0.001158 
500.00 1193.15 9.034388 3.745694 3.671898 0.006437 0.009623 0.000000 0.053159 0.000000 0.003815 0.000761 
500.00 1183.15 8.823399 3.667292 3.600453 0.005669 0.008654 0.000000 0.048731 0.000000 0.003378 0.000406 
500.00 1173.15 8.633274 3.596372 3.535674 0.005004 0.007800 0.000000 0.044827 0.000000 0.003006 0.000062 
500.00 1163.15 8.460752 3.531748 3.476146 0.004447 0.007062 0.000000 0.041399 0.000000 0.002695 0.000000 
