Title: Mr1

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.809707 49.5247 1.13547 15.5012 2.36358 0.0171762 9.04 0.197424 7.04961 11.5024 2.15234 0.365301 0.12831 1.02239
500.00 1513.15 97.810309 49.5244 1.13546 15.5011 2.36971 0.0171761 9.03441 0.197423 7.04956 11.5024 2.15233 0.365299 0.12831 1.02239
500.00 1503.15 97.810949 49.5241 1.13546 15.501 2.37623 0.017176 9.02848 0.197422 7.04952 11.5023 2.15232 0.365297 0.128309 1.02238
500.00 1493.15 97.811628 49.5238 1.13545 15.5009 2.38313 0.0171759 9.02219 0.19742 7.04947 11.5022 2.1523 0.365294 0.128308 1.02237
500.00 1483.15 97.812345 49.5234 1.13544 15.5008 2.39044 0.0171757 9.01553 0.197419 7.04942 11.5021 2.15228 0.365291 0.128307 1.02237
500.00 1473.15 97.813104 49.523 1.13543 15.5007 2.39816 0.0171756 9.0085 0.197417 7.04936 11.502 2.15227 0.365288 0.128306 1.02236
500.00 1463.15 97.813904 49.5226 1.13542 15.5006 2.4063 0.0171755 9.00108 0.197416 7.0493 11.5019 2.15225 0.365286 0.128305 1.02235
500.00 1453.15 97.814747 49.5222 1.13541 15.5004 2.41489 0.0171753 8.99326 0.197414 7.04924 11.5018 2.15223 0.365282 0.128304 1.02234
500.00 1443.15 97.815635 49.5217 1.1354 15.5003 2.42393 0.0171752 8.98502 0.197412 7.04918 11.5017 2.15221 0.365279 0.128303 1.02233
500.00 1433.15 97.816570 49.5213 1.13539 15.5001 2.43344 0.017175 8.97636 0.19741 7.04911 11.5016 2.15219 0.365276 0.128301 1.02232
500.00 1423.15 97.817596 49.5207 1.13538 15.5 2.44388 0.0171748 8.96684 0.197408 7.04904 11.5015 2.15217 0.365272 0.1283 1.02231
500.00 1413.15 97.434706 49.517 1.138 15.5414 2.45887 0.0172423 8.96868 0.198184 7.015 11.4638 2.16003 0.366707 0.128804 1.02633
500.00 1403.15 91.584937 49.5177 1.18295 15.8631 2.4889 0.0183436 9.25935 0.210843 6.65918 10.9137 2.26738 0.389665 0.137031 1.09188
500.00 1393.15 85.100430 49.5593 1.24504 15.8729 2.56777 0.0197414 9.67447 0.226764 6.41478 10.302 2.37646 0.418159 0.147473 1.17508
500.00 1383.15 78.734355 49.7856 1.31466 15.8047 2.63647 0.00979542 10.008 0.240872 5.98854 9.83979 2.49165 0.450404 0.159397 1.27009
500.00 1373.15 73.284788 50.0158 1.37923 15.7331 2.74438 0.00421926 10.2697 0.254425 5.58155 9.39745 2.60198 0.482326 0.17125 1.36454
500.00 1363.15 68.423583 50.2976 1.42855 15.6703 3.2954 0.000531392 10.0174 0.268092 5.18273 8.96659 2.7129 0.51501 0.183416 1.46148
500.00 1353.15 62.412793 51.3865 1.35302 15.8157 3.39641 0 9.25957 0.290744 4.72593 8.51254 2.89334 0.562926 0.201081 1.60224
500.00 1343.15 56.552836 52.9221 1.21225 16.0271 3.02857 0 8.43228 0.318845 4.28287 8.06108 3.10527 0.61944 0.221916 1.76826
500.00 1333.15 51.955793 54.282 1.09695 16.1436 2.72323 0 7.72888 0.344929 3.90726 7.64391 3.2906 0.672369 0.241551 1.92471
500.00 1323.15 47.931847 55.4695 1.01013 16.1356 2.49414 0 7.12115 0.373886 3.52841 7.32986 3.4627 0.726531 0.26183 2.0863
500.00 1313.15 44.612884 56.5525 0.935585 16.0728 2.33029 0 6.55455 0.401701 3.19787 7.03785 3.61578 0.778246 0.281309 2.2415
500.00 1303.15 41.050459 57.7374 0.873141 15.8141 2.17738 0 6.02983 0.436561 2.85845 6.71518 3.77406 0.842148 0.305721 2.43603
500.00 1293.15 37.388250 59.0295 0.820942 15.3559 2.01167 0 5.55359 0.479323 2.51966 6.37289 3.92693 0.919276 0.335667 2.67464
500.00 1283.15 34.401288 60.2235 0.774203 14.8854 1.86495 0 5.11751 0.520941 2.23348 6.06525 4.04971 0.993416 0.364812 2.90687
500.00 1273.15 31.910774 61.3321 0.732115 14.4092 1.73301 0 4.71742 0.561599 1.98917 5.78721 4.14625 1.06493 0.393284 3.13374
500.00 1263.15 29.798438 62.3654 0.694028 13.9323 1.613 0 4.34963 0.601409 1.77875 5.53463 4.21978 1.13405 0.421163 3.35588
500.00 1253.15 27.982856 63.331 0.659413 13.4588 1.50293 0 4.01096 0.64043 1.5962 5.30412 4.27311 1.2009 0.448489 3.57362
500.00 1243.15 26.405664 64.2354 0.627834 12.9918 1.40138 0 3.69868 0.678682 1.4368 5.09282 4.30871 1.26555 0.475277 3.78707
500.00 1233.15 25.023603 65.0836 0.598926 12.5338 1.30727 0 3.41042 0.716166 1.29685 4.89832 4.3288 1.32803 0.501526 3.99623
500.00 1223.15 23.803685 65.8803 0.572383 12.0866 1.21979 0 3.14409 0.752869 1.17339 4.71859 4.33537 1.38837 0.527229 4.20103
500.00 1213.15 22.720145 66.6293 0.547943 11.6514 1.13831 0 2.89789 0.788773 1.06401 4.55189 4.33018 1.44655 0.552373 4.40138
500.00 1203.15 21.752461 67.3341 0.52538 11.2292 1.06229 0 2.6702 0.823863 0.966725 4.39675 4.31481 1.50259 0.576946 4.59718
500.00 1193.15 20.884027 67.9978 0.504497 10.8205 0.991314 0 2.45956 0.858122 0.879896 4.25191 4.29065 1.5565 0.600938 4.78835
500.00 1183.15 20.101223 68.6233 0.485124 10.4256 0.924994 0 2.26466 0.89154 0.802154 4.11628 4.25896 1.60829 0.62434 4.97482
500.00 1173.15 19.392766 69.2131 0.46711 10.0446 0.863007 0 2.08433 0.92411 0.732347 3.98894 4.2208 1.65799 0.647149 5.15656
500.00 1163.15 18.749217 69.7696 0.450322 9.67739 0.805062 0 1.91748 0.955829 0.669497 3.86909 4.17714 1.70563 0.669361 5.33356
500.00 1153.15 18.162623 70.2951 0.434639 9.32385 0.750898 0 1.76311 0.986699 0.612773 3.75605 4.12883 1.75123 0.690979 5.50581
500.00 1143.15 17.626240 70.7915 0.419957 8.98369 0.700272 0 1.62032 1.01673 0.561462 3.64923 4.07659 1.79484 0.712007 5.67336
500.00 1133.15 17.134312 71.2608 0.406179 8.65657 0.652966 0 1.48828 1.04592 0.514949 3.5481 4.02108 1.8365 0.732448 5.83624
500.00 1123.15 16.681901 71.7046 0.39322 8.34212 0.608774 0 1.3662 1.07428 0.472705 3.45222 3.96287 1.87623 0.752312 5.99452
500.00 1113.15 16.264753 72.1245 0.381001 8.03996 0.567504 0 1.25338 1.10183 0.434268 3.36119 3.90245 1.9141 0.771607 6.14826
500.00 1103.15 15.879183 72.522 0.369453 7.74967 0.528978 0 1.14916 1.12859 0.399236 3.27466 3.84026 1.95012 0.790343 6.29755
500.00 1093.15 15.521987 72.8985 0.358511 7.47083 0.493029 0 1.05292 1.15456 0.367258 3.19234 3.7767 1.98436 0.80853 6.44247
500.00 1083.15 15.189400 73.2599 0.348139 7.20349 0.395967 0 1.02136 1.17984 0.338046 3.11414 3.71234 2.01697 0.826234 6.58354
