Title: Mr1

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.809707 49.5247 1.13547 15.5012 2.36358 0.0171762 9.04 0.197424 7.04961 11.5024 2.15234 0.365301 0.12831 1.02239
500.00 1513.15 97.810309 49.5244 1.13546 15.5011 2.36971 0.0171761 9.03441 0.197423 7.04956 11.5024 2.15233 0.365299 0.12831 1.02239
500.00 1503.15 97.810949 49.5241 1.13546 15.501 2.37623 0.017176 9.02848 0.197422 7.04952 11.5023 2.15232 0.365297 0.128309 1.02238
500.00 1493.15 97.811628 49.5238 1.13545 15.5009 2.38313 0.0171759 9.02219 0.19742 7.04947 11.5022 2.1523 0.365294 0.128308 1.02237
500.00 1483.15 97.812345 49.5234 1.13544 15.5008 2.39044 0.0171757 9.01553 0.197419 7.04942 11.5021 2.15228 0.365291 0.128307 1.02237
500.00 1473.15 97.813104 49.523 1.13543 15.5007 2.39816 0.0171756 9.0085 0.197417 7.04936 11.502 2.15227 0.365288 0.128306 1.02236
500.00 1463.15 97.813904 49.5226 1.13542 15.5006 2.4063 0.0171755 9.00108 0.197416 7.0493 11.5019 2.15225 0.365286 0.128305 1.02235
500.00 1453.15 97.814747 49.5222 1.13541 15.5004 2.41489 0.0171753 8.99326 0.197414 7.04924 11.5018 2.15223 0.365282 0.128304 1.02234
500.00 1443.15 97.815635 49.5217 1.1354 15.5003 2.42393 0.0171752 8.98502 0.197412 7.04918 11.5017 2.15221 0.365279 0.128303 1.02233
500.00 1433.15 97.816570 49.5213 1.13539 15.5001 2.43344 0.017175 8.97636 0.19741 7.04911 11.5016 2.15219 0.365276 0.128301 1.02232
500.00 1423.15 97.432228 49.5177 1.13802 15.5418 2.44377 0.0172428 8.98248 0.198189 7.01502 11.4638 2.16008 0.366716 0.128807 1.02635
500.00 1413.15 91.582261 49.518 1.18298 15.8631 2.48158 0.0183442 9.2662 0.210849 6.65921 10.9137 2.26742 0.389676 0.137035 1.09191
500.00 1403.15 85.096173 49.5602 1.24509 15.8733 2.55313 0.0197424 9.68794 0.226771 6.41443 10.3021 2.37656 0.418179 0.14748 1.17514
500.00 1393.15 78.729170 49.7872 1.31467 15.8051 2.62108 0.00968973 10.0215 0.240882 5.98811 9.83996 2.49179 0.450433 0.159407 1.27018
500.00 1383.15 73.276328 50.0197 1.37929 15.7343 2.68331 0.00415365 10.3248 0.254448 5.58134 9.39803 2.60224 0.482381 0.171269 1.3647
500.00 1373.15 68.380568 50.3273 1.42931 15.6795 2.72728 0.000510133 10.5352 0.268252 5.18511 8.9717 2.71457 0.515333 0.183532 1.4624
500.00 1363.15 62.359658 51.4281 1.35401 15.8284 2.61207 2.38512e-007 9.97414 0.290982 4.72901 8.51922 2.89576 0.563405 0.201252 1.6036
500.00 1353.15 56.513516 52.9565 1.21291 16.0375 2.40601 0 8.99836 0.319055 4.28482 8.06607 3.10739 0.61987 0.222071 1.76949
500.00 1343.15 51.926020 54.3105 1.09738 16.152 2.22846 0 8.17785 0.345111 3.90838 7.64762 3.29243 0.672754 0.24169 1.92582
500.00 1333.15 47.908207 55.4937 1.01042 16.1426 2.08513 0 7.49171 0.374071 3.52918 7.33272 3.46434 0.726889 0.261959 2.08733
500.00 1323.15 44.592218 56.5752 0.935787 16.0793 1.95721 0 6.892 0.401887 3.19832 7.04031 3.61738 0.778605 0.281439 2.24254
500.00 1313.15 40.992633 57.8151 0.874118 15.8354 1.84115 0 6.34114 0.437177 2.86137 6.72378 3.7793 0.843334 0.306153 2.34203
500.00 1303.15 37.260001 59.2285 0.823484 15.4076 1.73354 0 5.82642 0.480973 2.52714 6.39388 3.94034 0.922438 0.336822 2.3788
500.00 1293.15 34.213596 60.5493 0.778138 14.9658 1.63271 0 5.36068 0.523799 2.24446 6.09751 4.07181 0.998863 0.366813 2.41006
500.00 1283.15 31.672025 61.7895 0.737293 14.5165 1.53781 0 4.93701 0.565832 2.00281 5.82975 4.17737 1.07295 0.396249 2.43688
500.00 1273.15 29.515254 62.9585 0.700318 14.0646 1.44819 0 4.54994 0.607179 1.7944 5.58659 4.26011 1.14492 0.425204 2.46007
500.00 1263.15 27.660609 64.0632 0.666699 13.6142 1.36337 0 4.1951 0.647891 1.6133 5.36471 4.3227 1.21488 0.453714 2.48027
500.00 1253.15 26.048809 65.1093 0.636011 13.1684 1.28297 0 3.86896 0.68798 1.45492 5.16133 4.36752 1.28288 0.481788 2.49795
500.00 1243.15 24.635895 66.1015 0.607901 12.7296 1.20672 0 3.56859 0.727436 1.31564 4.97409 4.39669 1.34893 0.509419 2.51353
500.00 1233.15 23.388328 67.0435 0.58207 12.2997 1.13438 0 3.2915 0.766239 1.19255 4.80102 4.4121 1.41301 0.536592 2.52734
500.00 1223.15 22.279900 67.9387 0.558265 11.88 1.06578 0 3.03561 0.804359 1.0833 4.64042 4.41546 1.47512 0.563288 2.53963
500.00 1213.15 21.289729 68.7901 0.536266 11.4716 1.00074 0 2.79908 0.84177 0.98595 4.49085 4.40828 1.53524 0.589486 2.55064
500.00 1203.15 20.400904 69.6002 0.515885 11.0751 0.939128 0 2.58029 0.878444 0.898896 4.35109 4.39193 1.59335 0.615169 2.56054
500.00 1193.15 19.599553 70.3715 0.496956 10.6907 0.880801 0 2.37784 0.91436 0.820801 4.22009 4.36761 1.64944 0.640321 2.56951
500.00 1183.15 18.874175 71.1062 0.479332 10.3188 0.825631 0 2.19045 0.949501 0.75054 4.09695 4.33639 1.70353 0.66493 2.57768
500.00 1173.15 18.215148 71.8064 0.462886 9.95938 0.773492 0 2.01696 0.983854 0.687156 3.9809 4.29921 1.75562 0.688987 2.58515
500.00 1163.15 17.614359 72.4739 0.447502 9.61229 0.724263 0 1.85635 1.01741 0.629837 3.87129 4.25691 1.80572 0.712487 2.59203
500.00 1153.15 17.064925 73.1106 0.433078 9.27738 0.677821 0 1.70766 1.05017 0.577885 3.76755 4.21023 1.85386 0.735427 2.59839
500.00 1143.15 16.560971 73.718 0.419521 8.95443 0.634047 0 1.57002 1.08213 0.530699 3.66919 4.15981 1.90005 0.757806 2.60432
500.00 1133.15 16.097457 74.2978 0.40675 8.64314 0.592823 0 1.44266 1.11328 0.487759 3.57578 4.10624 1.94432 0.779626 2.60986
500.00 1123.15 15.670035 74.8513 0.394688 8.34322 0.554033 0 1.32483 1.14365 0.448614 3.48695 4.05003 1.98671 0.800892 2.61508
500.00 1113.15 15.274941 75.38 0.383267 8.05433 0.517564 0 1.21586 1.17323 0.412868 3.40237 3.99163 2.02723 0.821607 2.62001
500.00 1103.15 14.908900 75.8852 0.372425 7.77614 0.483304 0 1.11512 1.20204 0.380176 3.32175 3.93143 2.06592 0.841779 2.62469
500.00 1093.15 14.569052 76.368 0.362107 7.50829 0.451144 0 1.02205 1.23008 0.350235 3.24486 3.86982 2.10281 0.861415 2.62917
500.00 1083.15 14.210848 76.9119 0.342802 7.22438 0.414856 0 0.92102 1.21104 0.312765 3.20397 3.80124 2.1429 0.883128 2.62997
