Title: Mr1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 97.809707 1.0000000000000000 1.000000 273.923388 -1172241.236713 37.745438 -370.533937 3668.083084 147.238825 -7.007 0.000 2.591299 0.000000 1.899 0.379092 0.000
500.00 1513.15 97.810309 1.0000000000000000 1.000000 272.954706 -1173722.343317 37.709306 -369.454160 3665.401400 147.238498 -7.116 0.000 2.593798 0.000000 1.939 0.378154 0.000
500.00 1503.15 97.810949 1.0000000000000000 1.000000 271.979646 -1175204.016322 37.673231 -368.377291 3662.661732 147.238357 -7.225 0.000 2.596298 0.000000 1.979 0.377207 0.000
500.00 1493.15 97.811628 1.0000000000000000 1.000000 270.998117 -1176686.277866 37.637217 -367.303398 3659.864335 147.238406 -7.336 0.000 2.598801 0.000000 2.020 0.37625 0.000
500.00 1483.15 97.812345 1.0000000000000000 1.000000 270.010032 -1178169.151020 37.601265 -366.232549 3657.009476 147.238652 -7.449 0.000 2.601305 0.000000 2.062 0.375283 0.000
500.00 1473.15 97.813104 1.0000000000000000 1.000000 269.030796 -1179629.776586 37.565375 -365.164819 3654.097429 143.895802 -7.563 0.000 2.603810 0.000000 2.104 0.374307 0.000
500.00 1463.15 97.813904 1.0000000000000000 1.000000 268.052124 -1181080.465823 37.529550 -364.100282 3651.128485 143.887853 -7.679 0.000 2.606317 0.000000 2.147 0.373321 0.000
500.00 1453.15 97.814747 1.0000000000000000 1.000000 267.066834 -1182531.748608 37.493790 -363.039018 3648.102945 143.879559 -7.796 0.000 2.608825 0.000000 2.191 0.372325 0.000
500.00 1443.15 97.815635 1.0000000000000000 1.000000 266.074837 -1183983.646112 37.458099 -361.981108 3645.021123 143.870917 -7.915 0.000 2.611335 0.000000 2.235 0.371319 0.000
500.00 1433.15 97.816570 1.0000000000000000 1.000000 265.076039 -1185436.180579 37.422476 -360.926640 3641.883348 143.861925 -8.035 0.000 2.613845 0.000000 2.279 0.370303 0.000
500.00 1423.15 97.817596 0.9960603448496661 0.996813 263.961974 -1187044.401086 37.367142 -359.432039 3633.669147 143.708712 -8.157 0.000 2.615767 3.235886 2.327 0.371103 0.000
500.00 1413.15 97.434706 0.9399346975697727 0.949255 260.492973 -1185798.824519 36.953593 -350.715308 3549.396730 141.195569 -8.281 0.000 2.610788 3.120970 2.383 0.403715 0.000
500.00 1403.15 91.584937 0.9291503146833539 0.938109 244.305071 -1113453.213529 34.802491 -338.573489 3391.363609 132.107172 -8.407 0.000 2.606431 3.012496 2.419 0.450814 0.000
500.00 1393.15 85.100430 0.9251324601564053 0.934625 226.706915 -1031502.452558 32.417087 -326.255337 3225.001818 122.192336 -8.535 0.000 2.598511 3.006329 2.479 0.50388 0.000
500.00 1383.15 78.734355 0.9306779469035617 0.939726 209.681102 -951667.605653 30.099318 -315.185120 3073.905932 112.726660 -8.664 0.000 2.590631 3.008517 2.540 0.556976 0.000
500.00 1373.15 73.284788 0.9330799688313594 0.942510 195.024360 -883673.878744 28.109521 -305.287297 2938.553745 104.557390 -8.795 0.000 2.581032 3.034744 2.609 0.610892 0.000
500.00 1363.15 68.423583 0.9113766773728199 0.928871 181.475779 -824629.837512 26.311346 -294.987248 2772.350597 96.687113 -8.929 0.000 2.551556 3.240157 2.769 0.676223 0.000
500.00 1353.15 62.412793 0.9054796739669327 0.926420 165.623419 -757837.998007 24.277718 -285.002599 2590.383369 87.778405 -9.064 0.000 2.512677 3.302405 2.977 0.748149 0.000
500.00 1343.15 56.552836 0.9181859730275923 0.936446 150.634715 -694501.847163 22.363095 -276.436613 2437.436241 79.596542 -9.201 0.000 2.479535 3.255441 3.162 0.817132 0.000
500.00 1333.15 51.955793 0.9220955753498719 0.938784 138.724325 -644272.332939 20.826814 -268.353979 2314.299821 73.084987 -9.340 0.000 2.450313 3.174725 3.320 0.89143 0.000
500.00 1323.15 47.931847 0.9303254581328861 0.945353 128.290812 -598989.975899 19.455855 -261.183769 2211.492795 67.399883 -9.481 0.000 2.424459 3.141082 3.463 0.963098 0.000
500.00 1313.15 44.612884 0.9188519049252925 0.911851 119.467672 -561539.570839 18.709369 -1210.194731 2506.914190 62.493733 -9.625 0.000 2.402829 2.195138 3.632 0.999968 0.000
500.00 1303.15 41.050459 0.9076634410669161 0.858534 110.117841 -519961.876346 18.193438 -2946.374928 3138.590907 57.285344 -9.771 0.000 2.385453 1.472731 3.832 1 0.000
500.00 1293.15 37.388250 0.9150895246027804 0.824866 100.729303 -476033.752863 17.499267 -4374.259302 3670.565161 52.143027 -9.919 0.000 2.370257 1.035873 4.020 1.00003 0.000
500.00 1283.15 34.401288 0.9206639217940458 0.793626 93.030404 -440085.131436 16.932738 -5569.166656 4134.815156 47.953070 -10.069 0.000 2.356856 0.781020 4.197 1.00006 0.000
500.00 1273.15 31.910774 0.9249306792672924 0.764868 86.579162 -410010.301686 16.456012 -6581.572405 4545.505904 44.449215 -10.221 0.000 2.344959 0.619104 4.365 1.00008 0.000
500.00 1263.15 29.798438 0.9282570350548993 0.738519 81.082021 -384417.958077 16.044834 -7446.884288 4913.311526 41.477156 -10.376 0.000 2.334343 0.509563 4.525 1.0001 0.000
500.00 1253.15 27.982856 0.9308845995062647 0.714438 76.335992 -362351.384974 15.683111 -8191.019838 5245.867555 38.923191 -10.534 0.000 2.324829 0.431852 4.677 1.00011 0.000
500.00 1243.15 26.405664 0.9329776959621258 0.692460 72.194978 -343125.032792 15.359716 -8833.629257 5549.000754 36.705472 -10.694 0.000 2.316276 0.374656 4.822 1.00012 0.000
500.00 1233.15 25.023603 0.9346506851760464 0.672418 68.550282 -326230.553881 15.066688 -9390.059595 5827.301417 34.763136 -10.857 0.000 2.308566 0.331324 4.961 1.00013 0.000
500.00 1223.15 23.803685 0.9359853369390315 0.654146 65.318721 -311279.803050 14.798155 -9872.590755 6084.483445 33.049659 -11.022 0.000 2.301604 0.297731 5.094 1.00013 0.000
500.00 1213.15 22.720145 0.9370419506066385 0.637494 62.435123 -297969.066083 14.549673 -10291.238656 6323.617359 31.528654 -11.190 0.000 2.295308 0.271203 5.221 1.00013 0.000
500.00 1203.15 21.752461 0.9378664555101248 0.622318 59.847440 -286055.870843 14.317796 -10654.295483 6547.286107 30.171114 -11.361 0.000 2.289608 0.249938 5.343 1.00013 0.000
500.00 1193.15 20.884027 0.9384949410793565 0.608489 57.513450 -275343.458393 14.099804 -10968.706304 6757.693063 28.953565 -11.534 0.000 2.284444 0.232685 5.461 1.00013 0.000
500.00 1183.15 20.101223 0.9389565580037915 0.595890 55.398459 -265670.044977 13.893512 -11240.340952 6956.739766 27.856765 -11.711 0.000 2.279765 0.218549 5.574 1.00012 0.000
500.00 1173.15 19.392766 0.9392753951041847 0.584414 53.473664 -256901.166531 13.697143 -11474.196670 7146.083938 26.864778 -11.890 0.000 2.275526 0.206878 5.682 1.00011 0.000
500.00 1163.15 18.749217 0.9394717149606636 0.573968 51.714939 -248924.066242 13.509232 -11674.553381 7327.184217 25.964291 -12.073 0.000 2.271688 0.197182 5.787 1.00011 0.000
500.00 1153.15 18.162623 0.9395627879675308 0.564465 50.101926 -241643.477447 13.328560 -11845.095388 7501.335663 25.144104 -12.259 0.000 2.268215 0.189093 5.888 1.0001 0.000
500.00 1143.15 17.626240 0.9395634732649786 0.555829 48.617332 -234978.387632 13.154106 -11989.008524 7669.698611 24.394730 -12.448 0.000 2.265077 0.182326 5.985 1.00009 0.000
500.00 1133.15 17.134312 0.9394866378959053 0.547994 47.246384 -228859.511177 12.985002 -12109.058792 7833.322601 23.708090 -12.641 0.000 2.262245 0.176657 6.079 1.00008 0.000
500.00 1123.15 16.681901 0.9393434702076368 0.540897 45.976395 -223227.286586 12.820510 -12207.656768 7993.166612 23.077271 -12.837 0.000 2.259695 0.171913 6.171 1.00007 0.000
500.00 1113.15 16.264753 0.9391437219413996 0.534486 44.796417 -218030.269990 12.659994 -12286.910778 8150.116436 22.496329 -13.036 0.000 2.257406 0.167953 6.260 1.00006 0.000
500.00 1103.15 15.879183 0.9388959001660141 0.528713 43.696958 -213223.833327 12.502904 -12348.671158 8304.999881 21.960135 -13.239 0.000 2.255356 0.164665 6.346 1.00006 0.000
500.00 1093.15 15.521987 0.9386074221921757 0.523534 42.669753 -208769.100175 12.348760 -12394.567286 8458.600303 21.464247 -13.446 0.000 2.253528 0.161960 6.429 1.00005 0.000
500.00 1083.15 15.189400 0.9355766761010442 0.517060 41.696319 -204628.462359 12.208992 -12457.402337 8629.708548 20.995853 -13.656 0.000 2.251123 0.165963 6.531 1.00004 0.000
500.00 1073.15 14.840623 0.9355877103139353 0.512148 40.701491 -200313.028208 12.054548 -12498.841982 8796.528671 20.518822 -13.871 0.000 2.249006 0.162548 6.628 1.00004 0.000
500.00 1063.15 14.522916 0.9353620309704485 0.507826 39.783367 -196380.359866 11.903975 -12524.356872 8962.665485 20.084943 -14.089 0.000 2.247122 0.160225 6.723 1.00003 0.000
500.00 1053.15 14.230176 0.9351131957751968 0.504106 38.927581 -192759.454768 11.755657 -12535.434087 9128.970125 19.686628 -14.312 0.000 2.245461 0.158391 6.816 1.00002 0.000
500.00 1043.15 13.960000 0.9347767814738668 0.500921 38.127913 -189420.482519 11.609281 -12533.592429 9296.427093 19.319943 -14.539 0.000 2.243979 0.157150 6.909 1.00002 0.000
500.00 1033.15 13.710241 0.9345299661917779 0.498319 37.378830 -186337.221207 11.464391 -12519.528492 9465.662720 18.983769 -14.770 0.000 2.242743 0.156066 6.999 1.00001 0.000
500.00 1023.15 13.478749 0.8453243244048007 0.442063 36.519744 -183641.059988 11.491494 -13056.390923 10016.605576 18.587639 -15.006 0.000 2.242912 0.325170 7.008 1.00001 0.000
500.00 1013.15 12.097965 0.8435446818759868 0.412369 33.424322 -164686.493569 11.030264 -13467.987963 10507.370374 16.881520 -15.246 0.000 2.243616 0.292020 7.015 1.00001 0.000
